| '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:platformsimplementations_artila_m501_keccak256_opt32bi-rvku2 opt32bi-rvku2] || 192443 || 18140 || 972 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_27 Run 27]
|[wiki:platformsimplementations_artila_m501_keccak256_opt32bi-s2lcu4 opt32bi-s2lcu4] || 210386 || 31912 || 1016 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_27 Run 27]
|[wiki:platformsimplementations_artila_m501_keccak256_opt32u2nit_xbx opt32u2nit_xbx] || 244091 || 27192 || 1000 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_27 Run 27]
|[wiki:platformsimplementations_artila_m501_keccak256_opt32biT-s2lcu4 opt32biT-s2lcu4] || 266906 || 31572 || 263168 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_27 Run 27]
|[wiki:platformsimplementations_artila_m501_keccak256_opt32u6 opt32u6] || 269978 || 55372 || 263140 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:platformsimplementations_artila_m501_keccak256_opt32u2 opt32u2] || 285221 || 26864 || 263128 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_13 Run 13]
|[wiki:platformsimplementations_artila_m501_keccak256_simple simple] || 319883 || 7852 || 836 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_27 Run 27]
|[wiki:platformsimplementations_artila_m501_keccak256_sphlib-small sphlib-small] || 523474 || 17300 || 1732 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_14 Run 14]
|[wiki:platformsimplementations_artila_m501_keccak256_compact compact] || 1172014 || 2300 || 480 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_27 Run 27]
|[wiki:platformsimplementations_artila_m501_keccak256_opt64lcu24 opt64lcu24] || 1447785 || 225776 || 1120 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_27 Run 27]
|[wiki:platformsimplementations_artila_m501_keccak256_opt64u24 opt64u24] || 1461375 || 299992 || 1088 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_16 Run 16]
|[wiki:platformsimplementations_artila_m501_keccak256_opt64u6 opt64u6] || 1494878 || 63600 || 1124 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_27 Run 27]
|[wiki:platformsimplementations_artila_m501_keccak256_opt64lcu6 opt64lcu6] || 1501920 || 63960 || 1132 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_27 Run 27]
|[wiki:platformsimplementations_artila_m501_keccak256_armcryptolib armcryptolib] || 1536671 || 3332 || 680 || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || [wiki:runs_27 Run 27]
|[wiki:platformsimplementations_artila_m501_keccak256_sphlib sphlib] || 2347628 || 26768 || 2392 || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || [wiki:runs_27 Run 27]
