| '''Run time [s]''' || '''Cycles XBD''' || '''Cycles XBH''' || '''Deviation [cycles]''' || '''Deviation [PPM nominal]''' 
|0 || 181247220 || 181328670 || 81450 || 449
|1 || 180774900 || 180768229 || 6671 || 37
|3 || 181208700 || 181196989 || 11711 || 65
|4 || 181763640 || 181752390 || 11250 || 62
|5 || 180637380 || 180717638 || 80258 || 444
|6 || 180906660 || 180893239 || 13421 || 74
|54 || 180379260 || 180371115 || 8145 || 45
|112 || 181538280 || 181530765 || 7515 || 41
|528 || 181389960 || 181386518 || 3442 || 19
|1051 || 181093500 || 181082869 || 10631 || 59
|1383 || 180939600 || 180934616 || 4984 || 28
|1521 || 181505160 || 181579703 || 74543 || 411
|1745 || 180928619 || 180920003 || 8616 || 48
|1876 || 181543679 || 181531823 || 11856 || 65
|2053 || 181455840 || 181445490 || 10350 || 57
|2210 || 181368000 || 181367753 || 247 || 1
|4950 || 181472220 || 181473716 || 1496 || 8
|5092 || 181307520 || 181385438 || 77918 || 430
