| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 146055 || 832
|0 || 91160 || 712
|0 || 90484 || 712
|0 || 90961 || 712
|0 || 91120 || 712
|0 || 91001 || 712
|0 || 90975 || 712
|0 || 90021 || 712
|1 || 91187 || 712
|1 || 90802 || 712
|1 || 90246 || 712
|1 || 91094 || 712
|1 || 90829 || 712
|1 || 91505 || 712
|1 || 89915 || 712
|1 || 90789 || 712
|2 || 90696 || 712
|2 || 89782 || 712
|2 || 91120 || 712
|2 || 90829 || 712
|2 || 91279 || 712
|2 || 90021 || 712
|2 || 90736 || 712
|2 || 90630 || 712
|4 || 89848 || 712
|4 || 90802 || 712
|4 || 90272 || 712
|4 || 90630 || 712
|4 || 90127 || 712
|4 || 91703 || 712
|4 || 90723 || 712
|4 || 91359 || 712
|8 || 91319 || 712
|8 || 91597 || 712
|8 || 90180 || 712
|8 || 90034 || 712
|8 || 91544 || 712
|8 || 90961 || 712
|8 || 91306 || 712
|8 || 90299 || 712
|16 || 91478 || 712
|16 || 91425 || 712
|16 || 90564 || 712
|16 || 90975 || 712
|16 || 91226 || 712
|16 || 90948 || 712
|16 || 90219 || 712
|16 || 91359 || 712
|32 || 113725 || 712
|32 || 112638 || 712
|32 || 113473 || 712
|32 || 113221 || 712
|32 || 113632 || 712
|32 || 112559 || 712
|32 || 113168 || 712
|32 || 114003 || 712
|64 || 117793 || 712
|64 || 118813 || 712
|64 || 119144 || 712
|64 || 119701 || 712
|64 || 117488 || 712
|64 || 119316 || 712
|64 || 118694 || 712
|64 || 119025 || 712
|128 || 128697 || 712
|128 || 129386 || 712
|128 || 129360 || 712
|128 || 129015 || 712
|128 || 129135 || 712
|128 || 128976 || 712
|128 || 129612 || 712
|128 || 128022 || 712
|256 || 150268 || 712
|256 || 148957 || 712
|256 || 149977 || 712
|256 || 150176 || 712
|256 || 150348 || 712
|256 || 148983 || 712
|256 || 150056 || 712
|256 || 150176 || 712
|512 || 191012 || 712
|512 || 192231 || 712
|512 || 191993 || 712
|512 || 192046 || 712
|512 || 189833 || 712
|512 || 191900 || 712
|512 || 191926 || 712
|512 || 191675 || 712
|576 || 202102 || 712
|576 || 202434 || 712
|576 || 201122 || 712
|576 || 202102 || 712
|576 || 202195 || 712
|576 || 201957 || 712
|576 || 201082 || 712
|576 || 201851 || 712
|1024 || 274752 || 712
|1024 || 275189 || 712
|1024 || 274553 || 712
|1024 || 274871 || 712
|1024 || 273493 || 712
|1024 || 274302 || 712
|1024 || 274832 || 712
|1024 || 274845 || 712
|1536 || 357896 || 712
|1536 || 358466 || 712
|1536 || 356664 || 712
|1536 || 358280 || 712
|1536 || 358201 || 712
|1536 || 356544 || 712
|1536 || 358095 || 712
|1536 || 357180 || 712
|2048 || 441305 || 712
|2048 || 440536 || 712
|2048 || 441132 || 712
|2048 || 438721 || 712
|2048 || 441583 || 712
|2048 || 440642 || 712
|2048 || 439476 || 712
|2048 || 440748 || 712
