| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 125729 || 760
|0 || 57214 || 760
|0 || 56153 || 760
|0 || 57505 || 760
|0 || 57346 || 760
|0 || 57240 || 760
|0 || 57571 || 760
|0 || 56604 || 760
|1 || 57637 || 760
|1 || 57585 || 760
|1 || 56617 || 760
|1 || 57452 || 760
|1 || 57426 || 760
|1 || 57452 || 760
|1 || 57876 || 760
|1 || 56962 || 759
|2 || 57518 || 760
|2 || 57372 || 760
|2 || 56153 || 760
|2 || 57306 || 760
|2 || 57611 || 760
|2 || 57359 || 760
|2 || 56975 || 760
|2 || 56803 || 760
|4 || 57227 || 760
|4 || 57571 || 760
|4 || 56432 || 760
|4 || 57889 || 760
|4 || 57293 || 760
|4 || 57426 || 760
|4 || 56723 || 760
|4 || 57465 || 760
|8 || 57452 || 760
|8 || 58048 || 760
|8 || 56498 || 760
|8 || 57730 || 760
|8 || 57479 || 760
|8 || 57558 || 760
|8 || 57518 || 760
|8 || 57744 || 760
|16 || 57293 || 760
|16 || 57306 || 760
|16 || 56962 || 760
|16 || 57876 || 760
|16 || 57320 || 760
|16 || 57280 || 760
|16 || 56366 || 760
|16 || 57532 || 760
|32 || 65733 || 760
|32 || 65323 || 760
|32 || 64461 || 760
|32 || 65415 || 760
|32 || 65588 || 760
|32 || 65773 || 760
|32 || 64753 || 760
|32 || 65853 || 760
|64 || 73750 || 760
|64 || 73909 || 760
|64 || 73021 || 760
|64 || 73220 || 760
|64 || 73856 || 760
|64 || 73498 || 760
|64 || 72570 || 760
|64 || 73445 || 760
|128 || 86364 || 760
|128 || 85688 || 760
|128 || 86271 || 760
|128 || 86417 || 760
|128 || 85993 || 760
|128 || 85781 || 760
|128 || 85383 || 760
|128 || 85940 || 760
|256 || 111870 || 760
|256 || 110333 || 760
|256 || 111751 || 760
|256 || 111499 || 760
|256 || 111976 || 760
|256 || 111088 || 760
|256 || 111989 || 760
|256 || 111737 || 760
|512 || 161756 || 760
|512 || 162511 || 760
|512 || 162856 || 760
|512 || 162485 || 760
|512 || 161173 || 760
|512 || 162591 || 760
|512 || 162485 || 760
|512 || 162843 || 760
|576 || 175125 || 760
|576 || 175006 || 760
|576 || 175072 || 760
|576 || 174079 || 760
|576 || 174966 || 760
|576 || 175298 || 760
|576 || 175311 || 760
|576 || 173906 || 760
|1024 || 264497 || 760
|1024 || 264497 || 760
|1024 || 263317 || 760
|1024 || 264298 || 760
|1024 || 264828 || 760
|1024 || 264139 || 760
|1024 || 263225 || 760
|1024 || 264338 || 760
|1536 || 364693 || 760
|1536 || 365753 || 760
|1536 || 366005 || 760
|1536 || 365687 || 760
|1536 || 365077 || 760
|1536 || 365819 || 760
|1536 || 366058 || 760
|1536 || 364720 || 760
|2048 || 467897 || 760
|2048 || 467500 || 760
|2048 || 466678 || 760
|2048 || 467646 || 760
|2048 || 467116 || 760
|2048 || 465976 || 760
|2048 || 467460 || 760
|2048 || 467394 || 760
