| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 43650 || 316
|0 || 31534 || 316
|0 || 31421 || 316
|0 || 31939 || 316
|0 || 31500 || 316
|0 || 31511 || 316
|0 || 31590 || 316
|0 || 32074 || 316
|1 || 53348 || 316
|1 || 53494 || 316
|1 || 52808 || 316
|1 || 53393 || 316
|1 || 53516 || 316
|1 || 53426 || 316
|1 || 52897 || 316
|1 || 52897 || 316
|2 || 52875 || 316
|2 || 52965 || 316
|2 || 52909 || 316
|2 || 52909 || 316
|2 || 52920 || 316
|2 || 53314 || 316
|2 || 68850 || 316
|2 || 53404 || 316
|4 || 53483 || 316
|4 || 53021 || 316
|4 || 53426 || 316
|4 || 53415 || 316
|4 || 52988 || 316
|4 || 52841 || 316
|4 || 53471 || 316
|4 || 52909 || 316
|8 || 53438 || 316
|8 || 53438 || 316
|8 || 53505 || 316
|8 || 52853 || 316
|8 || 53449 || 316
|8 || 53044 || 316
|8 || 53460 || 316
|8 || 53168 || 316
|16 || 52954 || 316
|16 || 52875 || 316
|16 || 52920 || 316
|16 || 53460 || 316
|16 || 53505 || 316
|16 || 53449 || 316
|16 || 52976 || 316
|16 || 52988 || 316
|32 || 53010 || 316
|32 || 53134 || 316
|32 || 53021 || 316
|32 || 53505 || 316
|32 || 53168 || 316
|32 || 53122 || 316
|32 || 53134 || 316
|32 || 53111 || 316
|64 || 53336 || 328
|64 || 53303 || 328
|64 || 53269 || 328
|64 || 52796 || 328
|64 || 52875 || 328
|64 || 52853 || 328
|64 || 52864 || 328
|64 || 53089 || 328
|128 || 74239 || 328
|128 || 74261 || 328
|128 || 74498 || 328
|128 || 74970 || 328
|128 || 74430 || 328
|128 || 74486 || 328
|128 || 74655 || 328
|128 || 74633 || 328
|256 || 116977 || 328
|256 || 117225 || 328
|256 || 116798 || 328
|256 || 117113 || 328
|256 || 116989 || 328
|256 || 117203 || 328
|256 || 116921 || 328
|256 || 117304 || 328
|512 || 201949 || 328
|512 || 202523 || 328
|512 || 202342 || 328
|512 || 202388 || 328
|512 || 202095 || 328
|512 || 216045 || 328
|512 || 215224 || 328
|512 || 202388 || 328
|576 || 236531 || 328
|576 || 223301 || 328
|576 || 223234 || 328
|576 || 223661 || 328
|576 || 223706 || 328
|576 || 223380 || 328
|576 || 223661 || 328
|576 || 223268 || 328
|1024 || 372791 || 328
|1024 || 372364 || 328
|1024 || 372656 || 328
|1024 || 372533 || 328
|1024 || 386786 || 328
|1024 || 372668 || 328
|1024 || 372533 || 328
|1024 || 372566 || 328
|1536 || 542734 || 328
|1536 || 542723 || 328
|1536 || 542486 || 328
|1536 || 543004 || 328
|1536 || 542880 || 328
|1536 || 555581 || 328
|1536 || 543026 || 328
|1536 || 542599 || 328
|2048 || 712721 || 328
|2048 || 727402 || 328
|2048 || 713003 || 328
|2048 || 726458 || 328
|2048 || 713318 || 328
|2048 || 726986 || 328
|2048 || 713419 || 328
|2048 || 726446 || 328
