| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 265883 || 768
|0 || 91226 || 768
|0 || 91316 || 768
|0 || 91046 || 768
|0 || 90608 || 768
|0 || 90776 || 768
|0 || 90889 || 768
|0 || 105885 || 768
|1 || 90360 || 768
|1 || 91080 || 768
|1 || 91328 || 768
|1 || 90833 || 768
|1 || 91148 || 768
|1 || 91046 || 768
|1 || 106166 || 768
|1 || 91260 || 768
|2 || 90686 || 768
|2 || 91474 || 768
|2 || 90551 || 768
|2 || 91328 || 768
|2 || 90934 || 768
|2 || 90889 || 768
|2 || 91800 || 768
|2 || 91913 || 768
|4 || 90596 || 768
|4 || 90551 || 768
|4 || 91013 || 768
|4 || 91676 || 768
|4 || 90990 || 768
|4 || 90878 || 768
|4 || 90866 || 768
|4 || 91496 || 768
|8 || 91136 || 768
|8 || 90495 || 768
|8 || 91350 || 768
|8 || 92183 || 768
|8 || 91249 || 768
|8 || 91148 || 768
|8 || 90619 || 768
|8 || 90731 || 768
|16 || 92543 || 768
|16 || 90698 || 768
|16 || 90968 || 768
|16 || 91384 || 768
|16 || 91316 || 768
|16 || 90191 || 768
|16 || 90979 || 768
|16 || 90698 || 768
|32 || 91316 || 768
|32 || 92396 || 768
|32 || 91553 || 768
|32 || 91834 || 768
|32 || 91024 || 768
|32 || 91530 || 768
|32 || 91530 || 768
|32 || 91519 || 768
|64 || 90664 || 768
|64 || 91935 || 768
|64 || 91181 || 768
|64 || 92081 || 768
|64 || 91913 || 768
|64 || 91744 || 768
|64 || 90439 || 768
|64 || 90833 || 768
|128 || 155419 || 768
|128 || 155250 || 768
|128 || 154991 || 768
|128 || 173295 || 768
|128 || 155520 || 768
|128 || 154553 || 768
|128 || 154508 || 768
|128 || 155003 || 768
|256 || 213795 || 768
|256 || 213143 || 768
|256 || 214335 || 768
|256 || 214943 || 768
|256 || 214155 || 768
|256 || 214425 || 768
|256 || 214808 || 768
|256 || 215089 || 768
|512 || 336319 || 768
|512 || 335036 || 768
|512 || 365963 || 768
|512 || 332584 || 768
|512 || 335756 || 768
|512 || 336690 || 768
|512 || 348874 || 768
|512 || 335003 || 768
|576 || 334766 || 768
|576 || 335250 || 768
|576 || 335509 || 768
|576 || 370519 || 768
|576 || 336364 || 768
|576 || 336510 || 768
|576 || 355973 || 768
|576 || 337320 || 768
|1024 || 579251 || 768
|1024 || 580118 || 768
|1024 || 611775 || 768
|1024 || 578655 || 768
|1024 || 580669 || 768
|1024 || 578003 || 768
|1024 || 580905 || 768
|1024 || 609649 || 768
|1536 || 823905 || 768
|1536 || 862481 || 768
|1536 || 823759 || 768
|1536 || 851445 || 768
|1536 || 845471 || 768
|1536 || 826695 || 768
|1536 || 824479 || 768
|1536 || 848610 || 768
|2048 || 1094749 || 768
|2048 || 1097325 || 768
|2048 || 1068750 || 768
|2048 || 1070078 || 768
|2048 || 1101701 || 768
|2048 || 1067018 || 768
|2048 || 1103288 || 768
|2048 || 1101161 || 768
