| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 144675 || 1028
|0 || 63461 || 1028
|0 || 63743 || 1028
|0 || 64147 || 1028
|0 || 63968 || 1028
|0 || 63709 || 1028
|0 || 63664 || 1028
|0 || 64069 || 1028
|1 || 63585 || 1028
|1 || 66634 || 1028
|1 || 64226 || 1028
|1 || 64181 || 1028
|1 || 64440 || 1028
|1 || 63911 || 1028
|1 || 63698 || 1028
|1 || 64316 || 1028
|2 || 64474 || 1028
|2 || 64339 || 1028
|2 || 64305 || 1028
|2 || 63765 || 1028
|2 || 63765 || 1028
|2 || 63799 || 1028
|2 || 63686 || 1028
|2 || 63866 || 1028
|4 || 63664 || 1028
|4 || 64035 || 1028
|4 || 64283 || 1028
|4 || 63911 || 1028
|4 || 63990 || 1028
|4 || 63934 || 1028
|4 || 64147 || 1028
|4 || 63551 || 1028
|8 || 63754 || 1027
|8 || 64384 || 1028
|8 || 64406 || 1028
|8 || 63990 || 1028
|8 || 63945 || 1028
|8 || 78660 || 1028
|8 || 64035 || 1028
|8 || 94691 || 1028
|16 || 63979 || 1028
|16 || 64091 || 1028
|16 || 64519 || 1028
|16 || 64620 || 1028
|16 || 64125 || 1028
|16 || 64136 || 1028
|16 || 64125 || 1028
|16 || 64575 || 1028
|32 || 64429 || 1026
|32 || 64732 || 1028
|32 || 64665 || 1028
|32 || 64091 || 1028
|32 || 64125 || 1028
|32 || 64350 || 1028
|32 || 64316 || 1028
|32 || 64541 || 1028
|64 || 64699 || 1028
|64 || 65351 || 1028
|64 || 65306 || 1028
|64 || 64530 || 1028
|64 || 64676 || 1028
|64 || 65194 || 1028
|64 || 64598 || 1028
|64 || 64609 || 1028
|128 || 65700 || 1028
|128 || 65149 || 1028
|128 || 65531 || 1028
|128 || 65441 || 1028
|128 || 93825 || 1028
|128 || 65644 || 1028
|128 || 79223 || 1028
|128 || 65306 || 1028
|256 || 99158 || 1028
|256 || 98989 || 1028
|256 || 98730 || 1028
|256 || 99158 || 1028
|256 || 98775 || 1028
|256 || 99191 || 1028
|256 || 130995 || 1028
|256 || 117574 || 1028
|512 || 132683 || 1028
|512 || 132199 || 1028
|512 || 133110 || 1028
|512 || 132660 || 1028
|512 || 132424 || 1028
|512 || 132435 || 1028
|512 || 132266 || 1028
|512 || 132244 || 1028
|576 || 165398 || 1028
|576 || 165015 || 1028
|576 || 165848 || 1028
|576 || 166298 || 1028
|576 || 165263 || 1028
|576 || 165364 || 1028
|576 || 197347 || 1028
|576 || 165476 || 1028
|1024 || 232571 || 1028
|1024 || 232380 || 1028
|1024 || 232279 || 1028
|1024 || 265759 || 1028
|1024 || 233066 || 1028
|1024 || 232234 || 1028
|1024 || 232616 || 1028
|1024 || 232684 || 1028
|1536 || 332539 || 1028
|1536 || 331898 || 1028
|1536 || 367504 || 1028
|1536 || 332179 || 1028
|1536 || 332460 || 1028
|1536 || 332190 || 1028
|1536 || 332573 || 1028
|1536 || 366784 || 1028
|2048 || 433181 || 1028
|2048 || 399274 || 1028
|2048 || 399364 || 1028
|2048 || 399769 || 1028
|2048 || 434554 || 1028
|2048 || 429041 || 1028
|2048 || 399195 || 1028
|2048 || 434756 || 1028
