| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 17449 || 576
|0 || 16976 || 576
|0 || 16909 || 576
|0 || 16999 || 576
|0 || 17066 || 576
|0 || 17010 || 576
|0 || 16886 || 576
|0 || 17010 || 576
|1 || 17618 || 576
|1 || 17404 || 576
|1 || 17494 || 576
|1 || 17404 || 576
|1 || 17528 || 576
|1 || 17449 || 576
|1 || 17438 || 576
|1 || 17494 || 576
|2 || 17584 || 576
|2 || 17573 || 576
|2 || 17618 || 576
|2 || 17764 || 576
|2 || 17674 || 576
|2 || 17708 || 576
|2 || 17640 || 576
|2 || 17843 || 576
|4 || 17843 || 576
|4 || 17820 || 576
|4 || 17798 || 576
|4 || 17876 || 576
|4 || 17775 || 576
|4 || 17910 || 576
|4 || 17888 || 576
|4 || 17966 || 576
|8 || 18281 || 576
|8 || 18236 || 576
|8 || 18326 || 576
|8 || 18450 || 576
|8 || 18349 || 576
|8 || 18326 || 576
|8 || 18439 || 576
|8 || 18293 || 576
|16 || 19238 || 576
|16 || 19148 || 576
|16 || 19260 || 576
|16 || 19305 || 576
|16 || 19406 || 576
|16 || 19429 || 576
|16 || 19283 || 576
|16 || 19204 || 576
|32 || 21240 || 576
|32 || 21364 || 576
|32 || 21431 || 576
|32 || 21341 || 576
|32 || 21330 || 576
|32 || 21409 || 576
|32 || 21330 || 576
|32 || 21353 || 576
|64 || 25459 || 576
|64 || 25459 || 576
|64 || 25391 || 576
|64 || 25369 || 576
|64 || 25380 || 576
|64 || 25448 || 576
|64 || 25504 || 576
|64 || 25481 || 576
|128 || 33323 || 576
|128 || 33379 || 576
|128 || 33368 || 576
|128 || 33401 || 576
|128 || 33356 || 576
|128 || 33244 || 576
|128 || 33289 || 576
|128 || 33323 || 576
|256 || 49388 || 576
|256 || 49264 || 576
|256 || 49365 || 576
|256 || 49399 || 576
|256 || 49399 || 576
|256 || 49601 || 576
|256 || 49388 || 576
|256 || 49388 || 576
|512 || 81349 || 576
|512 || 81158 || 576
|512 || 81338 || 576
|512 || 81349 || 576
|512 || 81383 || 576
|512 || 81293 || 576
|512 || 81326 || 576
|512 || 81293 || 576
|576 || 89168 || 576
|576 || 89348 || 576
|576 || 89303 || 576
|576 || 89213 || 576
|576 || 89381 || 576
|576 || 89224 || 576
|576 || 89314 || 576
|576 || 89201 || 576
|1024 || 145215 || 576
|1024 || 159289 || 576
|1024 || 145181 || 576
|1024 || 145283 || 576
|1024 || 145114 || 576
|1024 || 144968 || 576
|1024 || 145226 || 576
|1024 || 145013 || 576
|1536 || 208991 || 576
|1536 || 209092 || 576
|1536 || 209138 || 576
|1536 || 209070 || 576
|1536 || 209160 || 576
|1536 || 209149 || 576
|1536 || 209059 || 576
|1536 || 209081 || 576
|2048 || 273184 || 576
|2048 || 272880 || 576
|2048 || 272993 || 576
|2048 || 273026 || 576
|2048 || 272801 || 576
|2048 || 272970 || 576
|2048 || 284378 || 576
|2048 || 272824 || 576
