| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 125426 || 584
|0 || 57161 || 584
|0 || 57094 || 584
|0 || 57375 || 584
|0 || 57240 || 584
|0 || 57094 || 584
|0 || 57285 || 584
|0 || 57285 || 584
|1 || 57319 || 584
|1 || 57161 || 584
|1 || 57713 || 584
|1 || 57285 || 584
|1 || 57364 || 584
|1 || 57049 || 584
|1 || 57848 || 584
|1 || 56970 || 584
|2 || 56903 || 584
|2 || 57015 || 584
|2 || 56835 || 584
|2 || 57026 || 584
|2 || 56925 || 584
|2 || 57476 || 584
|2 || 73631 || 584
|2 || 56734 || 584
|4 || 57589 || 584
|4 || 56531 || 584
|4 || 56711 || 584
|4 || 57015 || 584
|4 || 57870 || 584
|4 || 57173 || 584
|4 || 56228 || 584
|4 || 57431 || 584
|8 || 57589 || 584
|8 || 57904 || 584
|8 || 58005 || 584
|8 || 57049 || 584
|8 || 57983 || 584
|8 || 58579 || 584
|8 || 56869 || 584
|8 || 57634 || 584
|16 || 57634 || 584
|16 || 57791 || 584
|16 || 58061 || 584
|16 || 58916 || 584
|16 || 57803 || 584
|16 || 58669 || 584
|16 || 58950 || 584
|16 || 58973 || 584
|32 || 81428 || 584
|32 || 82418 || 584
|32 || 81934 || 584
|32 || 81653 || 584
|32 || 82069 || 584
|32 || 82046 || 584
|32 || 81585 || 584
|32 || 81765 || 584
|64 || 84825 || 604
|64 || 83768 || 604
|64 || 83498 || 604
|64 || 83126 || 604
|64 || 83959 || 604
|64 || 85433 || 604
|64 || 84038 || 604
|64 || 83858 || 604
|128 || 108473 || 604
|128 || 107460 || 604
|128 || 108934 || 604
|128 || 107775 || 604
|128 || 107629 || 604
|128 || 108394 || 604
|128 || 107381 || 604
|128 || 108011 || 604
|256 || 157365 || 604
|256 || 157286 || 604
|256 || 156904 || 604
|256 || 184635 || 604
|256 || 158783 || 604
|256 || 157804 || 604
|256 || 157298 || 604
|256 || 160909 || 604
|512 || 262125 || 604
|512 || 262958 || 604
|512 || 294030 || 604
|512 || 258761 || 604
|512 || 258761 || 604
|512 || 263779 || 604
|512 || 262485 || 604
|512 || 262631 || 604
|576 || 286301 || 604
|576 || 286864 || 604
|576 || 286695 || 604
|576 || 288158 || 604
|576 || 285165 || 604
|576 || 284906 || 604
|576 || 287269 || 604
|576 || 287843 || 604
|1024 || 492379 || 604
|1024 || 468675 || 604
|1024 || 467111 || 604
|1024 || 468900 || 604
|1024 || 466166 || 604
|1024 || 466616 || 604
|1024 || 463658 || 604
|1024 || 466121 || 604
|1536 || 671501 || 604
|1536 || 701854 || 604
|1536 || 670736 || 604
|1536 || 672683 || 604
|1536 || 702855 || 604
|1536 || 702709 || 604
|1536 || 672919 || 604
|1536 || 673043 || 604
|2048 || 876780 || 604
|2048 || 892935 || 604
|2048 || 877579 || 604
|2048 || 878569 || 604
|2048 || 923096 || 604
|2048 || 910260 || 604
|2048 || 875554 || 604
|2048 || 906098 || 604
