| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 5736 || 16
|0 || 5303 || 16
|0 || 5320 || 16
|0 || 5220 || 16
|0 || 5470 || 16
|0 || 5237 || 16
|0 || 5287 || 16
|0 || 5619 || 16
|1 || 5436 || 16
|1 || 5220 || 16
|1 || 5603 || 16
|1 || 5187 || 16
|1 || 5420 || 16
|1 || 5303 || 16
|1 || 5453 || 16
|1 || 5237 || 16
|2 || 5752 || 16
|2 || 5287 || 16
|2 || 5403 || 16
|2 || 5403 || 16
|2 || 5636 || 16
|2 || 5303 || 16
|2 || 5486 || 16
|2 || 5453 || 16
|4 || 5037 || 16
|4 || 5436 || 16
|4 || 5586 || 16
|4 || 5353 || 16
|4 || 5403 || 16
|4 || 5004 || 16
|4 || 5137 || 16
|4 || 5636 || 16
|8 || 5387 || 16
|8 || 5287 || 16
|8 || 5204 || 16
|8 || 5403 || 16
|8 || 5287 || 16
|8 || 5170 || 16
|8 || 5436 || 16
|8 || 5337 || 16
|16 || 5420 || 16
|16 || 5320 || 16
|16 || 5486 || 16
|16 || 5287 || 16
|16 || 5320 || 16
|16 || 5220 || 16
|16 || 5137 || 16
|16 || 5669 || 16
|32 || 5337 || 16
|32 || 5220 || 16
|32 || 5403 || 16
|32 || 5370 || 16
|32 || 5254 || 16
|32 || 5569 || 16
|32 || 5337 || 16
|32 || 5303 || 16
|64 || 5719 || 16
|64 || 5204 || 16
|64 || 5553 || 16
|64 || 5121 || 16
|64 || 5553 || 16
|64 || 5453 || 16
|64 || 5769 || 16
|64 || 5021 || 16
|128 || 5702 || 16
|128 || 5270 || 16
|128 || 5204 || 16
|128 || 5569 || 16
|128 || 5470 || 16
|128 || 5137 || 16
|128 || 5220 || 16
|128 || 5586 || 16
|256 || 5403 || 16
|256 || 5303 || 16
|256 || 5320 || 16
|256 || 5902 || 16
|256 || 5254 || 16
|256 || 5353 || 16
|256 || 5320 || 16
|256 || 5636 || 16
|512 || 6068 || 16
|512 || 5353 || 16
|512 || 5786 || 16
|512 || 5420 || 16
|512 || 5719 || 16
|512 || 5337 || 16
|512 || 5619 || 16
|512 || 5569 || 16
|576 || 5287 || 16
|576 || 5669 || 16
|576 || 5470 || 16
|576 || 5453 || 16
|576 || 5486 || 16
|576 || 5503 || 16
|576 || 5403 || 16
|576 || 5586 || 16
|1024 || 5786 || 16
|1024 || 5669 || 16
|1024 || 5636 || 16
|1024 || 5603 || 16
|1024 || 5869 || 16
|1024 || 5619 || 16
|1024 || 5653 || 16
|1024 || 5702 || 16
|1536 || 5952 || 16
|1536 || 5752 || 16
|1536 || 5603 || 16
|1536 || 5935 || 16
|1536 || 5769 || 16
|1536 || 6035 || 16
|1536 || 5736 || 16
|1536 || 5702 || 16
|2048 || 5470 || 16
|2048 || 5968 || 16
|2048 || 5702 || 16
|2048 || 5769 || 16
|2048 || 5952 || 16
|2048 || 5835 || 16
|2048 || 5736 || 16
|2048 || 5869 || 16
