| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 543604 || 3380
|0 || 269840 || 3380
|0 || 270223 || 3380
|0 || 270356 || 3380
|0 || 268993 || 3380
|0 || 270605 || 3380
|0 || 289741 || 3380
|0 || 269475 || 3380
|1 || 392816 || 3380
|1 || 391186 || 3380
|1 || 391153 || 3380
|1 || 392566 || 3380
|1 || 389773 || 3380
|1 || 390970 || 3380
|1 || 411502 || 3380
|1 || 389806 || 3380
|2 || 393830 || 3380
|2 || 390239 || 3380
|2 || 390970 || 3380
|2 || 391303 || 3380
|2 || 390721 || 3380
|2 || 391269 || 3380
|2 || 389457 || 3380
|2 || 390870 || 3380
|4 || 392899 || 3380
|4 || 409923 || 3380
|4 || 391336 || 3380
|4 || 390904 || 3380
|4 || 409790 || 3380
|4 || 392117 || 3380
|4 || 390588 || 3380
|4 || 392516 || 3380
|8 || 414744 || 3380
|8 || 389491 || 3380
|8 || 392350 || 3380
|8 || 389358 || 3380
|8 || 391303 || 3380
|8 || 390638 || 3380
|8 || 391186 || 3380
|8 || 390737 || 3380
|16 || 392433 || 3380
|16 || 391469 || 3380
|16 || 390654 || 3380
|16 || 410405 || 3380
|16 || 390604 || 3380
|16 || 390970 || 3380
|16 || 412832 || 3380
|16 || 388460 || 3380
|32 || 392034 || 3380
|32 || 391070 || 3380
|32 || 410904 || 3380
|32 || 389324 || 3380
|32 || 389989 || 3380
|32 || 389856 || 3380
|32 || 390172 || 3380
|32 || 390355 || 3380
|64 || 390937 || 3380
|64 || 410338 || 3380
|64 || 390056 || 3380
|64 || 390072 || 3380
|64 || 389723 || 3380
|64 || 390089 || 3380
|64 || 409424 || 3380
|64 || 389956 || 3380
|128 || 390654 || 3436
|128 || 389840 || 3436
|128 || 389008 || 3436
|128 || 390787 || 3436
|128 || 389673 || 3436
|128 || 389441 || 3436
|128 || 389457 || 3436
|128 || 389075 || 3436
|256 || 511136 || 3436
|256 || 510637 || 3436
|256 || 510404 || 3436
|256 || 510304 || 3436
|256 || 532482 || 3436
|256 || 510304 || 3436
|256 || 511651 || 3436
|256 || 510105 || 3436
|512 || 753445 || 3436
|512 || 752182 || 3436
|512 || 752265 || 3436
|512 || 773960 || 3436
|512 || 752847 || 3436
|512 || 775141 || 3436
|512 || 752148 || 3436
|512 || 774492 || 3436
|576 || 897002 || 3436
|576 || 896919 || 3436
|576 || 897185 || 3436
|576 || 872480 || 3436
|576 || 873860 || 3436
|576 || 874974 || 3436
|576 || 895955 || 3436
|576 || 874442 || 3436
|1024 || 1259344 || 3436
|1024 || 1260823 || 3436
|1024 || 1258014 || 3436
|1024 || 1235304 || 3436
|1024 || 1235903 || 3436
|1024 || 1255670 || 3436
|1024 || 1258363 || 3436
|1024 || 1259577 || 3436
|1536 || 1742516 || 3436
|1536 || 1741835 || 3436
|1536 || 1717778 || 3436
|1536 || 1717811 || 3436
|1536 || 1718028 || 3436
|1536 || 1740438 || 3436
|1536 || 1742416 || 3436
|1536 || 1742283 || 3436
|2048 || 2224608 || 3436
|2048 || 2223727 || 3436
|2048 || 2224874 || 3436
|2048 || 2224974 || 3436
|2048 || 2224724 || 3436
|2048 || 2224658 || 3436
|2048 || 2201632 || 3436
|2048 || 2200718 || 3436
