| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 44021 || 364
|0 || 15728 || 364
|0 || 15626 || 364
|0 || 15750 || 364
|0 || 15615 || 364
|0 || 15604 || 364
|0 || 15705 || 364
|0 || 15491 || 364
|1 || 15739 || 364
|1 || 15660 || 364
|1 || 15649 || 364
|1 || 15581 || 364
|1 || 15401 || 364
|1 || 15323 || 364
|1 || 15683 || 364
|1 || 15761 || 364
|2 || 15761 || 364
|2 || 15514 || 364
|2 || 15503 || 364
|2 || 15536 || 364
|2 || 15683 || 364
|2 || 15559 || 364
|2 || 15559 || 364
|2 || 15536 || 364
|4 || 15210 || 364
|4 || 17921 || 364
|4 || 15581 || 364
|4 || 15491 || 364
|4 || 15412 || 364
|4 || 15514 || 364
|4 || 15368 || 364
|4 || 15266 || 364
|8 || 15660 || 364
|8 || 15773 || 364
|8 || 15638 || 364
|8 || 15728 || 364
|8 || 15581 || 364
|8 || 15604 || 364
|8 || 15570 || 364
|8 || 15514 || 364
|16 || 15728 || 364
|16 || 15806 || 364
|16 || 15593 || 364
|16 || 15683 || 364
|16 || 15705 || 364
|16 || 15817 || 364
|16 || 15896 || 364
|16 || 15896 || 364
|32 || 21870 || 364
|32 || 21668 || 364
|32 || 21848 || 364
|32 || 21870 || 364
|32 || 21938 || 364
|32 || 22050 || 364
|32 || 21634 || 364
|32 || 21960 || 364
|64 || 24570 || 364
|64 || 24570 || 364
|64 || 24323 || 364
|64 || 24390 || 364
|64 || 24536 || 364
|64 || 24626 || 364
|64 || 24536 || 364
|64 || 24705 || 364
|128 || 30465 || 364
|128 || 30083 || 364
|128 || 30071 || 364
|128 || 30060 || 364
|128 || 30353 || 364
|128 || 30420 || 364
|128 || 30274 || 364
|128 || 30184 || 364
|256 || 41198 || 364
|256 || 41164 || 364
|256 || 41164 || 364
|256 || 41209 || 364
|256 || 41130 || 364
|256 || 41276 || 364
|256 || 40995 || 364
|256 || 59029 || 364
|512 || 63428 || 364
|512 || 63439 || 364
|512 || 63371 || 364
|512 || 62899 || 364
|512 || 63383 || 364
|512 || 63124 || 364
|512 || 63135 || 364
|512 || 63113 || 364
|576 || 68996 || 364
|576 || 68490 || 364
|576 || 68963 || 364
|576 || 68974 || 364
|576 || 68670 || 364
|576 || 68535 || 364
|576 || 68580 || 364
|576 || 68524 || 364
|1024 || 107685 || 364
|1024 || 107145 || 364
|1024 || 107595 || 364
|1024 || 122929 || 364
|1024 || 107707 || 364
|1024 || 107651 || 364
|1024 || 107876 || 364
|1024 || 107516 || 364
|1536 || 151976 || 364
|1536 || 151538 || 364
|1536 || 151436 || 364
|1536 || 151706 || 364
|1536 || 151864 || 364
|1536 || 151875 || 364
|1536 || 164194 || 364
|1536 || 165218 || 364
|2048 || 195626 || 364
|2048 || 207664 || 364
|2048 || 195491 || 364
|2048 || 195109 || 364
|2048 || 207518 || 364
|2048 || 195716 || 364
|2048 || 195874 || 364
|2048 || 195739 || 364
