| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 160436 || 1756
|0 || 63428 || 1756
|0 || 63788 || 1756
|0 || 63337 || 1756
|0 || 63135 || 1756
|0 || 63923 || 1756
|0 || 64114 || 1756
|0 || 63304 || 1756
|1 || 106448 || 1756
|1 || 106493 || 1756
|1 || 106909 || 1756
|1 || 106459 || 1756
|1 || 106470 || 1756
|1 || 132120 || 1756
|1 || 106346 || 1756
|1 || 106459 || 1756
|2 || 106358 || 1756
|2 || 106594 || 1756
|2 || 106234 || 1756
|2 || 106583 || 1756
|2 || 106729 || 1756
|2 || 106358 || 1756
|2 || 106211 || 1756
|2 || 106223 || 1756
|4 || 106358 || 1756
|4 || 106335 || 1756
|4 || 130995 || 1756
|4 || 106661 || 1756
|4 || 106087 || 1756
|4 || 106470 || 1756
|4 || 106414 || 1756
|4 || 107111 || 1756
|8 || 106121 || 1756
|8 || 106189 || 1756
|8 || 106065 || 1756
|8 || 106200 || 1756
|8 || 106459 || 1756
|8 || 106898 || 1756
|8 || 106144 || 1756
|8 || 106313 || 1756
|16 || 131929 || 1756
|16 || 121489 || 1756
|16 || 106549 || 1756
|16 || 106223 || 1756
|16 || 106324 || 1756
|16 || 106459 || 1756
|16 || 107201 || 1756
|16 || 107393 || 1756
|32 || 106054 || 1756
|32 || 107213 || 1756
|32 || 106403 || 1756
|32 || 106493 || 1756
|32 || 106493 || 1756
|32 || 131940 || 1756
|32 || 106369 || 1756
|32 || 107021 || 1756
|64 || 106223 || 1756
|64 || 107213 || 1756
|64 || 106785 || 1756
|64 || 120398 || 1756
|64 || 106481 || 1756
|64 || 106875 || 1756
|64 || 106830 || 1756
|64 || 106886 || 1756
|128 || 106043 || 1756
|128 || 106020 || 1756
|128 || 106774 || 1756
|128 || 132671 || 1756
|128 || 107336 || 1756
|128 || 106819 || 1756
|128 || 106740 || 1756
|128 || 106065 || 1756
|256 || 148556 || 1756
|256 || 148984 || 1756
|256 || 149018 || 1756
|256 || 148669 || 1756
|256 || 148568 || 1756
|256 || 148894 || 1756
|256 || 148984 || 1756
|256 || 148973 || 1756
|512 || 259020 || 1756
|512 || 233831 || 1756
|512 || 233809 || 1756
|512 || 233978 || 1756
|512 || 233854 || 1756
|512 || 234146 || 1756
|512 || 234304 || 1756
|512 || 233651 || 1756
|576 || 276716 || 1756
|576 || 277189 || 1756
|576 || 277313 || 1756
|576 || 276975 || 1756
|576 || 291600 || 1756
|576 || 277346 || 1756
|576 || 305966 || 1756
|576 || 277133 || 1756
|1024 || 404258 || 1756
|1024 || 404370 || 1756
|1024 || 404471 || 1756
|1024 || 403965 || 1756
|1024 || 419366 || 1756
|1024 || 405146 || 1756
|1024 || 403718 || 1756
|1024 || 418691 || 1756
|1536 || 573964 || 1756
|1536 || 574538 || 1756
|1536 || 590636 || 1756
|1536 || 599670 || 1756
|1536 || 573795 || 1756
|1536 || 573986 || 1756
|1536 || 589613 || 1756
|1536 || 589995 || 1756
|2048 || 745054 || 1756
|2048 || 759285 || 1756
|2048 || 759049 || 1756
|2048 || 744739 || 1756
|2048 || 764269 || 1756
|2048 || 761119 || 1756
|2048 || 745031 || 1756
|2048 || 758959 || 1756
