| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 365950 || 6404
|0 || 91920 || 6404
|0 || 92269 || 6404
|0 || 92319 || 6404
|0 || 92485 || 6404
|0 || 92485 || 6404
|0 || 92069 || 6404
|0 || 92435 || 6404
|1 || 112884 || 6404
|1 || 109974 || 6404
|1 || 92635 || 6404
|1 || 92601 || 6404
|1 || 92202 || 6404
|1 || 92601 || 6404
|1 || 93034 || 6404
|1 || 113050 || 6404
|2 || 126865 || 6404
|2 || 93383 || 6404
|2 || 112900 || 6404
|2 || 92950 || 6404
|2 || 132551 || 6404
|2 || 94530 || 6404
|2 || 93499 || 6404
|2 || 93416 || 6404
|4 || 143657 || 6404
|4 || 110573 || 6404
|4 || 111570 || 6404
|4 || 93566 || 6404
|4 || 112368 || 6404
|4 || 93549 || 6404
|4 || 93100 || 6404
|4 || 111853 || 6404
|8 || 170739 || 6404
|8 || 135876 || 6404
|8 || 118636 || 6404
|8 || 119966 || 6404
|8 || 118786 || 6404
|8 || 120631 || 6404
|8 || 100448 || 6404
|8 || 99667 || 6404
|16 || 144970 || 6404
|16 || 106949 || 6404
|16 || 108861 || 6404
|16 || 108129 || 6404
|16 || 108728 || 6404
|16 || 107747 || 6404
|16 || 107979 || 6404
|16 || 107680 || 6404
|32 || 122177 || 6404
|32 || 140265 || 6404
|32 || 121994 || 6404
|32 || 122576 || 6404
|32 || 120764 || 6404
|32 || 122227 || 6404
|32 || 140847 || 6404
|32 || 120947 || 6404
|64 || 149376 || 6404
|64 || 147630 || 6404
|64 || 147763 || 6404
|64 || 147780 || 6404
|64 || 148461 || 6404
|64 || 149043 || 6404
|64 || 148810 || 6404
|64 || 148345 || 6404
|128 || 201046 || 6404
|128 || 200764 || 6404
|128 || 199716 || 6404
|128 || 202243 || 6404
|128 || 199816 || 6404
|128 || 200148 || 6404
|128 || 200647 || 6404
|128 || 201711 || 6404
|256 || 302126 || 6404
|256 || 300979 || 6404
|256 || 301943 || 6404
|256 || 303573 || 6404
|256 || 305667 || 6404
|256 || 303340 || 6404
|256 || 303872 || 6404
|256 || 305418 || 6404
|512 || 541044 || 6404
|512 || 519116 || 6404
|512 || 517304 || 6404
|512 || 516838 || 6404
|512 || 514311 || 6404
|512 || 542025 || 6404
|512 || 514810 || 6404
|512 || 537569 || 6404
|576 || 559581 || 6404
|576 || 587860 || 6404
|576 || 564967 || 6404
|576 || 566048 || 6404
|576 || 566996 || 6404
|576 || 594477 || 6404
|576 || 565599 || 6404
|576 || 567112 || 6404
|1024 || 942721 || 6404
|1024 || 920427 || 6404
|1024 || 942754 || 6404
|1024 || 918016 || 6404
|1024 || 918498 || 6404
|1024 || 946628 || 6404
|1024 || 915339 || 6404
|1024 || 919911 || 6404
|1536 || 1346143 || 6404
|1536 || 1316052 || 6404
|1536 || 1322436 || 6404
|1536 || 1346692 || 6404
|1536 || 1344165 || 6404
|1536 || 1319925 || 6404
|1536 || 1323067 || 6404
|1536 || 1345328 || 6404
|2048 || 1739657 || 6404
|2048 || 1751677 || 6404
|2048 || 1723929 || 6404
|2048 || 1720372 || 6404
|2048 || 1747736 || 6404
|2048 || 1753572 || 6404
|2048 || 1750480 || 6404
|2048 || 1718410 || 6404
