| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 369723 || 7180
|0 || 226599 || 7180
|0 || 226266 || 7180
|0 || 226615 || 7180
|0 || 226283 || 7180
|0 || 226649 || 7180
|0 || 226399 || 7180
|0 || 226433 || 7180
|1 || 227264 || 7180
|1 || 226782 || 7180
|1 || 250705 || 7180
|1 || 227098 || 7180
|1 || 226815 || 7180
|1 || 227364 || 7180
|1 || 227364 || 7180
|1 || 249026 || 7180
|2 || 247513 || 7180
|2 || 227231 || 7180
|2 || 226815 || 7180
|2 || 227480 || 7180
|2 || 227231 || 7180
|2 || 227031 || 7180
|2 || 245718 || 7180
|2 || 226150 || 7180
|4 || 226549 || 7180
|4 || 226615 || 7180
|4 || 226466 || 7180
|4 || 247862 || 7180
|4 || 226715 || 7180
|4 || 226582 || 7180
|4 || 226566 || 7180
|4 || 226699 || 7180
|8 || 246549 || 7180
|8 || 226399 || 7180
|8 || 226549 || 7180
|8 || 226948 || 7180
|8 || 226566 || 7180
|8 || 226748 || 7180
|8 || 226715 || 7180
|8 || 243091 || 7180
|16 || 227214 || 7180
|16 || 226699 || 7180
|16 || 226848 || 7180
|16 || 226848 || 7180
|16 || 226815 || 7180
|16 || 226765 || 7180
|16 || 244388 || 7180
|16 || 226848 || 7180
|32 || 227214 || 7180
|32 || 226665 || 7180
|32 || 226516 || 7180
|32 || 226665 || 7180
|32 || 226715 || 7180
|32 || 226881 || 7180
|32 || 226881 || 7180
|32 || 227297 || 7180
|64 || 227247 || 7180
|64 || 227031 || 7180
|64 || 244437 || 7180
|64 || 227048 || 7180
|64 || 227314 || 7180
|64 || 226715 || 7180
|64 || 227164 || 7180
|64 || 227098 || 7180
|128 || 227430 || 7180
|128 || 227630 || 7180
|128 || 227364 || 7180
|128 || 227763 || 7180
|128 || 227463 || 7180
|128 || 227580 || 7180
|128 || 227580 || 7180
|128 || 246416 || 7180
|256 || 228228 || 7180
|256 || 228710 || 7180
|256 || 228411 || 7180
|256 || 228378 || 7180
|256 || 227979 || 7180
|256 || 228727 || 7180
|256 || 248411 || 7180
|256 || 228461 || 7180
|512 || 229940 || 7180
|512 || 230406 || 7180
|512 || 251287 || 7180
|512 || 229891 || 7180
|512 || 230090 || 7180
|512 || 253930 || 7180
|512 || 229259 || 7180
|512 || 230107 || 7180
|576 || 538018 || 7180
|576 || 514311 || 7180
|576 || 540096 || 7180
|576 || 514394 || 7180
|576 || 514228 || 7180
|576 || 514810 || 7180
|576 || 514145 || 7180
|576 || 514361 || 7180
|1024 || 515209 || 7180
|1024 || 515176 || 7180
|1024 || 515109 || 7180
|1024 || 515176 || 7180
|1024 || 515026 || 7180
|1024 || 515192 || 7180
|1024 || 515508 || 7180
|1024 || 533363 || 7180
|1536 || 657303 || 7180
|1536 || 657336 || 7180
|1536 || 657253 || 7180
|1536 || 657535 || 7180
|1536 || 657220 || 7180
|1536 || 657336 || 7180
|1536 || 657469 || 7180
|1536 || 657319 || 7180
|2048 || 799829 || 7180
|2048 || 799712 || 7180
|2048 || 799230 || 7180
|2048 || 799131 || 7180
|2048 || 825415 || 7180
|2048 || 800111 || 7180
|2048 || 799047 || 7180
|2048 || 824750 || 7180
