| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 64215 || 1328
|0 || 64046 || 1328
|0 || 62764 || 1328
|0 || 64091 || 1328
|0 || 63979 || 1328
|0 || 72394 || 1328
|0 || 64103 || 1328
|0 || 64204 || 1328
|1 || 70526 || 1328
|1 || 71145 || 1328
|1 || 70605 || 1328
|1 || 75825 || 1328
|1 || 100496 || 1328
|1 || 71168 || 1328
|1 || 70886 || 1328
|1 || 70189 || 1328
|2 || 70661 || 1328
|2 || 70290 || 1328
|2 || 70639 || 1328
|2 || 70774 || 1328
|2 || 70031 || 1328
|2 || 70076 || 1328
|2 || 70583 || 1328
|2 || 70763 || 1328
|4 || 70819 || 1328
|4 || 70380 || 1328
|4 || 70661 || 1328
|4 || 69930 || 1328
|4 || 70864 || 1328
|4 || 77839 || 1328
|4 || 70583 || 1328
|4 || 70493 || 1328
|8 || 71741 || 1328
|8 || 71359 || 1328
|8 || 71606 || 1328
|8 || 71933 || 1328
|8 || 71730 || 1328
|8 || 71629 || 1328
|8 || 71370 || 1328
|8 || 71224 || 1328
|16 || 102938 || 1328
|16 || 73181 || 1328
|16 || 73440 || 1328
|16 || 73080 || 1328
|16 || 72360 || 1328
|16 || 73159 || 1328
|16 || 72979 || 1328
|16 || 72619 || 1328
|32 || 76343 || 1328
|32 || 108506 || 1328
|32 || 76748 || 1328
|32 || 76331 || 1328
|32 || 76399 || 1328
|32 || 83329 || 1328
|32 || 120814 || 1328
|32 || 76455 || 1328
|64 || 82575 || 1328
|64 || 82485 || 1328
|64 || 82969 || 1328
|64 || 82721 || 1328
|64 || 82755 || 1328
|64 || 83745 || 1328
|64 || 82901 || 1328
|64 || 110779 || 1328
|128 || 94793 || 1328
|128 || 95479 || 1328
|128 || 95074 || 1328
|128 || 96131 || 1328
|128 || 95963 || 1328
|128 || 95276 || 1328
|128 || 95276 || 1328
|128 || 94016 || 1328
|256 || 120533 || 1328
|256 || 121433 || 1328
|256 || 120634 || 1328
|256 || 876724 || 1328
|256 || 120555 || 1328
|256 || 120679 || 1328
|256 || 121455 || 1328
|256 || 120611 || 1328
|512 || 171045 || 1328
|512 || 171450 || 1328
|512 || 172035 || 1328
|512 || 171349 || 1328
|512 || 172125 || 1328
|512 || 172249 || 1328
|512 || 178605 || 1328
|512 || 171810 || 1328
|576 || 184387 || 1328
|576 || 184343 || 1328
|576 || 184151 || 1328
|576 || 184264 || 1328
|576 || 183802 || 1328
|576 || 184523 || 1328
|576 || 184399 || 1328
|576 || 183836 || 1328
|1024 || 280463 || 1328
|1024 || 272880 || 1328
|1024 || 280845 || 1328
|1024 || 272813 || 1328
|1024 || 273206 || 1328
|1024 || 273116 || 1328
|1024 || 273454 || 1328
|1024 || 272846 || 1328
|1536 || 382061 || 1328
|1536 || 374468 || 1328
|1536 || 374546 || 1328
|1536 || 417454 || 1328
|1536 || 374771 || 1328
|1536 || 374974 || 1328
|1536 || 373905 || 1328
|1536 || 373950 || 1328
|2048 || 475763 || 1328
|2048 || 483593 || 1328
|2048 || 585900 || 1328
|2048 || 476145 || 1328
|2048 || 482783 || 1328
|2048 || 516274 || 1328
|2048 || 475470 || 1328
|2048 || 483784 || 1328
