| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 53786 || 1688
|0 || 53145 || 1688
|0 || 53359 || 1688
|0 || 54203 || 1688
|0 || 53370 || 1688
|0 || 53246 || 1688
|0 || 53066 || 1688
|0 || 53348 || 1688
|1 || 54191 || 1704
|1 || 55024 || 1704
|1 || 54855 || 1704
|1 || 53876 || 1704
|1 || 54158 || 1704
|1 || 53854 || 1704
|1 || 54304 || 1704
|1 || 53854 || 1704
|2 || 53573 || 1704
|2 || 53584 || 1704
|2 || 54034 || 1704
|2 || 54023 || 1704
|2 || 54000 || 1704
|2 || 52087 || 1704
|2 || 52312 || 1704
|2 || 53888 || 1704
|4 || 53539 || 1688
|4 || 53449 || 1688
|4 || 53719 || 1688
|4 || 53303 || 1688
|4 || 53325 || 1688
|4 || 53561 || 1688
|4 || 54338 || 1688
|4 || 53246 || 1688
|8 || 54439 || 1688
|8 || 53685 || 1688
|8 || 53505 || 1688
|8 || 67556 || 1688
|8 || 53876 || 1688
|8 || 54124 || 1688
|8 || 53606 || 1688
|8 || 54765 || 1688
|16 || 54135 || 1688
|16 || 53460 || 1688
|16 || 53786 || 1688
|16 || 54113 || 1688
|16 || 53809 || 1688
|16 || 53426 || 1688
|16 || 53471 || 1688
|16 || 53685 || 1688
|32 || 53640 || 1688
|32 || 53786 || 1688
|32 || 53651 || 1688
|32 || 54158 || 1688
|32 || 54090 || 1688
|32 || 53606 || 1688
|32 || 52133 || 1688
|32 || 53707 || 1688
|64 || 69514 || 1688
|64 || 69458 || 1688
|64 || 69176 || 1688
|64 || 69379 || 1688
|64 || 69098 || 1688
|64 || 88223 || 1688
|64 || 69053 || 1688
|64 || 69626 || 1688
|128 || 84173 || 1688
|128 || 81810 || 1688
|128 || 83981 || 1688
|128 || 83779 || 1688
|128 || 84195 || 1688
|128 || 84128 || 1688
|128 || 117236 || 1688
|128 || 84263 || 1688
|256 || 114368 || 1688
|256 || 111589 || 1688
|256 || 114053 || 1688
|256 || 147701 || 1688
|256 || 113749 || 1688
|256 || 113681 || 1688
|256 || 113929 || 1688
|256 || 113513 || 1688
|512 || 172699 || 1688
|512 || 172901 || 1688
|512 || 180506 || 1688
|512 || 172800 || 1688
|512 || 172429 || 1688
|512 || 172586 || 1688
|512 || 178245 || 1688
|512 || 172688 || 1688
|576 || 187178 || 1688
|576 || 185546 || 1688
|576 || 185096 || 1688
|576 || 187549 || 1688
|576 || 187706 || 1688
|576 || 195075 || 1688
|576 || 187931 || 1688
|576 || 187841 || 1688
|1024 || 332415 || 1688
|1024 || 338276 || 1688
|1024 || 291071 || 1688
|1024 || 288731 || 1688
|1024 || 291386 || 1688
|1024 || 290678 || 1688
|1024 || 291386 || 1688
|1024 || 291263 || 1688
|1536 || 416914 || 1688
|1536 || 406991 || 1688
|1536 || 414968 || 1688
|1536 || 521516 || 1688
|1536 || 430841 || 1688
|1536 || 716985 || 1688
|1536 || 409230 || 1688
|1536 || 409500 || 1688
|2048 || 570780 || 1688
|2048 || 527524 || 1688
|2048 || 528210 || 1688
|2048 || 527648 || 1688
|2048 || 527591 || 1688
|2048 || 534904 || 1688
|2048 || 528154 || 1688
|2048 || 528086 || 1688
