| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 16291125 || 976
|0 || 46530 || 976
|0 || 46991 || 976
|0 || 47306 || 976
|0 || 46620 || 976
|0 || 46643 || 976
|0 || 46541 || 976
|0 || 46620 || 976
|1 || 47453 || 976
|1 || 48161 || 976
|1 || 47711 || 976
|1 || 47396 || 976
|1 || 54270 || 976
|1 || 47621 || 976
|1 || 47554 || 976
|1 || 48094 || 976
|2 || 47723 || 976
|2 || 47993 || 976
|2 || 47509 || 976
|2 || 47284 || 976
|2 || 47160 || 976
|2 || 48398 || 976
|2 || 47655 || 976
|2 || 48544 || 976
|4 || 47633 || 976
|4 || 48060 || 976
|4 || 48330 || 976
|4 || 48161 || 976
|4 || 47734 || 976
|4 || 48263 || 976
|4 || 48116 || 976
|4 || 47677 || 976
|8 || 48971 || 976
|8 || 48083 || 976
|8 || 48296 || 976
|8 || 47801 || 976
|8 || 48173 || 976
|8 || 48544 || 976
|8 || 48184 || 976
|8 || 48668 || 976
|16 || 49264 || 976
|16 || 95333 || 976
|16 || 49253 || 976
|16 || 49343 || 976
|16 || 48938 || 976
|16 || 49421 || 976
|16 || 49061 || 976
|16 || 49106 || 976
|32 || 50186 || 976
|32 || 49905 || 976
|32 || 49725 || 976
|32 || 49433 || 976
|32 || 50040 || 976
|32 || 49770 || 976
|32 || 50558 || 976
|32 || 50411 || 976
|64 || 52211 || 976
|64 || 51154 || 976
|64 || 52549 || 976
|64 || 51683 || 976
|64 || 51683 || 976
|64 || 51424 || 976
|64 || 52076 || 976
|64 || 51784 || 976
|128 || 53786 || 976
|128 || 53888 || 976
|128 || 53730 || 976
|128 || 53584 || 976
|128 || 53809 || 976
|128 || 54180 || 976
|128 || 54169 || 976
|128 || 54090 || 976
|256 || 76523 || 992
|256 || 76196 || 992
|256 || 76005 || 992
|256 || 76264 || 992
|256 || 76410 || 992
|256 || 75735 || 992
|256 || 76084 || 992
|256 || 76005 || 992
|512 || 115155 || 992
|512 || 132480 || 992
|512 || 115155 || 992
|512 || 113974 || 992
|512 || 115695 || 992
|512 || 115031 || 992
|512 || 115099 || 992
|512 || 117911 || 992
|576 || 132041 || 992
|576 || 132041 || 992
|576 || 132165 || 992
|576 || 132390 || 992
|576 || 135326 || 992
|576 || 132480 || 992
|576 || 148376 || 992
|576 || 132728 || 992
|1024 || 193129 || 992
|1024 || 193298 || 992
|1024 || 196920 || 992
|1024 || 193444 || 992
|1024 || 193849 || 992
|1024 || 193230 || 992
|1024 || 193230 || 992
|1024 || 193489 || 992
|1536 || 270675 || 992
|1536 || 293906 || 992
|1536 || 269550 || 992
|1536 || 269483 || 992
|1536 || 269393 || 992
|1536 || 315045 || 992
|1536 || 270146 || 992
|1536 || 313346 || 992
|2048 || 346523 || 992
|2048 || 646976 || 992
|2048 || 346444 || 992
|2048 || 396416 || 992
|2048 || 346410 || 992
|2048 || 346624 || 992
|2048 || 368921 || 992
|2048 || 345510 || 992
