| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 21600 || 668
|0 || 21218 || 668
|0 || 21510 || 668
|0 || 21341 || 668
|0 || 21386 || 668
|0 || 21386 || 668
|0 || 21825 || 668
|0 || 21431 || 668
|1 || 21566 || 668
|1 || 21499 || 668
|1 || 21386 || 668
|1 || 21398 || 668
|1 || 21814 || 668
|1 || 21330 || 668
|1 || 21735 || 668
|1 || 21409 || 668
|2 || 21600 || 668
|2 || 22061 || 668
|2 || 21983 || 668
|2 || 21634 || 668
|2 || 21454 || 668
|2 || 21713 || 668
|2 || 21341 || 668
|2 || 21634 || 668
|4 || 21521 || 668
|4 || 21600 || 668
|4 || 21668 || 668
|4 || 21431 || 668
|4 || 21645 || 668
|4 || 21285 || 668
|4 || 22185 || 668
|4 || 21949 || 668
|8 || 21488 || 668
|8 || 21578 || 668
|8 || 22061 || 668
|8 || 21690 || 668
|8 || 21915 || 668
|8 || 21465 || 668
|8 || 21499 || 668
|8 || 21465 || 668
|16 || 21589 || 668
|16 || 22185 || 668
|16 || 21983 || 668
|16 || 21938 || 668
|16 || 21555 || 668
|16 || 21555 || 668
|16 || 21589 || 668
|16 || 21746 || 668
|32 || 21521 || 668
|32 || 21218 || 668
|32 || 21544 || 668
|32 || 21465 || 668
|32 || 21454 || 668
|32 || 21263 || 668
|32 || 21870 || 668
|32 || 21431 || 668
|64 || 33109 || 668
|64 || 33109 || 668
|64 || 33098 || 668
|64 || 33199 || 668
|64 || 33064 || 668
|64 || 40061 || 668
|64 || 33008 || 668
|64 || 33109 || 668
|128 || 34583 || 668
|128 || 34459 || 668
|128 || 34639 || 668
|128 || 34661 || 668
|128 || 34594 || 668
|128 || 34605 || 668
|128 || 34605 || 668
|128 || 34740 || 668
|256 || 37755 || 668
|256 || 37631 || 668
|256 || 37890 || 668
|256 || 37834 || 668
|256 || 37845 || 668
|256 || 37755 || 668
|256 || 37901 || 668
|256 || 37665 || 668
|512 || 44235 || 668
|512 || 44235 || 668
|512 || 44235 || 668
|512 || 44325 || 668
|512 || 44224 || 668
|512 || 45518 || 668
|512 || 44156 || 668
|512 || 44314 || 668
|576 || 45630 || 668
|576 || 45855 || 668
|576 || 46148 || 668
|576 || 45866 || 668
|576 || 46069 || 668
|576 || 45720 || 668
|576 || 45360 || 668
|576 || 45743 || 668
|1024 || 64080 || 668
|1024 || 56914 || 668
|1024 || 56936 || 668
|1024 || 56599 || 668
|1024 || 56768 || 668
|1024 || 56903 || 668
|1024 || 57274 || 668
|1024 || 56959 || 668
|1536 || 69536 || 668
|1536 || 69728 || 668
|1536 || 69424 || 668
|1536 || 69334 || 668
|1536 || 69491 || 668
|1536 || 70200 || 668
|1536 || 69581 || 668
|1536 || 69919 || 668
|2048 || 82339 || 668
|2048 || 110959 || 668
|2048 || 82361 || 668
|2048 || 82181 || 668
|2048 || 82271 || 668
|2048 || 82564 || 668
|2048 || 82418 || 668
|2048 || 82170 || 668
