| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 4182871 || 960
|0 || 4182871 || 960
|0 || 4182871 || 960
|0 || 4182871 || 960
|0 || 4182870 || 960
|0 || 4182870 || 960
|0 || 4182871 || 960
|0 || 4182871 || 960
|1 || 4184829 || 960
|1 || 4184829 || 960
|1 || 4184829 || 960
|1 || 4184830 || 960
|1 || 4184830 || 960
|1 || 4184829 || 960
|1 || 4184829 || 960
|1 || 4184829 || 960
|2 || 4185752 || 960
|2 || 4185752 || 960
|2 || 4185752 || 960
|2 || 4185752 || 960
|2 || 4185752 || 960
|2 || 4185752 || 960
|2 || 4185752 || 960
|2 || 4185752 || 960
|4 || 4400799 || 960
|4 || 4400798 || 960
|4 || 4400799 || 960
|4 || 4400799 || 960
|4 || 4400798 || 960
|4 || 4400799 || 960
|4 || 4400798 || 960
|4 || 4400798 || 960
|8 || 4617635 || 960
|8 || 4617635 || 960
|8 || 4617634 || 960
|8 || 4617635 || 960
|8 || 4617635 || 960
|8 || 4617635 || 960
|8 || 4617636 || 960
|8 || 4617635 || 960
|16 || 5051308 || 960
|16 || 5051308 || 960
|16 || 5051309 || 960
|16 || 5051308 || 960
|16 || 5051309 || 960
|16 || 5051309 || 960
|16 || 5051309 || 960
|16 || 5051309 || 960
|32 || 5918646 || 960
|32 || 5918647 || 960
|32 || 5918648 || 960
|32 || 5918646 || 960
|32 || 5918647 || 960
|32 || 5918646 || 960
|32 || 5918647 || 960
|32 || 5918646 || 960
|64 || 7653052 || 960
|64 || 7653053 || 960
|64 || 7653054 || 960
|64 || 7653053 || 960
|64 || 7653053 || 960
|64 || 7653054 || 960
|64 || 7653054 || 960
|64 || 7653053 || 960
|128 || 11121865 || 960
|128 || 11121866 || 960
|128 || 11121866 || 960
|128 || 11121865 || 960
|128 || 11121865 || 960
|128 || 11121865 || 960
|128 || 11121865 || 960
|128 || 11121866 || 960
|256 || 18059490 || 960
|256 || 18059489 || 960
|256 || 18059490 || 960
|256 || 18059490 || 960
|256 || 18059490 || 960
|256 || 18059489 || 960
|256 || 18059489 || 960
|256 || 18059490 || 960
|512 || 31934739 || 960
|512 || 31934738 || 960
|512 || 31934738 || 960
|512 || 31934738 || 960
|512 || 31934738 || 960
|512 || 31934737 || 960
|512 || 31934737 || 960
|512 || 31934737 || 960
|1024 || 59685265 || 960
|1024 || 59685266 || 960
|1024 || 59685263 || 960
|1024 || 59685259 || 960
|1024 || 59685254 || 960
|1024 || 59685249 || 960
|1024 || 59685247 || 960
|1024 || 59685245 || 960
|1536 || 87435742 || 960
|1536 || 87435741 || 960
|1536 || 87435739 || 960
|1536 || 87435736 || 960
|1536 || 87435731 || 960
|1536 || 87435728 || 960
|1536 || 87435730 || 960
|1536 || 87435725 || 960
|2048 || 115186216 || 960
|2048 || 115186213 || 960
|2048 || 115186211 || 960
|2048 || 115186210 || 960
|2048 || 115186205 || 960
|2048 || 115186199 || 960
|2048 || 115186193 || 960
|2048 || 115186191 || 960
