| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 62876 || 1340
|0 || 27099 || 1340
|0 || 27731 || 1340
|0 || 27332 || 1340
|0 || 27448 || 1340
|0 || 27631 || 1340
|0 || 27431 || 1340
|0 || 27797 || 1340
|1 || 27232 || 1340
|1 || 27963 || 1340
|1 || 27199 || 1340
|1 || 27598 || 1340
|1 || 27564 || 1340
|1 || 27199 || 1340
|1 || 27514 || 1340
|1 || 27398 || 1340
|2 || 27564 || 1340
|2 || 26883 || 1340
|2 || 27514 || 1340
|2 || 27066 || 1340
|2 || 27797 || 1340
|2 || 27282 || 1340
|2 || 27614 || 1340
|2 || 27465 || 1340
|4 || 27498 || 1340
|4 || 27082 || 1340
|4 || 27631 || 1340
|4 || 27332 || 1340
|4 || 27049 || 1340
|4 || 27348 || 1340
|4 || 27348 || 1340
|4 || 26999 || 1340
|8 || 27930 || 1340
|8 || 26800 || 1340
|8 || 27265 || 1340
|8 || 27315 || 1340
|8 || 27149 || 1340
|8 || 27165 || 1340
|8 || 27581 || 1340
|8 || 27298 || 1340
|16 || 27149 || 1340
|16 || 27332 || 1340
|16 || 27182 || 1340
|16 || 27381 || 1340
|16 || 27381 || 1340
|16 || 27647 || 1340
|16 || 27498 || 1340
|16 || 26816 || 1340
|32 || 27614 || 1340
|32 || 27182 || 1340
|32 || 27332 || 1340
|32 || 27381 || 1340
|32 || 27298 || 1340
|32 || 27564 || 1340
|32 || 27514 || 1340
|32 || 27381 || 1340
|64 || 30906 || 1340
|64 || 30391 || 1340
|64 || 30158 || 1340
|64 || 30391 || 1340
|64 || 30540 || 1340
|64 || 30440 || 1340
|64 || 29992 || 1340
|64 || 30307 || 1340
|128 || 33782 || 1340
|128 || 32884 || 1340
|128 || 33466 || 1340
|128 || 33632 || 1340
|128 || 33001 || 1340
|128 || 33466 || 1340
|128 || 33416 || 1340
|128 || 33649 || 1340
|256 || 39651 || 1340
|256 || 39368 || 1340
|256 || 39185 || 1340
|256 || 39135 || 1340
|256 || 39418 || 1340
|256 || 39767 || 1340
|256 || 39418 || 1340
|256 || 39368 || 1340
|512 || 51887 || 1340
|512 || 50939 || 1340
|512 || 52119 || 1340
|512 || 51006 || 1340
|512 || 51438 || 1340
|512 || 51355 || 1340
|512 || 51122 || 1340
|512 || 51405 || 1340
|576 || 55012 || 1340
|576 || 54164 || 1340
|576 || 54297 || 1340
|576 || 54065 || 1340
|576 || 54347 || 1340
|576 || 54430 || 1340
|576 || 54497 || 1340
|576 || 53965 || 1340
|1024 || 76010 || 1340
|1024 || 75411 || 1340
|1024 || 75677 || 1340
|1024 || 75345 || 1340
|1024 || 75744 || 1340
|1024 || 75677 || 1340
|1024 || 75478 || 1340
|1024 || 75295 || 1340
|1536 || 99268 || 1340
|1536 || 99434 || 1340
|1536 || 99135 || 1340
|1536 || 98985 || 1340
|1536 || 99517 || 1340
|1536 || 99002 || 1340
|1536 || 99068 || 1340
|1536 || 99251 || 1340
|2048 || 142194 || 1340
|2048 || 122543 || 1340
|2048 || 122759 || 1340
|2048 || 122776 || 1340
|2048 || 122659 || 1340
|2048 || 122510 || 1340
|2048 || 122609 || 1340
|2048 || 141695 || 1340
