| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 163507 || 5132
|0 || 63574 || 5132
|0 || 65685 || 5132
|0 || 63075 || 5132
|0 || 64954 || 5132
|0 || 64123 || 5132
|0 || 64006 || 5132
|0 || 63707 || 5132
|1 || 65602 || 5132
|1 || 64322 || 5132
|1 || 65153 || 5132
|1 || 62460 || 5132
|1 || 64555 || 5132
|1 || 64655 || 5132
|1 || 82793 || 5132
|1 || 64089 || 5132
|2 || 65569 || 5132
|2 || 63491 || 5132
|2 || 64738 || 5132
|2 || 64522 || 5132
|2 || 65004 || 5131
|2 || 63757 || 5132
|2 || 64887 || 5132
|2 || 64488 || 5132
|4 || 66168 || 5132
|4 || 63325 || 5132
|4 || 64272 || 5132
|4 || 63973 || 5132
|4 || 64688 || 5132
|4 || 64721 || 5132
|4 || 64821 || 5132
|4 || 63424 || 5132
|8 || 66035 || 5132
|8 || 64139 || 5132
|8 || 65286 || 5132
|8 || 85336 || 5132
|8 || 64488 || 5132
|8 || 64887 || 5132
|8 || 64222 || 5132
|8 || 64771 || 5132
|16 || 65685 || 5132
|16 || 64405 || 5132
|16 || 64389 || 5132
|16 || 64838 || 5132
|16 || 64439 || 5132
|16 || 64073 || 5132
|16 || 65303 || 5132
|16 || 64106 || 5132
|32 || 65785 || 5132
|32 || 64156 || 5132
|32 || 64538 || 5132
|32 || 85469 || 5132
|32 || 63890 || 5132
|32 || 64954 || 5132
|32 || 65037 || 5132
|32 || 63674 || 5132
|64 || 74779 || 5132
|64 || 71687 || 5132
|64 || 73034 || 5132
|64 || 73599 || 5132
|64 || 71504 || 5132
|64 || 74164 || 5132
|64 || 72302 || 5132
|64 || 72917 || 5132
|128 || 82643 || 5132
|128 || 81662 || 5132
|128 || 83773 || 5132
|128 || 82360 || 5132
|128 || 82310 || 5132
|128 || 82194 || 5132
|128 || 82743 || 5132
|128 || 82194 || 5132
|256 || 99135 || 5132
|256 || 98586 || 5132
|256 || 130673 || 5132
|256 || 98653 || 5132
|256 || 98570 || 5132
|256 || 99351 || 5132
|256 || 98054 || 5132
|256 || 146533 || 5132
|512 || 132235 || 5132
|512 || 131587 || 5132
|512 || 131770 || 5132
|512 || 132003 || 5132
|512 || 132302 || 5132
|512 || 131936 || 5132
|512 || 132069 || 5132
|512 || 170473 || 5132
|576 || 140016 || 5132
|576 || 140199 || 5132
|576 || 140016 || 5132
|576 || 139800 || 5132
|576 || 189459 || 5132
|576 || 140016 || 5132
|576 || 140066 || 5132
|576 || 140598 || 5132
|1024 || 197206 || 5132
|1024 || 198120 || 5132
|1024 || 197887 || 5132
|1024 || 197788 || 5132
|1024 || 197655 || 5132
|1024 || 197422 || 5132
|1024 || 197422 || 5132
|1024 || 197538 || 5132
|1536 || 263639 || 5132
|1536 || 262974 || 5132
|1536 || 263240 || 5132
|1536 || 263107 || 5132
|1536 || 262991 || 5132
|1536 || 262525 || 5132
|1536 || 263689 || 5132
|1536 || 262492 || 5132
|2048 || 327579 || 5132
|2048 || 328344 || 5132
|2048 || 327479 || 5132
|2048 || 327562 || 5132
|2048 || 327845 || 5132
|2048 || 327812 || 5132
|2048 || 327762 || 5132
|2048 || 328327 || 5132
