| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 226998 || 5272
|0 || 79634 || 5268
|0 || 79883 || 5268
|0 || 79717 || 5268
|0 || 79484 || 5268
|0 || 80000 || 5268
|0 || 79384 || 5268
|0 || 80515 || 5268
|1 || 79734 || 5268
|1 || 79251 || 5268
|1 || 79983 || 5268
|1 || 79650 || 5268
|1 || 79567 || 5268
|1 || 79584 || 5268
|1 || 79251 || 5268
|1 || 79667 || 5268
|2 || 80149 || 5268
|2 || 79501 || 5268
|2 || 79501 || 5268
|2 || 80083 || 5268
|2 || 79351 || 5268
|2 || 79617 || 5268
|2 || 80083 || 5268
|2 || 79634 || 5268
|4 || 79667 || 5268
|4 || 79135 || 5268
|4 || 79900 || 5268
|4 || 79667 || 5268
|4 || 79301 || 5268
|4 || 79335 || 5268
|4 || 79351 || 5268
|4 || 80049 || 5268
|8 || 79501 || 5268
|8 || 79301 || 5268
|8 || 79916 || 5268
|8 || 79468 || 5268
|8 || 79783 || 5268
|8 || 79484 || 5268
|8 || 79335 || 5268
|8 || 79684 || 5268
|16 || 80133 || 5276
|16 || 79202 || 5276
|16 || 79601 || 5276
|16 || 79601 || 5276
|16 || 79135 || 5276
|16 || 79501 || 5276
|16 || 79484 || 5276
|16 || 79484 || 5276
|32 || 79617 || 5276
|32 || 78952 || 5276
|32 || 79650 || 5276
|32 || 79833 || 5276
|32 || 79684 || 5276
|32 || 79750 || 5276
|32 || 79800 || 5276
|32 || 79218 || 5276
|64 || 79684 || 5276
|64 || 79384 || 5276
|64 || 79783 || 5276
|64 || 79501 || 5276
|64 || 79933 || 5276
|64 || 79817 || 5276
|64 || 79567 || 5276
|64 || 79202 || 5276
|128 || 202875 || 5276
|128 || 125785 || 5276
|128 || 125652 || 5276
|128 || 125801 || 5276
|128 || 125885 || 5276
|128 || 125768 || 5276
|128 || 125585 || 5276
|128 || 145735 || 5276
|256 || 145602 || 5276
|256 || 144987 || 5276
|256 || 145652 || 5276
|256 || 145070 || 5276
|256 || 145419 || 5276
|256 || 145120 || 5276
|256 || 145352 || 5276
|256 || 145070 || 5276
|512 || 184471 || 5276
|512 || 184188 || 5276
|512 || 184255 || 5276
|512 || 184188 || 5276
|512 || 184654 || 5276
|512 || 230423 || 5276
|512 || 184504 || 5276
|512 || 184654 || 5276
|576 || 193897 || 5276
|576 || 193947 || 5276
|576 || 194097 || 5276
|576 || 238669 || 5276
|576 || 194047 || 5276
|576 || 193864 || 5276
|576 || 194163 || 5276
|576 || 193848 || 5276
|1024 || 262176 || 5276
|1024 || 261661 || 5276
|1024 || 261960 || 5276
|1024 || 261545 || 5276
|1024 || 262210 || 5276
|1024 || 288843 || 5276
|1024 || 261644 || 5276
|1024 || 262010 || 5276
|1536 || 338984 || 5276
|1536 || 339150 || 5276
|1536 || 339167 || 5276
|1536 || 338984 || 5276
|1536 || 338901 || 5276
|1536 || 339965 || 5276
|1536 || 338768 || 5276
|1536 || 339333 || 5276
|2048 || 416207 || 5276
|2048 || 416556 || 5276
|2048 || 415725 || 5276
|2048 || 416440 || 5276
|2048 || 415974 || 5276
|2048 || 462291 || 5276
|2048 || 463156 || 5276
|2048 || 416323 || 5276
