| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 244371 || 692
|0 || 107082 || 692
|0 || 106683 || 692
|0 || 107132 || 692
|0 || 106882 || 692
|0 || 107231 || 692
|0 || 106250 || 692
|0 || 106899 || 692
|1 || 106367 || 692
|1 || 107331 || 692
|1 || 106350 || 692
|1 || 107065 || 692
|1 || 106550 || 692
|1 || 106982 || 692
|1 || 106018 || 692
|1 || 106849 || 692
|2 || 106982 || 692
|2 || 106666 || 692
|2 || 105785 || 692
|2 || 106699 || 692
|2 || 106068 || 692
|2 || 106433 || 692
|2 || 106217 || 692
|2 || 105935 || 692
|4 || 106766 || 692
|4 || 107032 || 692
|4 || 106234 || 692
|4 || 105868 || 692
|4 || 126117 || 692
|4 || 106949 || 692
|4 || 106483 || 692
|4 || 106849 || 692
|8 || 106616 || 692
|8 || 106782 || 692
|8 || 106117 || 692
|8 || 106500 || 692
|8 || 106866 || 692
|8 || 107314 || 692
|8 || 106849 || 692
|8 || 106849 || 692
|16 || 106782 || 692
|16 || 127348 || 692
|16 || 107281 || 692
|16 || 106699 || 692
|16 || 107115 || 692
|16 || 105851 || 692
|16 || 107265 || 692
|16 || 106683 || 692
|32 || 108861 || 692
|32 || 108744 || 692
|32 || 106965 || 692
|32 || 106882 || 692
|32 || 107265 || 692
|32 || 106649 || 692
|32 || 107065 || 692
|32 || 107364 || 692
|64 || 125602 || 692
|64 || 124272 || 692
|64 || 125486 || 692
|64 || 126018 || 692
|64 || 125286 || 692
|64 || 125718 || 692
|64 || 125752 || 692
|64 || 125253 || 692
|128 || 145070 || 692
|128 || 163640 || 692
|128 || 144638 || 692
|128 || 144787 || 692
|128 || 144172 || 692
|128 || 144554 || 692
|128 || 145070 || 692
|128 || 144721 || 692
|256 || 184770 || 692
|256 || 183241 || 692
|256 || 183773 || 692
|256 || 183291 || 692
|256 || 183673 || 692
|256 || 182942 || 692
|256 || 202991 || 692
|256 || 182925 || 692
|512 || 258885 || 692
|512 || 259699 || 692
|512 || 259566 || 692
|512 || 260065 || 692
|512 || 259699 || 692
|512 || 259998 || 692
|512 || 259466 || 692
|512 || 259666 || 692
|576 || 299167 || 692
|576 || 278170 || 692
|576 || 277820 || 692
|576 || 300297 || 692
|576 || 278552 || 692
|576 || 278053 || 692
|576 || 300680 || 692
|576 || 278485 || 692
|1024 || 431785 || 692
|1024 || 413181 || 692
|1024 || 434145 || 692
|1024 || 412416 || 692
|1024 || 411552 || 692
|1024 || 432383 || 692
|1024 || 412001 || 692
|1024 || 411485 || 692
|1536 || 563538 || 692
|1536 || 564053 || 692
|1536 || 562557 || 692
|1536 || 562856 || 692
|1536 || 583504 || 692
|1536 || 563588 || 692
|1536 || 583720 || 692
|1536 || 562690 || 692
|2048 || 713911 || 692
|2048 || 714559 || 692
|2048 || 714975 || 692
|2048 || 733961 || 692
|2048 || 713977 || 692
|2048 || 714177 || 692
|2048 || 714775 || 692
|2048 || 713894 || 692
