| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 411003 || 1736
|0 || 185851 || 1736
|0 || 185203 || 1736
|0 || 185884 || 1736
|0 || 184488 || 1736
|0 || 186483 || 1736
|0 || 185402 || 1736
|0 || 185668 || 1736
|1 || 185635 || 1736
|1 || 185735 || 1736
|1 || 185784 || 1736
|1 || 186084 || 1736
|1 || 185469 || 1736
|1 || 185269 || 1736
|1 || 186034 || 1736
|1 || 185485 || 1736
|2 || 186649 || 1736
|2 || 185602 || 1736
|2 || 185286 || 1736
|2 || 185701 || 1736
|2 || 185868 || 1736
|2 || 184737 || 1736
|2 || 185119 || 1736
|2 || 185635 || 1736
|4 || 186034 || 1736
|4 || 185535 || 1736
|4 || 186316 || 1736
|4 || 186383 || 1736
|4 || 184654 || 1736
|4 || 185951 || 1736
|4 || 186383 || 1736
|4 || 185585 || 1736
|8 || 186316 || 1736
|8 || 185369 || 1736
|8 || 186134 || 1736
|8 || 186416 || 1736
|8 || 186400 || 1736
|8 || 185086 || 1736
|8 || 186217 || 1736
|8 || 208860 || 1736
|16 || 186217 || 1736
|16 || 185801 || 1736
|16 || 186616 || 1736
|16 || 186100 || 1736
|16 || 185751 || 1736
|16 || 186034 || 1736
|16 || 186549 || 1736
|16 || 186050 || 1736
|32 || 188311 || 1736
|32 || 185369 || 1736
|32 || 186316 || 1736
|32 || 186616 || 1736
|32 || 185735 || 1736
|32 || 186100 || 1736
|32 || 186316 || 1736
|32 || 185718 || 1736
|64 || 187031 || 1736
|64 || 186682 || 1736
|64 || 186998 || 1736
|64 || 186034 || 1736
|64 || 187464 || 1736
|64 || 186117 || 1736
|64 || 186533 || 1736
|64 || 187264 || 1736
|128 || 243706 || 1752
|128 || 243889 || 1752
|128 || 244238 || 1752
|128 || 243955 || 1752
|128 || 243473 || 1752
|128 || 243789 || 1752
|128 || 242891 || 1752
|128 || 243905 || 1752
|256 || 303822 || 1752
|256 || 302193 || 1752
|256 || 326066 || 1752
|256 || 302376 || 1752
|256 || 300863 || 1752
|256 || 365102 || 1752
|256 || 301993 || 1752
|256 || 301794 || 1752
|512 || 418618 || 1752
|512 || 417537 || 1752
|512 || 417371 || 1752
|512 || 481992 || 1752
|512 || 418534 || 1752
|512 || 418584 || 1752
|512 || 417487 || 1752
|512 || 481660 || 1752
|576 || 418651 || 1752
|576 || 418850 || 1752
|576 || 418667 || 1752
|576 || 419549 || 1752
|576 || 418850 || 1752
|576 || 418751 || 1752
|576 || 418751 || 1752
|576 || 483156 || 1752
|1024 || 648092 || 1752
|1024 || 649506 || 1752
|1024 || 711583 || 1752
|1024 || 649107 || 1752
|1024 || 648658 || 1752
|1024 || 648558 || 1752
|1024 || 648225 || 1752
|1024 || 711650 || 1752
|1536 || 878482 || 1752
|1536 || 940609 || 1752
|1536 || 878615 || 1752
|1536 || 878349 || 1752
|1536 || 926528 || 1752
|1536 || 878299 || 1752
|1536 || 941125 || 1752
|1536 || 878033 || 1752
|2048 || 1107940 || 1752
|2048 || 1108123 || 1752
|2048 || 1171231 || 1752
|2048 || 1131281 || 1752
|2048 || 1109137 || 1752
|2048 || 1105280 || 1752
|2048 || 1149004 || 1752
|2048 || 1173043 || 1752
