| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 221379 || 2788
|0 || 104804 || 2788
|0 || 105851 || 2788
|0 || 104605 || 2788
|0 || 106350 || 2788
|0 || 104073 || 2788
|0 || 106383 || 2788
|0 || 104388 || 2788
|1 || 108777 || 2788
|1 || 107514 || 2788
|1 || 108595 || 2788
|1 || 107647 || 2788
|1 || 107314 || 2788
|1 || 107863 || 2788
|1 || 107464 || 2788
|1 || 107248 || 2788
|2 || 108910 || 2788
|2 || 107065 || 2788
|2 || 107414 || 2788
|2 || 107398 || 2788
|2 || 108295 || 2788
|2 || 107580 || 2788
|2 || 107647 || 2788
|2 || 107481 || 2788
|4 || 108728 || 2788
|4 || 107780 || 2788
|4 || 107763 || 2788
|4 || 108362 || 2788
|4 || 108694 || 2788
|4 || 107431 || 2788
|4 || 107314 || 2788
|4 || 107830 || 2788
|8 || 128046 || 2788
|8 || 126865 || 2788
|8 || 126151 || 2788
|8 || 126932 || 2788
|8 || 107464 || 2788
|8 || 107447 || 2788
|8 || 107730 || 2788
|8 || 107830 || 2788
|16 || 132651 || 2788
|16 || 106566 || 2788
|16 || 108827 || 2788
|16 || 107015 || 2788
|16 || 108096 || 2788
|16 || 107464 || 2788
|16 || 108927 || 2788
|16 || 106816 || 2788
|32 || 108412 || 2788
|32 || 106949 || 2788
|32 || 108910 || 2788
|32 || 107414 || 2788
|32 || 108079 || 2788
|32 || 108561 || 2788
|32 || 107364 || 2788
|32 || 108312 || 2788
|64 || 108678 || 2788
|64 || 108478 || 2788
|64 || 108794 || 2788
|64 || 108196 || 2788
|64 || 108262 || 2788
|64 || 108694 || 2788
|64 || 108794 || 2788
|64 || 108312 || 2788
|128 || 109143 || 2788
|128 || 108578 || 2788
|128 || 108777 || 2788
|128 || 108728 || 2788
|128 || 127730 || 2788
|128 || 109575 || 2788
|128 || 109077 || 2788
|128 || 108678 || 2788
|256 || 167613 || 2788
|256 || 166084 || 2788
|256 || 166051 || 2788
|256 || 166649 || 2788
|256 || 166799 || 2788
|256 || 166566 || 2788
|256 || 166898 || 2788
|256 || 166765 || 2788
|512 || 223157 || 2788
|512 || 224172 || 2788
|512 || 222975 || 2788
|512 || 223191 || 2788
|512 || 223157 || 2788
|512 || 223906 || 2788
|512 || 223507 || 2788
|512 || 223340 || 2788
|576 || 279017 || 2788
|576 || 278286 || 2788
|576 || 278369 || 2788
|576 || 278702 || 2788
|576 || 278452 || 2788
|576 || 278818 || 2788
|576 || 278585 || 2788
|576 || 279084 || 2788
|1024 || 391369 || 2788
|1024 || 390072 || 2788
|1024 || 392333 || 2788
|1024 || 391619 || 2788
|1024 || 391619 || 2788
|1024 || 391353 || 2788
|1024 || 392284 || 2788
|1024 || 390970 || 2788
|1536 || 558866 || 2788
|1536 || 558800 || 2788
|1536 || 558816 || 2788
|1536 || 558567 || 2788
|1536 || 589755 || 2788
|1536 || 558567 || 2788
|1536 || 559298 || 2788
|1536 || 558284 || 2788
|2048 || 671617 || 2788
|2048 || 672016 || 2788
|2048 || 671085 || 2788
|2048 || 671068 || 2788
|2048 || 670885 || 2788
|2048 || 702190 || 2788
|2048 || 671251 || 2788
|2048 || 671434 || 2788
