| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 79418 || 4024
|0 || 79301 || 4024
|0 || 78985 || 4024
|0 || 79335 || 4024
|0 || 79401 || 4024
|0 || 79301 || 4024
|0 || 79135 || 4024
|0 || 79384 || 4024
|1 || 79783 || 4028
|1 || 79484 || 4028
|1 || 79684 || 4028
|1 || 79717 || 4028
|1 || 79700 || 4028
|1 || 79800 || 4028
|1 || 79235 || 4028
|1 || 79700 || 4028
|2 || 79783 || 4028
|2 || 79717 || 4028
|2 || 79667 || 4028
|2 || 79750 || 4028
|2 || 79800 || 4028
|2 || 79800 || 4028
|2 || 79667 || 4028
|2 || 79684 || 4028
|4 || 79301 || 4024
|4 || 79168 || 4024
|4 || 79268 || 4024
|4 || 79202 || 4024
|4 || 79335 || 4024
|4 || 79235 || 4024
|4 || 79285 || 4024
|4 || 79368 || 4024
|8 || 79318 || 4024
|8 || 78936 || 4024
|8 || 79418 || 4024
|8 || 98786 || 4024
|8 || 79451 || 4024
|8 || 79418 || 4024
|8 || 79318 || 4024
|8 || 79335 || 4024
|16 || 79152 || 4024
|16 || 80066 || 4024
|16 || 78985 || 4024
|16 || 79384 || 4024
|16 || 79451 || 4024
|16 || 79384 || 4024
|16 || 79434 || 4024
|16 || 79185 || 4024
|32 || 79268 || 4024
|32 || 79501 || 4024
|32 || 79551 || 4024
|32 || 79052 || 4024
|32 || 79418 || 4024
|32 || 79384 || 4024
|32 || 97256 || 4024
|32 || 79501 || 4024
|64 || 79035 || 4016
|64 || 79384 || 4016
|64 || 79384 || 4016
|64 || 79368 || 4016
|64 || 79368 || 4016
|64 || 79384 || 4016
|64 || 79085 || 4016
|64 || 79235 || 4016
|128 || 122443 || 4024
|128 || 122393 || 4024
|128 || 122260 || 4024
|128 || 122077 || 4024
|128 || 140498 || 4024
|128 || 122427 || 4024
|128 || 122377 || 4024
|128 || 122493 || 4024
|256 || 207181 || 4024
|256 || 226599 || 4024
|256 || 207314 || 4024
|256 || 207214 || 4024
|256 || 207131 || 4024
|256 || 207197 || 4024
|256 || 207148 || 4024
|256 || 207364 || 4024
|512 || 376822 || 4024
|512 || 376706 || 4024
|512 || 376739 || 4024
|512 || 376573 || 4024
|512 || 397038 || 4024
|512 || 396207 || 4024
|512 || 376656 || 4024
|512 || 376806 || 4024
|576 || 419083 || 4024
|576 || 419150 || 4024
|576 || 419150 || 4024
|576 || 419033 || 4024
|576 || 418618 || 4024
|576 || 437487 || 4024
|576 || 418800 || 4024
|576 || 419033 || 4024
|1024 || 673246 || 4024
|1024 || 673495 || 4024
|1024 || 673479 || 4024
|1024 || 692913 || 4024
|1024 || 672880 || 4024
|1024 || 692913 || 4024
|1024 || 693063 || 4024
|1024 || 673562 || 4024
|1536 || 989387 || 4024
|1536 || 989204 || 4024
|1536 || 988689 || 4024
|1536 || 989138 || 4024
|1536 || 969936 || 4024
|1536 || 970202 || 4024
|1536 || 970069 || 4024
|1536 || 970069 || 4024
|2048 || 1266160 || 4024
|2048 || 1285877 || 4024
|2048 || 1286426 || 4024
|2048 || 1266742 || 4024
|2048 || 1284581 || 4024
|2048 || 1285911 || 4024
|2048 || 1286143 || 4024
|2048 || 1286359 || 4024
