| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 21629 || 508
|0 || 21679 || 508
|0 || 21579 || 508
|0 || 21696 || 508
|0 || 21629 || 508
|0 || 21496 || 508
|0 || 21613 || 508
|0 || 21563 || 508
|1 || 21613 || 508
|1 || 40216 || 508
|1 || 21895 || 508
|1 || 21712 || 508
|1 || 21795 || 508
|1 || 22078 || 508
|1 || 21446 || 508
|1 || 22061 || 508
|2 || 21912 || 508
|2 || 21829 || 508
|2 || 21795 || 508
|2 || 21629 || 508
|2 || 21795 || 508
|2 || 21662 || 508
|2 || 21746 || 507
|2 || 21912 || 508
|4 || 21496 || 508
|4 || 21712 || 508
|4 || 21862 || 508
|4 || 21629 || 508
|4 || 21779 || 508
|4 || 21613 || 508
|4 || 21596 || 508
|4 || 21879 || 508
|8 || 21696 || 508
|8 || 21629 || 508
|8 || 21662 || 508
|8 || 21862 || 508
|8 || 21829 || 508
|8 || 21563 || 508
|8 || 21480 || 508
|8 || 21596 || 508
|16 || 21879 || 508
|16 || 21895 || 508
|16 || 21696 || 508
|16 || 21879 || 508
|16 || 21945 || 508
|16 || 21879 || 508
|16 || 21513 || 508
|16 || 21995 || 508
|32 || 21845 || 508
|32 || 21879 || 508
|32 || 21746 || 508
|32 || 21862 || 508
|32 || 21679 || 508
|32 || 22012 || 508
|32 || 21679 || 508
|32 || 21812 || 508
|64 || 25270 || 508
|64 || 25253 || 508
|64 || 25104 || 508
|64 || 25054 || 508
|64 || 25370 || 508
|64 || 25170 || 508
|64 || 25337 || 508
|64 || 25004 || 508
|128 || 28562 || 508
|128 || 28329 || 508
|128 || 28628 || 508
|128 || 28396 || 508
|128 || 28645 || 508
|128 || 28362 || 508
|128 || 28396 || 508
|128 || 28445 || 508
|256 || 35062 || 508
|256 || 35478 || 508
|256 || 35428 || 508
|256 || 35578 || 508
|256 || 35228 || 508
|256 || 35345 || 508
|256 || 35578 || 508
|256 || 35511 || 508
|512 || 48977 || 508
|512 || 49027 || 508
|512 || 48911 || 508
|512 || 49127 || 508
|512 || 49011 || 508
|512 || 49127 || 508
|512 || 49144 || 508
|512 || 49160 || 508
|576 || 52369 || 508
|576 || 52153 || 508
|576 || 70972 || 508
|576 || 52585 || 508
|576 || 52169 || 508
|576 || 52552 || 508
|576 || 52834 || 508
|576 || 52053 || 508
|1024 || 76159 || 508
|1024 || 76442 || 508
|1024 || 76492 || 508
|1024 || 75976 || 508
|1024 || 76458 || 508
|1024 || 76375 || 508
|1024 || 76409 || 508
|1024 || 76508 || 508
|1536 || 103541 || 508
|1536 || 103574 || 508
|1536 || 103674 || 508
|1536 || 103557 || 508
|1536 || 103557 || 508
|1536 || 103557 || 508
|1536 || 103424 || 508
|1536 || 103524 || 508
|2048 || 130689 || 508
|2048 || 130506 || 508
|2048 || 130589 || 508
|2048 || 130839 || 508
|2048 || 130822 || 508
|2048 || 130423 || 508
|2048 || 130323 || 508
|2048 || 130706 || 508
