| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 100316 || 1248
|0 || 66767 || 1248
|0 || 66687 || 1248
|0 || 66833 || 1248
|0 || 66714 || 1248
|0 || 66952 || 1248
|0 || 66820 || 1248
|0 || 66886 || 1248
|1 || 81938 || 1248
|1 || 82004 || 1248
|1 || 82455 || 1248
|1 || 82190 || 1248
|1 || 82150 || 1248
|1 || 82044 || 1248
|1 || 82415 || 1248
|1 || 82137 || 1248
|2 || 82283 || 1248
|2 || 82283 || 1248
|2 || 82203 || 1248
|2 || 82124 || 1248
|2 || 82097 || 1248
|2 || 82256 || 1248
|2 || 82203 || 1248
|2 || 82362 || 1248
|4 || 82283 || 1248
|4 || 81845 || 1248
|4 || 82256 || 1248
|4 || 82296 || 1248
|4 || 82336 || 1248
|4 || 82256 || 1248
|4 || 81965 || 1248
|4 || 81978 || 1248
|8 || 82733 || 1248
|8 || 82746 || 1248
|8 || 82839 || 1248
|8 || 82627 || 1248
|8 || 82654 || 1248
|8 || 82720 || 1248
|8 || 82627 || 1248
|8 || 82680 || 1248
|16 || 82707 || 1248
|16 || 82826 || 1248
|16 || 82468 || 1248
|16 || 82627 || 1248
|16 || 82693 || 1248
|16 || 82799 || 1248
|16 || 82892 || 1248
|16 || 82415 || 1248
|32 || 82866 || 1248
|32 || 82707 || 1248
|32 || 83038 || 1248
|32 || 82892 || 1248
|32 || 83051 || 1248
|32 || 82972 || 1248
|32 || 83038 || 1248
|32 || 82892 || 1248
|64 || 456555 || 1248
|64 || 82958 || 1248
|64 || 82455 || 1248
|64 || 82640 || 1248
|64 || 82574 || 1248
|64 || 82786 || 1248
|64 || 82945 || 1248
|64 || 82561 || 1248
|128 || 96646 || 1248
|128 || 96844 || 1248
|128 || 96222 || 1248
|128 || 477133 || 1248
|128 || 96566 || 1248
|128 || 96712 || 1248
|128 || 96752 || 1248
|128 || 96261 || 1248
|256 || 124908 || 1248
|256 || 124457 || 1248
|256 || 457536 || 1248
|256 || 124815 || 1248
|256 || 124842 || 1248
|256 || 124629 || 1248
|256 || 124736 || 1248
|256 || 124510 || 1248
|512 || 180492 || 1248
|512 || 180306 || 1248
|512 || 180319 || 1248
|512 || 542879 || 1248
|512 || 180677 || 1248
|512 || 180730 || 1248
|512 || 210993 || 1248
|512 || 179763 || 1248
|576 || 194537 || 1248
|576 || 194629 || 1248
|576 || 552114 || 1248
|576 || 194510 || 1248
|576 || 194497 || 1248
|576 || 194391 || 1248
|576 || 194431 || 1248
|576 || 508906 || 1248
|1024 || 292666 || 1248
|1024 || 292534 || 1248
|1024 || 292335 || 1248
|1024 || 292348 || 1248
|1024 || 292467 || 1248
|1024 || 292613 || 1248
|1024 || 292481 || 1248
|1024 || 292560 || 1248
|1536 || 404072 || 1248
|1536 || 704251 || 1248
|1536 || 404191 || 1248
|1536 || 403979 || 1248
|1536 || 670834 || 1248
|1536 || 404059 || 1248
|1536 || 404364 || 1248
|1536 || 669841 || 1248
|2048 || 515929 || 1248
|2048 || 576044 || 1248
|2048 || 585345 || 1248
|2048 || 965209 || 1248
|2048 || 760669 || 1248
|2048 || 515902 || 1248
|2048 || 1006788 || 1248
|2048 || 526449 || 1248
