| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 2367077 || 194
|0 || 2367077 || 194
|0 || 2367076 || 194
|0 || 2367076 || 194
|0 || 2367077 || 194
|0 || 2367077 || 194
|0 || 2367076 || 194
|0 || 2367076 || 194
|1 || 2367083 || 194
|1 || 2367084 || 194
|1 || 2367084 || 194
|1 || 2367084 || 194
|1 || 2367084 || 194
|1 || 2367083 || 194
|1 || 2367084 || 194
|1 || 2367084 || 194
|2 || 2367089 || 194
|2 || 2367089 || 194
|2 || 2367089 || 194
|2 || 2367088 || 194
|2 || 2367088 || 194
|2 || 2367089 || 194
|2 || 2367089 || 194
|2 || 2367089 || 194
|4 || 2367098 || 194
|4 || 2367099 || 194
|4 || 2367099 || 194
|4 || 2367099 || 194
|4 || 2367099 || 194
|4 || 2367099 || 194
|4 || 2367098 || 194
|4 || 2367098 || 194
|8 || 2367119 || 194
|8 || 2367118 || 194
|8 || 2367119 || 194
|8 || 2367119 || 194
|8 || 2367119 || 194
|8 || 2367119 || 194
|8 || 2367119 || 194
|8 || 2367119 || 194
|16 || 2367158 || 194
|16 || 2367158 || 194
|16 || 2367159 || 194
|16 || 2367159 || 194
|16 || 2367158 || 194
|16 || 2367158 || 194
|16 || 2367159 || 194
|16 || 2367159 || 194
|32 || 2487988 || 194
|32 || 2487987 || 194
|32 || 2487987 || 194
|32 || 2487987 || 194
|32 || 2487987 || 194
|32 || 2487987 || 194
|32 || 2487987 || 194
|32 || 2487987 || 194
|64 || 2608897 || 194
|64 || 2608899 || 194
|64 || 2608897 || 194
|64 || 2608899 || 194
|64 || 2608899 || 194
|64 || 2608899 || 194
|64 || 2608899 || 194
|64 || 2608897 || 194
|128 || 2850720 || 194
|128 || 2850718 || 194
|128 || 2850718 || 194
|128 || 2850718 || 194
|128 || 2850719 || 194
|128 || 2850719 || 194
|128 || 2850720 || 194
|128 || 2850719 || 194
|256 || 3334353 || 194
|256 || 3334352 || 194
|256 || 3334352 || 194
|256 || 3334351 || 194
|256 || 3334351 || 194
|256 || 3334353 || 194
|256 || 3334352 || 194
|256 || 3334353 || 194
|512 || 4301572 || 194
|512 || 4301571 || 194
|512 || 4301572 || 194
|512 || 4301572 || 194
|512 || 4301573 || 194
|512 || 4301573 || 194
|512 || 4301571 || 194
|512 || 4301573 || 194
|576 || 4543377 || 194
|576 || 4543377 || 194
|576 || 4543377 || 194
|576 || 4543377 || 194
|576 || 4543377 || 194
|576 || 4543377 || 194
|576 || 4543377 || 194
|576 || 4543377 || 194
|1024 || 6236012 || 194
|1024 || 6236012 || 194
|1024 || 6236012 || 194
|1024 || 6236012 || 194
|1024 || 6236012 || 194
|1024 || 6236012 || 194
|1024 || 6236012 || 194
|1024 || 6236011 || 194
|1536 || 8170451 || 194
|1536 || 8170451 || 194
|1536 || 8170451 || 194
|1536 || 8170450 || 194
|1536 || 8170452 || 194
|1536 || 8170451 || 194
|1536 || 8170451 || 194
|1536 || 8170451 || 194
|2048 || 10104891 || 194
|2048 || 10104892 || 194
|2048 || 10104891 || 194
|2048 || 10104891 || 194
|2048 || 10104891 || 194
|2048 || 10104892 || 194
|2048 || 10104891 || 194
|2048 || 10104891 || 194
