| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 486845 || 1145
|0 || 486844 || 1145
|0 || 486843 || 1145
|0 || 486844 || 1145
|0 || 486844 || 1145
|0 || 486843 || 1145
|0 || 486844 || 1145
|0 || 486843 || 1145
|1 || 488597 || 1145
|1 || 488596 || 1145
|1 || 488596 || 1145
|1 || 488596 || 1145
|1 || 488597 || 1145
|1 || 488597 || 1145
|1 || 488595 || 1145
|1 || 488597 || 1145
|2 || 488597 || 1145
|2 || 488597 || 1145
|2 || 488599 || 1145
|2 || 488599 || 1145
|2 || 488597 || 1145
|2 || 488599 || 1145
|2 || 488599 || 1145
|2 || 488597 || 1145
|4 || 488602 || 1145
|4 || 488602 || 1145
|4 || 488602 || 1145
|4 || 488602 || 1145
|4 || 488602 || 1145
|4 || 488602 || 1145
|4 || 488601 || 1145
|4 || 488603 || 1145
|8 || 488609 || 1145
|8 || 488609 || 1145
|8 || 488610 || 1145
|8 || 488610 || 1145
|8 || 488609 || 1145
|8 || 488609 || 1145
|8 || 488610 || 1145
|8 || 488611 || 1145
|16 || 488626 || 1145
|16 || 488626 || 1145
|16 || 488626 || 1145
|16 || 488626 || 1145
|16 || 488625 || 1145
|16 || 488625 || 1145
|16 || 488625 || 1145
|16 || 488625 || 1145
|32 || 488658 || 1145
|32 || 488657 || 1145
|32 || 488658 || 1145
|32 || 488658 || 1145
|32 || 488657 || 1145
|32 || 488658 || 1145
|32 || 488658 || 1145
|32 || 488659 || 1145
|64 || 488721 || 1145
|64 || 488721 || 1145
|64 || 488723 || 1145
|64 || 488722 || 1145
|64 || 488722 || 1145
|64 || 488722 || 1145
|64 || 488721 || 1145
|64 || 488721 || 1145
|128 || 488871 || 1145
|128 || 488870 || 1145
|128 || 488872 || 1145
|128 || 488871 || 1145
|128 || 488871 || 1145
|128 || 488871 || 1145
|128 || 488870 || 1145
|128 || 488870 || 1145
|256 || 894990 || 1218
|256 || 894990 || 1218
|256 || 894990 || 1218
|256 || 894990 || 1218
|256 || 894991 || 1218
|256 || 894990 || 1218
|256 || 894990 || 1218
|256 || 894990 || 1218
|512 || 1695443 || 1218
|512 || 1695443 || 1218
|512 || 1695444 || 1218
|512 || 1695443 || 1218
|512 || 1695444 || 1218
|512 || 1695443 || 1218
|512 || 1695443 || 1218
|512 || 1695442 || 1218
|576 || 2095534 || 1218
|576 || 2095532 || 1218
|576 || 2095533 || 1218
|576 || 2095532 || 1218
|576 || 2095534 || 1218
|576 || 2095533 || 1218
|576 || 2095533 || 1218
|576 || 2095534 || 1218
|1024 || 3296344 || 1218
|1024 || 3296343 || 1218
|1024 || 3296344 || 1218
|1024 || 3296344 || 1218
|1024 || 3296345 || 1218
|1024 || 3296345 || 1218
|1024 || 3296344 || 1218
|1024 || 3296344 || 1218
|1536 || 4897238 || 1218
|1536 || 4897238 || 1218
|1536 || 4897238 || 1218
|1536 || 4897239 || 1218
|1536 || 4897238 || 1218
|1536 || 4897239 || 1218
|1536 || 4897238 || 1218
|1536 || 4897238 || 1218
|2048 || 6498139 || 1218
|2048 || 6498139 || 1218
|2048 || 6498139 || 1218
|2048 || 6498140 || 1218
|2048 || 6498139 || 1218
|2048 || 6498139 || 1218
|2048 || 6498139 || 1218
|2048 || 6498139 || 1218
