| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 180400 || 1019
|0 || 180400 || 1019
|0 || 180400 || 1019
|0 || 180400 || 1019
|0 || 180401 || 1019
|0 || 180400 || 1019
|0 || 180399 || 1019
|0 || 180400 || 1019
|1 || 350535 || 1019
|1 || 350534 || 1019
|1 || 350534 || 1019
|1 || 350534 || 1019
|1 || 350534 || 1019
|1 || 350533 || 1019
|1 || 350535 || 1019
|1 || 350534 || 1019
|2 || 350529 || 1019
|2 || 350528 || 1019
|2 || 350529 || 1019
|2 || 350529 || 1019
|2 || 350528 || 1019
|2 || 350527 || 1019
|2 || 350528 || 1019
|2 || 350529 || 1019
|4 || 350516 || 1019
|4 || 350516 || 1019
|4 || 350516 || 1019
|4 || 350517 || 1019
|4 || 350517 || 1019
|4 || 350516 || 1019
|4 || 350517 || 1019
|4 || 350517 || 1019
|8 || 350492 || 1019
|8 || 350493 || 1019
|8 || 350491 || 1019
|8 || 350492 || 1019
|8 || 350493 || 1019
|8 || 350493 || 1019
|8 || 350492 || 1019
|8 || 350492 || 1019
|16 || 350444 || 1019
|16 || 350443 || 1019
|16 || 350445 || 1019
|16 || 350445 || 1019
|16 || 350444 || 1019
|16 || 350445 || 1019
|16 || 350445 || 1019
|16 || 350445 || 1019
|32 || 350349 || 1019
|32 || 350348 || 1019
|32 || 350348 || 1019
|32 || 350349 || 1019
|32 || 350348 || 1019
|32 || 350348 || 1019
|32 || 350347 || 1019
|32 || 350348 || 1019
|64 || 352568 || 1019
|64 || 352569 || 1019
|64 || 352568 || 1019
|64 || 352568 || 1019
|64 || 352569 || 1019
|64 || 352567 || 1019
|64 || 352567 || 1019
|64 || 352568 || 1019
|128 || 522326 || 1019
|128 || 522325 || 1019
|128 || 522326 || 1019
|128 || 522326 || 1019
|128 || 522326 || 1019
|128 || 522324 || 1019
|128 || 522325 || 1019
|128 || 522325 || 1019
|256 || 861840 || 1019
|256 || 861841 || 1019
|256 || 861840 || 1019
|256 || 861841 || 1019
|256 || 861840 || 1019
|256 || 861839 || 1019
|256 || 861841 || 1019
|256 || 861839 || 1019
|512 || 1540868 || 1019
|512 || 1540869 || 1019
|512 || 1540869 || 1019
|512 || 1540869 || 1019
|512 || 1540870 || 1019
|512 || 1540870 || 1019
|512 || 1540870 || 1019
|512 || 1540869 || 1019
|576 || 1710626 || 1019
|576 || 1710628 || 1019
|576 || 1710626 || 1019
|576 || 1710627 || 1019
|576 || 1710627 || 1019
|576 || 1710626 || 1019
|576 || 1710626 || 1019
|576 || 1710627 || 1019
|1024 || 2898928 || 1019
|1024 || 2898928 || 1019
|1024 || 2898928 || 1019
|1024 || 2898928 || 1019
|1024 || 2898928 || 1019
|1024 || 2898928 || 1019
|1024 || 2898928 || 1019
|1024 || 2898928 || 1019
|1536 || 4256987 || 1019
|1536 || 4256987 || 1019
|1536 || 4256986 || 1019
|1536 || 4256986 || 1019
|1536 || 4256985 || 1019
|1536 || 4256986 || 1019
|1536 || 4256985 || 1019
|1536 || 4256986 || 1019
|2048 || 5615045 || 1019
|2048 || 5615044 || 1019
|2048 || 5615044 || 1019
|2048 || 5615044 || 1019
|2048 || 5615045 || 1019
|2048 || 5615045 || 1019
|2048 || 5615044 || 1019
|2048 || 5615044 || 1019
