| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 16261 || 756
|0 || 16261 || 756
|0 || 16261 || 756
|0 || 16261 || 756
|0 || 16261 || 756
|0 || 16261 || 756
|0 || 16261 || 756
|0 || 16261 || 756
|1 || 17065 || 756
|1 || 17065 || 756
|1 || 17065 || 756
|1 || 17065 || 756
|1 || 17065 || 756
|1 || 17065 || 756
|1 || 17066 || 756
|1 || 17066 || 756
|2 || 17066 || 756
|2 || 17066 || 756
|2 || 17066 || 756
|2 || 17066 || 756
|2 || 17066 || 756
|2 || 17066 || 756
|2 || 17066 || 756
|2 || 17066 || 756
|4 || 16392 || 756
|4 || 16392 || 756
|4 || 16392 || 756
|4 || 16392 || 756
|4 || 16392 || 756
|4 || 16392 || 756
|4 || 16392 || 756
|4 || 16392 || 756
|8 || 16440 || 756
|8 || 16440 || 756
|8 || 16440 || 756
|8 || 16440 || 756
|8 || 16440 || 756
|8 || 16440 || 756
|8 || 16440 || 756
|8 || 16440 || 756
|16 || 16406 || 756
|16 || 16406 || 756
|16 || 16406 || 756
|16 || 16406 || 756
|16 || 16407 || 756
|16 || 16406 || 756
|16 || 16406 || 756
|16 || 16406 || 756
|32 || 16415 || 756
|32 || 16416 || 756
|32 || 16415 || 756
|32 || 16415 || 756
|32 || 16415 || 755
|32 || 16415 || 756
|32 || 16415 || 756
|32 || 16415 || 756
|64 || 16433 || 756
|64 || 16433 || 756
|64 || 16433 || 756
|64 || 16433 || 756
|64 || 16433 || 756
|64 || 16433 || 756
|64 || 16433 || 756
|64 || 16433 || 756
|128 || 16458 || 756
|128 || 16458 || 756
|128 || 16458 || 756
|128 || 16458 || 756
|128 || 16458 || 756
|128 || 16458 || 756
|128 || 16458 || 756
|128 || 16458 || 756
|256 || 30202 || 784
|256 || 30202 || 784
|256 || 30202 || 784
|256 || 30202 || 784
|256 || 30202 || 784
|256 || 30202 || 784
|256 || 30202 || 784
|256 || 30202 || 784
|512 || 56725 || 784
|512 || 56725 || 784
|512 || 56726 || 784
|512 || 56726 || 784
|512 || 56726 || 784
|512 || 56725 || 784
|512 || 56726 || 784
|512 || 56726 || 784
|576 || 69911 || 784
|576 || 69911 || 784
|576 || 69911 || 784
|576 || 69911 || 784
|576 || 69911 || 784
|576 || 69911 || 784
|576 || 69911 || 784
|576 || 69911 || 784
|1024 || 109751 || 784
|1024 || 109751 || 784
|1024 || 109751 || 784
|1024 || 109752 || 784
|1024 || 109751 || 784
|1024 || 109751 || 784
|1024 || 109751 || 784
|1024 || 109751 || 784
|1536 || 162778 || 784
|1536 || 162778 || 784
|1536 || 162778 || 784
|1536 || 162778 || 784
|1536 || 162778 || 784
|1536 || 162778 || 784
|1536 || 162778 || 784
|1536 || 162778 || 784
|2048 || 215795 || 784
|2048 || 215794 || 784
|2048 || 215795 || 784
|2048 || 215795 || 784
|2048 || 215795 || 784
|2048 || 215795 || 784
|2048 || 215795 || 784
|2048 || 215795 || 784
