| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 152667 || 1672
|0 || 74518 || 1552
|0 || 74306 || 1552
|0 || 74505 || 1552
|0 || 73683 || 1552
|0 || 74982 || 1552
|0 || 74505 || 1552
|0 || 74677 || 1552
|1 || 73352 || 1552
|1 || 74505 || 1552
|1 || 74399 || 1552
|1 || 74783 || 1552
|1 || 73657 || 1552
|1 || 75008 || 1552
|1 || 74677 || 1552
|1 || 74929 || 1552
|2 || 75088 || 1552
|2 || 74187 || 1552
|2 || 75446 || 1552
|2 || 74624 || 1552
|2 || 73418 || 1552
|2 || 74916 || 1552
|2 || 74571 || 1552
|2 || 74929 || 1552
|4 || 75101 || 1552
|4 || 74107 || 1552
|4 || 74306 || 1552
|4 || 75035 || 1552
|4 || 73657 || 1552
|4 || 75194 || 1552
|4 || 74730 || 1552
|4 || 74333 || 1552
|8 || 75207 || 1552
|8 || 74995 || 1552
|8 || 74929 || 1552
|8 || 74068 || 1552
|8 || 74902 || 1552
|8 || 74955 || 1552
|8 || 75234 || 1552
|8 || 75154 || 1552
|16 || 75141 || 1552
|16 || 74041 || 1552
|16 || 75234 || 1552
|16 || 74531 || 1552
|16 || 74929 || 1552
|16 || 74439 || 1552
|16 || 75552 || 1552
|16 || 74743 || 1552
|32 || 75088 || 1552
|32 || 74107 || 1552
|32 || 75353 || 1552
|32 || 74982 || 1552
|32 || 75512 || 1552
|32 || 74240 || 1552
|32 || 75181 || 1552
|32 || 74889 || 1552
|64 || 150414 || 1552
|64 || 108173 || 1552
|64 || 108186 || 1552
|64 || 108266 || 1552
|64 || 107815 || 1552
|64 || 107961 || 1552
|64 || 107590 || 1552
|64 || 108080 || 1552
|128 || 113433 || 1552
|128 || 114666 || 1552
|128 || 114613 || 1552
|128 || 114864 || 1552
|128 || 113261 || 1552
|128 || 114692 || 1552
|128 || 114533 || 1552
|128 || 114719 || 1552
|256 || 126259 || 1552
|256 || 126418 || 1552
|256 || 127200 || 1552
|256 || 126696 || 1552
|256 || 127028 || 1552
|256 || 126392 || 1552
|256 || 126882 || 1552
|256 || 125796 || 1552
|512 || 151434 || 1552
|512 || 151222 || 1552
|512 || 151143 || 1552
|512 || 150547 || 1552
|512 || 151196 || 1552
|512 || 151262 || 1552
|512 || 150096 || 1552
|512 || 151275 || 1552
|576 || 156416 || 1552
|576 || 157158 || 1552
|576 || 156125 || 1552
|576 || 157370 || 1552
|576 || 157582 || 1552
|576 || 157066 || 1552
|576 || 157013 || 1552
|576 || 156893 || 1552
|1024 || 199704 || 1552
|1024 || 199174 || 1552
|1024 || 198949 || 1552
|1024 || 199558 || 1552
|1024 || 198763 || 1552
|1024 || 199664 || 1552
|1024 || 199585 || 1552
|1024 || 199757 || 1552
|1536 || 248332 || 1552
|1536 || 248053 || 1552
|1536 || 248332 || 1552
|1536 || 248756 || 1552
|1536 || 247762 || 1552
|1536 || 248106 || 1552
|1536 || 246980 || 1552
|1536 || 247709 || 1552
|2048 || 343268 || 1552
|2048 || 343573 || 1552
|2048 || 346766 || 1552
|2048 || 346620 || 1552
|2048 || 343467 || 1552
|2048 || 340552 || 1552
|2048 || 343016 || 1552
|2048 || 296906 || 1552
