| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 119515 || 1240
|0 || 65720 || 1240
|0 || 66409 || 1240
|0 || 65018 || 1240
|0 || 66091 || 1240
|0 || 65402 || 1240
|0 || 65919 || 1240
|0 || 64938 || 1240
|1 || 68211 || 1240
|1 || 67456 || 1240
|1 || 68052 || 1240
|1 || 67535 || 1240
|1 || 67880 || 1240
|1 || 67191 || 1240
|1 || 68092 || 1240
|1 || 67973 || 1240
|2 || 67138 || 1240
|2 || 68251 || 1240
|2 || 67906 || 1240
|2 || 67959 || 1240
|2 || 67191 || 1240
|2 || 67933 || 1240
|2 || 68224 || 1240
|2 || 68092 || 1240
|4 || 68238 || 1240
|4 || 67999 || 1240
|4 || 66674 || 1240
|4 || 67774 || 1240
|4 || 67787 || 1240
|4 || 67999 || 1240
|4 || 67032 || 1240
|4 || 68012 || 1240
|8 || 67761 || 1240
|8 || 67602 || 1240
|8 || 66581 || 1240
|8 || 68344 || 1240
|8 || 67297 || 1240
|8 || 68171 || 1240
|8 || 66979 || 1240
|8 || 68105 || 1240
|16 || 67668 || 1240
|16 || 66767 || 1240
|16 || 68079 || 1240
|16 || 68012 || 1240
|16 || 68118 || 1240
|16 || 67257 || 1240
|16 || 68569 || 1240
|16 || 68052 || 1240
|32 || 71206 || 1240
|32 || 67655 || 1240
|32 || 68489 || 1240
|32 || 67694 || 1240
|32 || 68145 || 1240
|32 || 67694 || 1240
|32 || 68423 || 1240
|32 || 66820 || 1240
|64 || 68489 || 1240
|64 || 67787 || 1240
|64 || 68410 || 1240
|64 || 66979 || 1240
|64 || 68410 || 1240
|64 || 68450 || 1240
|64 || 67694 || 1240
|64 || 66873 || 1240
|128 || 114851 || 1240
|128 || 87066 || 1240
|128 || 86708 || 1240
|128 || 87675 || 1240
|128 || 87212 || 1240
|128 || 87410 || 1240
|128 || 86350 || 1240
|128 || 86377 || 1240
|256 || 102913 || 1240
|256 || 103827 || 1240
|256 || 103522 || 1240
|256 || 103880 || 1240
|256 || 103085 || 1240
|256 || 103761 || 1240
|256 || 103443 || 1240
|256 || 104026 || 1240
|512 || 136515 || 1240
|512 || 136276 || 1240
|512 || 137071 || 1240
|512 || 136965 || 1240
|512 || 136992 || 1240
|512 || 135746 || 1240
|512 || 136979 || 1240
|512 || 136912 || 1240
|576 || 153183 || 1240
|576 || 153289 || 1240
|576 || 152269 || 1240
|576 || 153197 || 1240
|576 || 152958 || 1240
|576 || 153700 || 1240
|576 || 151991 || 1240
|576 || 153554 || 1240
|1024 || 219367 || 1240
|1024 || 218877 || 1240
|1024 || 218744 || 1240
|1024 || 218811 || 1240
|1024 || 218983 || 1240
|1024 || 219274 || 1240
|1024 || 217883 || 1240
|1024 || 219168 || 1240
|1536 || 304472 || 1240
|1536 || 300987 || 1240
|1536 || 300576 || 1240
|1536 || 300391 || 1240
|1536 || 300908 || 1240
|1536 || 300537 || 1240
|1536 || 300192 || 1240
|1536 || 300947 || 1240
|2048 || 423709 || 1240
|2048 || 408935 || 1240
|2048 || 409982 || 1240
|2048 || 409213 || 1240
|2048 || 407332 || 1240
|2048 || 412393 || 1240
|2048 || 412420 || 1240
|2048 || 383574 || 1240
