| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 17030 || 892
|0 || 17030 || 892
|0 || 17030 || 892
|0 || 17030 || 892
|0 || 17030 || 892
|0 || 17030 || 892
|0 || 17030 || 892
|0 || 17030 || 892
|1 || 17070 || 892
|1 || 17070 || 892
|1 || 17070 || 892
|1 || 17070 || 892
|1 || 17070 || 892
|1 || 17070 || 892
|1 || 17070 || 892
|1 || 17070 || 892
|2 || 17071 || 892
|2 || 17071 || 892
|2 || 17071 || 892
|2 || 17071 || 892
|2 || 17071 || 892
|2 || 17071 || 892
|2 || 17071 || 892
|2 || 17071 || 892
|4 || 17073 || 892
|4 || 17073 || 892
|4 || 17073 || 892
|4 || 17073 || 892
|4 || 17073 || 892
|4 || 17073 || 892
|4 || 17073 || 892
|4 || 17073 || 892
|8 || 17077 || 892
|8 || 17077 || 892
|8 || 17077 || 892
|8 || 17077 || 892
|8 || 17077 || 892
|8 || 17077 || 892
|8 || 17077 || 892
|8 || 17077 || 892
|16 || 17009 || 892
|16 || 17009 || 892
|16 || 17009 || 892
|16 || 17009 || 892
|16 || 17009 || 892
|16 || 17009 || 892
|16 || 17009 || 892
|16 || 17009 || 892
|32 || 16931 || 892
|32 || 16931 || 892
|32 || 16931 || 892
|32 || 16931 || 892
|32 || 16931 || 892
|32 || 16931 || 892
|32 || 16931 || 892
|32 || 16931 || 892
|64 || 16775 || 892
|64 || 16775 || 892
|64 || 16775 || 892
|64 || 16775 || 892
|64 || 16775 || 892
|64 || 16775 || 892
|64 || 16775 || 892
|64 || 16775 || 892
|128 || 25551 || 892
|128 || 25551 || 892
|128 || 25551 || 892
|128 || 25551 || 892
|128 || 25552 || 892
|128 || 25551 || 892
|128 || 25551 || 892
|128 || 25552 || 892
|256 || 33656 || 892
|256 || 33656 || 892
|256 || 33656 || 892
|256 || 33656 || 892
|256 || 33656 || 892
|256 || 33656 || 892
|256 || 33656 || 892
|256 || 33656 || 892
|512 || 49865 || 892
|512 || 49865 || 892
|512 || 49865 || 892
|512 || 49865 || 892
|512 || 49865 || 892
|512 || 49865 || 892
|512 || 49865 || 892
|512 || 49865 || 892
|576 || 49610 || 892
|576 || 49610 || 892
|576 || 49610 || 892
|576 || 49610 || 892
|576 || 49610 || 892
|576 || 49610 || 892
|576 || 49610 || 892
|576 || 49610 || 892
|1024 || 82283 || 892
|1024 || 82283 || 892
|1024 || 82283 || 892
|1024 || 82283 || 892
|1024 || 82283 || 892
|1024 || 82283 || 892
|1024 || 82283 || 892
|1024 || 82283 || 892
|1536 || 114700 || 892
|1536 || 114700 || 892
|1536 || 114701 || 892
|1536 || 114700 || 892
|1536 || 114701 || 892
|1536 || 114701 || 892
|1536 || 114700 || 892
|1536 || 114700 || 892
|2048 || 147119 || 892
|2048 || 147119 || 892
|2048 || 147119 || 892
|2048 || 147119 || 892
|2048 || 147119 || 892
|2048 || 147119 || 892
|2048 || 147119 || 892
|2048 || 147119 || 892
