| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 7054 || 892
|0 || 7053 || 892
|0 || 7054 || 892
|0 || 7053 || 892
|0 || 7054 || 892
|0 || 7054 || 892
|0 || 7054 || 892
|0 || 7053 || 892
|1 || 7055 || 892
|1 || 7055 || 892
|1 || 7055 || 892
|1 || 7055 || 892
|1 || 7055 || 892
|1 || 7055 || 892
|1 || 7055 || 892
|1 || 7055 || 892
|2 || 7055 || 892
|2 || 7056 || 892
|2 || 7056 || 892
|2 || 7056 || 892
|2 || 7055 || 892
|2 || 7056 || 892
|2 || 7056 || 892
|2 || 7056 || 892
|4 || 7058 || 892
|4 || 7058 || 892
|4 || 7058 || 892
|4 || 7058 || 892
|4 || 7058 || 892
|4 || 7058 || 892
|4 || 7058 || 892
|4 || 7058 || 892
|8 || 7062 || 892
|8 || 7062 || 892
|8 || 7062 || 892
|8 || 7062 || 892
|8 || 7062 || 892
|8 || 7062 || 892
|8 || 7062 || 892
|8 || 7062 || 892
|16 || 6993 || 892
|16 || 6994 || 892
|16 || 6994 || 892
|16 || 6994 || 892
|16 || 6993 || 892
|16 || 6994 || 892
|16 || 6994 || 892
|16 || 6994 || 892
|32 || 6916 || 892
|32 || 6915 || 892
|32 || 6916 || 892
|32 || 6915 || 892
|32 || 6916 || 892
|32 || 6915 || 892
|32 || 6916 || 892
|32 || 6915 || 892
|64 || 9227 || 892
|64 || 9228 || 892
|64 || 9227 || 891
|64 || 9227 || 892
|64 || 9227 || 892
|64 || 9227 || 892
|64 || 9228 || 892
|64 || 9228 || 892
|128 || 11220 || 892
|128 || 11220 || 892
|128 || 11220 || 892
|128 || 11220 || 892
|128 || 11220 || 892
|128 || 11221 || 892
|128 || 11220 || 892
|128 || 11221 || 892
|256 || 15207 || 892
|256 || 15206 || 892
|256 || 15206 || 892
|256 || 15206 || 892
|256 || 15206 || 892
|256 || 15207 || 892
|256 || 15206 || 892
|256 || 15206 || 892
|512 || 23178 || 892
|512 || 23178 || 892
|512 || 23178 || 892
|512 || 23178 || 892
|512 || 23178 || 892
|512 || 23177 || 892
|512 || 23178 || 892
|512 || 23178 || 892
|576 || 25170 || 892
|576 || 25170 || 892
|576 || 25171 || 892
|576 || 25171 || 892
|576 || 25171 || 892
|576 || 25170 || 892
|576 || 25170 || 892
|576 || 25170 || 892
|1024 || 39120 || 892
|1024 || 39121 || 892
|1024 || 39121 || 892
|1024 || 39121 || 892
|1024 || 39121 || 892
|1024 || 39121 || 892
|1024 || 39120 || 892
|1024 || 39121 || 892
|1536 || 55064 || 892
|1536 || 55064 || 892
|1536 || 55064 || 892
|1536 || 55064 || 892
|1536 || 55064 || 892
|1536 || 55063 || 892
|1536 || 55063 || 892
|1536 || 55064 || 892
|2048 || 71007 || 892
|2048 || 71007 || 892
|2048 || 71007 || 892
|2048 || 71007 || 892
|2048 || 71007 || 892
|2048 || 71007 || 892
|2048 || 71006 || 892
|2048 || 71007 || 892
