| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 3478402 || 505
|0 || 3478402 || 505
|0 || 3478402 || 505
|0 || 3478402 || 505
|0 || 3478401 || 505
|0 || 3478403 || 505
|0 || 3478402 || 505
|0 || 3478402 || 505
|1 || 3479533 || 505
|1 || 3479534 || 505
|1 || 3479534 || 505
|1 || 3479534 || 505
|1 || 3479535 || 505
|1 || 3479535 || 505
|1 || 3479535 || 505
|1 || 3479535 || 505
|2 || 3480158 || 505
|2 || 3480159 || 505
|2 || 3480158 || 505
|2 || 3480159 || 505
|2 || 3480158 || 505
|2 || 3480159 || 505
|2 || 3480158 || 505
|2 || 3480159 || 505
|4 || 3481352 || 505
|4 || 3481354 || 505
|4 || 3481352 || 505
|4 || 3481354 || 505
|4 || 3481353 || 505
|4 || 3481354 || 505
|4 || 3481353 || 505
|4 || 3481353 || 505
|8 || 3483743 || 505
|8 || 3483743 || 505
|8 || 3483744 || 505
|8 || 3483744 || 505
|8 || 3483742 || 505
|8 || 3483744 || 505
|8 || 3483743 || 505
|8 || 3483744 || 505
|16 || 3488529 || 505
|16 || 3488529 || 505
|16 || 3488528 || 505
|16 || 3488528 || 505
|16 || 3488529 || 505
|16 || 3488529 || 505
|16 || 3488529 || 505
|16 || 3488528 || 505
|32 || 3663257 || 526
|32 || 3663258 || 526
|32 || 3663257 || 526
|32 || 3663257 || 526
|32 || 3663257 || 526
|32 || 3663257 || 526
|32 || 3663258 || 526
|32 || 3663257 || 526
|64 || 3847394 || 526
|64 || 3847394 || 526
|64 || 3847394 || 526
|64 || 3847394 || 526
|64 || 3847394 || 526
|64 || 3847393 || 526
|64 || 3847394 || 526
|64 || 3847394 || 526
|128 || 4215667 || 526
|128 || 4215667 || 526
|128 || 4215667 || 526
|128 || 4215667 || 526
|128 || 4215667 || 526
|128 || 4215667 || 526
|128 || 4215667 || 526
|128 || 4215667 || 526
|256 || 4952214 || 526
|256 || 4952214 || 526
|256 || 4952214 || 526
|256 || 4952214 || 526
|256 || 4952214 || 526
|256 || 4952214 || 526
|256 || 4952215 || 526
|256 || 4952213 || 526
|512 || 6425308 || 526
|512 || 6425308 || 526
|512 || 6425307 || 526
|512 || 6425307 || 526
|512 || 6425308 || 526
|512 || 6425308 || 526
|512 || 6425307 || 526
|512 || 6425308 || 526
|576 || 6793581 || 526
|576 || 6793581 || 526
|576 || 6793581 || 526
|576 || 6793580 || 526
|576 || 6793582 || 526
|576 || 6793581 || 526
|576 || 6793582 || 526
|576 || 6793581 || 526
|1024 || 9371494 || 526
|1024 || 9371495 || 526
|1024 || 9371495 || 526
|1024 || 9371495 || 526
|1024 || 9371495 || 526
|1024 || 9371495 || 526
|1024 || 9371496 || 526
|1024 || 9371496 || 526
|1536 || 12317681 || 526
|1536 || 12317682 || 526
|1536 || 12317682 || 526
|1536 || 12317682 || 526
|1536 || 12317682 || 526
|1536 || 12317681 || 526
|1536 || 12317682 || 526
|1536 || 12317681 || 526
|2048 || 15263868 || 526
|2048 || 15263869 || 526
|2048 || 15263869 || 526
|2048 || 15263868 || 526
|2048 || 15263868 || 526
|2048 || 15263870 || 526
|2048 || 15263870 || 526
|2048 || 15263869 || 526
