| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 1014943 || 1235
|0 || 1014942 || 1235
|0 || 1014943 || 1235
|0 || 1014942 || 1235
|0 || 1014943 || 1235
|0 || 1014943 || 1235
|0 || 1014942 || 1235
|0 || 1014943 || 1235
|1 || 2969692 || 1319
|1 || 2969692 || 1319
|1 || 2969692 || 1319
|1 || 2969692 || 1319
|1 || 2969692 || 1319
|1 || 2969692 || 1319
|1 || 2969691 || 1319
|1 || 2969692 || 1319
|2 || 2969696 || 1319
|2 || 2969696 || 1319
|2 || 2969696 || 1319
|2 || 2969695 || 1319
|2 || 2969695 || 1319
|2 || 2969695 || 1319
|2 || 2969696 || 1319
|2 || 2969696 || 1319
|4 || 2969704 || 1319
|4 || 2969704 || 1319
|4 || 2969703 || 1319
|4 || 2969703 || 1319
|4 || 2969703 || 1319
|4 || 2969704 || 1319
|4 || 2969704 || 1319
|4 || 2969703 || 1319
|8 || 2969720 || 1319
|8 || 2969720 || 1319
|8 || 2969720 || 1319
|8 || 2969719 || 1319
|8 || 2969719 || 1319
|8 || 2969720 || 1319
|8 || 2969720 || 1319
|8 || 2969719 || 1319
|16 || 2969751 || 1319
|16 || 2969751 || 1319
|16 || 2969752 || 1319
|16 || 2969751 || 1319
|16 || 2969751 || 1319
|16 || 2969752 || 1319
|16 || 2969751 || 1319
|16 || 2969751 || 1319
|32 || 2969816 || 1319
|32 || 2969816 || 1319
|32 || 2969815 || 1319
|32 || 2969816 || 1319
|32 || 2969815 || 1319
|32 || 2969816 || 1319
|32 || 2969816 || 1319
|32 || 2969816 || 1319
|64 || 2969471 || 1319
|64 || 2969472 || 1319
|64 || 2969471 || 1319
|64 || 2969470 || 1319
|64 || 2969470 || 1319
|64 || 2969470 || 1319
|64 || 2969470 || 1319
|64 || 2969472 || 1319
|128 || 3931281 || 1319
|128 || 3931281 || 1319
|128 || 3931281 || 1319
|128 || 3931282 || 1319
|128 || 3931282 || 1319
|128 || 3931282 || 1319
|128 || 3931282 || 1319
|128 || 3931282 || 1319
|256 || 5854902 || 1319
|256 || 5854904 || 1319
|256 || 5854904 || 1319
|256 || 5854903 || 1319
|256 || 5854904 || 1319
|256 || 5854904 || 1319
|256 || 5854902 || 1319
|256 || 5854903 || 1319
|512 || 9702146 || 1319
|512 || 9702145 || 1319
|512 || 9702146 || 1319
|512 || 9702146 || 1319
|512 || 9702146 || 1319
|512 || 9702146 || 1319
|512 || 9702146 || 1319
|512 || 9702146 || 1319
|576 || 10663956 || 1319
|576 || 10663957 || 1319
|576 || 10663957 || 1319
|576 || 10663957 || 1319
|576 || 10663958 || 1319
|576 || 10663956 || 1319
|576 || 10663958 || 1319
|576 || 10663957 || 1319
|1024 || 17396633 || 1319
|1024 || 17396632 || 1319
|1024 || 17396632 || 1319
|1024 || 17396633 || 1319
|1024 || 17396632 || 1319
|1024 || 17396632 || 1319
|1024 || 17396632 || 1319
|1024 || 17396632 || 1319
|1536 || 25091118 || 1319
|1536 || 25091119 || 1319
|1536 || 25091119 || 1319
|1536 || 25091120 || 1319
|1536 || 25091120 || 1319
|1536 || 25091120 || 1319
|1536 || 25091120 || 1319
|1536 || 25091119 || 1319
|2048 || 32785604 || 1319
|2048 || 32785605 || 1319
|2048 || 32785605 || 1319
|2048 || 32785607 || 1319
|2048 || 32785606 || 1319
|2048 || 32785606 || 1319
|2048 || 32785607 || 1319
|2048 || 32785605 || 1319
