| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 1199644 || 606
|0 || 1199642 || 606
|0 || 1199643 || 606
|0 || 1199643 || 606
|0 || 1199643 || 606
|0 || 1199643 || 606
|0 || 1199643 || 606
|0 || 1199643 || 606
|1 || 1199651 || 606
|1 || 1199651 || 606
|1 || 1199650 || 606
|1 || 1199651 || 606
|1 || 1199651 || 606
|1 || 1199651 || 606
|1 || 1199651 || 606
|1 || 1199651 || 606
|2 || 1199660 || 606
|2 || 1199660 || 606
|2 || 1199660 || 606
|2 || 1199660 || 606
|2 || 1199659 || 606
|2 || 1199659 || 605
|2 || 1199659 || 606
|2 || 1199659 || 606
|4 || 1199674 || 606
|4 || 1199675 || 606
|4 || 1199674 || 606
|4 || 1199674 || 606
|4 || 1199675 || 606
|4 || 1199675 || 606
|4 || 1199675 || 606
|4 || 1199674 || 606
|8 || 1199707 || 606
|8 || 1199707 || 606
|8 || 1199707 || 606
|8 || 1199707 || 606
|8 || 1199708 || 606
|8 || 1199708 || 606
|8 || 1199707 || 606
|8 || 1199706 || 606
|16 || 1199771 || 606
|16 || 1199772 || 606
|16 || 1199771 || 606
|16 || 1199771 || 606
|16 || 1199771 || 606
|16 || 1199772 || 606
|16 || 1199771 || 606
|16 || 1199771 || 606
|32 || 1199898 || 606
|32 || 1199899 || 606
|32 || 1199898 || 606
|32 || 1199898 || 606
|32 || 1199899 || 606
|32 || 1199898 || 606
|32 || 1199898 || 606
|32 || 1199898 || 606
|64 || 1200154 || 606
|64 || 1200154 || 606
|64 || 1200154 || 606
|64 || 1200154 || 606
|64 || 1200155 || 606
|64 || 1200155 || 606
|64 || 1200156 || 606
|64 || 1200155 || 606
|128 || 2396721 || 606
|128 || 2396720 || 606
|128 || 2396721 || 606
|128 || 2396720 || 606
|128 || 2396722 || 606
|128 || 2396720 || 606
|128 || 2396721 || 606
|128 || 2396720 || 606
|256 || 4789850 || 606
|256 || 4789850 || 606
|256 || 4789851 || 606
|256 || 4789850 || 606
|256 || 4789851 || 606
|256 || 4789850 || 606
|256 || 4789850 || 606
|256 || 4789850 || 606
|512 || 9576111 || 606
|512 || 9576110 || 606
|512 || 9576111 || 606
|512 || 9576111 || 606
|512 || 9576111 || 606
|512 || 9576112 || 606
|512 || 9576110 || 606
|512 || 9576111 || 606
|576 || 10772676 || 606
|576 || 10772676 || 606
|576 || 10772677 || 606
|576 || 10772676 || 606
|576 || 10772677 || 606
|576 || 10772677 || 606
|576 || 10772677 || 606
|576 || 10772677 || 606
|1024 || 17952577 || 606
|1024 || 17952579 || 606
|1024 || 17952578 || 605
|1024 || 17952578 || 606
|1024 || 17952578 || 606
|1024 || 17952578 || 606
|1024 || 17952578 || 606
|1024 || 17952578 || 606
|1536 || 26329046 || 606
|1536 || 26329045 || 606
|1536 || 26329046 || 606
|1536 || 26329046 || 606
|1536 || 26329045 || 606
|1536 || 26329046 || 606
|1536 || 26329046 || 606
|1536 || 26329046 || 606
|2048 || 34705513 || 606
|2048 || 34705513 || 606
|2048 || 34705513 || 606
|2048 || 34705514 || 606
|2048 || 34705514 || 606
|2048 || 34705515 || 606
|2048 || 34705514 || 606
|2048 || 34705514 || 606
