| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 52515 || 298
|0 || 52515 || 298
|0 || 52515 || 298
|0 || 52515 || 298
|0 || 52515 || 298
|0 || 52515 || 298
|0 || 52515 || 298
|0 || 52517 || 298
|1 || 52515 || 298
|1 || 52516 || 298
|1 || 52515 || 298
|1 || 52515 || 298
|1 || 52515 || 298
|1 || 52515 || 298
|1 || 52516 || 298
|1 || 52515 || 298
|2 || 52518 || 298
|2 || 52517 || 298
|2 || 52517 || 298
|2 || 52517 || 298
|2 || 52517 || 298
|2 || 52517 || 298
|2 || 52518 || 298
|2 || 52517 || 298
|4 || 52521 || 298
|4 || 52521 || 298
|4 || 52521 || 298
|4 || 52521 || 298
|4 || 52521 || 298
|4 || 52522 || 298
|4 || 52522 || 298
|4 || 52521 || 298
|8 || 52529 || 298
|8 || 52529 || 298
|8 || 52529 || 298
|8 || 52529 || 298
|8 || 52529 || 298
|8 || 52529 || 298
|8 || 52529 || 298
|8 || 52529 || 298
|16 || 52545 || 298
|16 || 52545 || 298
|16 || 52545 || 298
|16 || 52545 || 298
|16 || 52546 || 298
|16 || 52545 || 298
|16 || 52545 || 298
|16 || 52545 || 298
|32 || 52577 || 298
|32 || 52577 || 298
|32 || 52577 || 298
|32 || 52577 || 298
|32 || 52578 || 298
|32 || 52577 || 298
|32 || 52578 || 298
|32 || 52578 || 298
|64 || 65940 || 298
|64 || 65940 || 298
|64 || 65939 || 298
|64 || 65940 || 298
|64 || 65939 || 298
|64 || 65939 || 298
|64 || 65940 || 298
|64 || 65940 || 298
|128 || 79364 || 298
|128 || 79364 || 298
|128 || 79365 || 298
|128 || 79364 || 298
|128 || 79365 || 298
|128 || 79364 || 298
|128 || 79363 || 298
|128 || 79364 || 298
|256 || 106212 || 298
|256 || 106214 || 298
|256 || 106212 || 298
|256 || 106212 || 298
|256 || 106213 || 298
|256 || 106212 || 298
|256 || 106213 || 298
|256 || 106213 || 298
|512 || 159910 || 298
|512 || 159911 || 298
|512 || 159911 || 298
|512 || 159911 || 298
|512 || 159911 || 298
|512 || 159910 || 298
|512 || 159911 || 298
|512 || 159911 || 298
|576 || 173335 || 298
|576 || 173334 || 298
|576 || 173334 || 298
|576 || 173334 || 298
|576 || 173335 || 298
|576 || 173334 || 298
|576 || 173335 || 298
|576 || 173334 || 298
|1024 || 267306 || 298
|1024 || 267305 || 298
|1024 || 267306 || 298
|1024 || 267306 || 298
|1024 || 267305 || 298
|1024 || 267306 || 298
|1024 || 267306 || 298
|1024 || 267306 || 298
|1536 || 374701 || 298
|1536 || 374700 || 298
|1536 || 374700 || 298
|1536 || 374700 || 298
|1536 || 374701 || 298
|1536 || 374701 || 298
|1536 || 374701 || 298
|1536 || 374700 || 298
|2048 || 482097 || 298
|2048 || 482095 || 298
|2048 || 482096 || 298
|2048 || 482096 || 298
|2048 || 482096 || 298
|2048 || 482097 || 298
|2048 || 482095 || 298
|2048 || 482097 || 298
