| '''Message length''' || '''Consumed cycles''' || '''Stack Usage''' 
|0 || 82296 || 896
|0 || 80454 || 896
|0 || 82362 || 896
|0 || 82150 || 896
|0 || 82866 || 896
|0 || 80679 || 896
|0 || 82163 || 896
|0 || 81978 || 896
|1 || 80626 || 896
|1 || 82124 || 896
|1 || 82375 || 896
|1 || 82760 || 896
|1 || 80507 || 896
|1 || 81898 || 896
|1 || 82680 || 896
|1 || 80176 || 896
|2 || 82481 || 896
|2 || 82654 || 896
|2 || 80070 || 896
|2 || 82998 || 896
|2 || 82627 || 896
|2 || 82667 || 896
|2 || 80401 || 896
|2 || 82786 || 896
|4 || 82415 || 896
|4 || 81011 || 896
|4 || 81845 || 896
|4 || 82349 || 896
|4 || 82362 || 896
|4 || 81103 || 896
|4 || 82256 || 896
|4 || 82216 || 896
|8 || 83011 || 896
|8 || 82733 || 896
|8 || 82640 || 896
|8 || 80401 || 896
|8 || 82905 || 896
|8 || 82786 || 896
|8 || 82707 || 896
|8 || 80865 || 896
|16 || 82786 || 896
|16 || 82601 || 896
|16 || 80229 || 896
|16 || 82004 || 896
|16 || 82680 || 896
|16 || 82336 || 896
|16 || 80428 || 896
|16 || 81766 || 896
|32 || 80547 || 896
|32 || 83117 || 896
|32 || 82508 || 896
|32 || 82640 || 896
|32 || 80123 || 896
|32 || 82945 || 896
|32 || 82521 || 896
|32 || 82574 || 896
|64 || 82534 || 896
|64 || 82813 || 896
|64 || 82548 || 896
|64 || 80454 || 896
|64 || 83025 || 896
|64 || 83051 || 896
|64 || 80123 || 896
|64 || 82866 || 896
|128 || 124590 || 896
|128 || 122046 || 896
|128 || 124987 || 896
|128 || 124590 || 896
|128 || 124086 || 896
|128 || 122046 || 896
|128 || 124629 || 896
|128 || 124577 || 896
|256 || 166221 || 896
|256 || 166142 || 896
|256 || 166473 || 896
|256 || 163439 || 896
|256 || 165784 || 896
|256 || 166725 || 896
|256 || 166142 || 896
|256 || 163121 || 896
|512 || 249339 || 896
|512 || 248875 || 896
|512 || 248915 || 896
|512 || 248769 || 896
|512 || 249365 || 896
|512 || 246490 || 896
|512 || 248318 || 896
|512 || 249802 || 896
|576 || 246728 || 896
|576 || 249604 || 896
|576 || 249352 || 896
|576 || 246953 || 896
|576 || 249723 || 896
|576 || 248928 || 896
|576 || 248809 || 896
|576 || 247219 || 896
|1024 || 414871 || 896
|1024 || 412618 || 896
|1024 || 415401 || 896
|1024 || 415268 || 896
|1024 || 415176 || 896
|1024 || 412658 || 896
|1024 || 415361 || 896
|1024 || 415904 || 896
|1536 || 581211 || 896
|1536 || 580363 || 896
|1536 || 578283 || 896
|1536 || 581079 || 896
|1536 || 580721 || 896
|1536 || 581185 || 896
|1536 || 580443 || 896
|1536 || 580721 || 896
|2048 || 744756 || 896
|2048 || 746346 || 896
|2048 || 746465 || 896
|2048 || 745061 || 896
|2048 || 747207 || 896
|2048 || 747419 || 896
|2048 || 744597 || 896
|2048 || 745869 || 896
