| '''Cipher''' || '''Implementation''' || '''Empty Message''' || '''8 byte''' || '''64 bytes''' || '''512 bytes''' || '''1024 bytes''' || '''2048 bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_nslu2-openwrt_0hash_empty empty] || 5603 || 707 || 87 || 11 || 6 || 3 || 0 || [wiki:measureDetailsPage_20_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_nslu2-openwrt_blake32_sphlib sphlib] || 27631 || 3412 || 475 || 100 || 74 || 60 || 46 || [wiki:measureDetailsPage_20_blake32_sphlib Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_nslu2-openwrt_blake64_sphlib-small sphlib-small] || 36974 || 4645 || 583 || 223 || 185 || 167 || 148 || [wiki:measureDetailsPage_20_blake64_sphlib-small Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_nslu2-openwrt_bmw256_sphlib sphlib] || 22943 || 2870 || 400 || 87 || 65 || 53 || 42 || [wiki:measureDetailsPage_20_bmw256_sphlib Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_nslu2-openwrt_bmw512_sphlib sphlib] || 65852 || 8234 || 1034 || 205 || 141 || 108 || 76 || [wiki:measureDetailsPage_20_bmw512_sphlib Details]
|[wiki:ciphers_cubehash161 cubehash161] || [wiki:platformsimplementations_nslu2-openwrt_cubehash161_unrolled unrolled] || 106566 || 17901 || 6210 || 4783 || 4661 || 4606 || 4550 || [wiki:measureDetailsPage_20_cubehash161_unrolled Details]
|[wiki:ciphers_cubehash1616 cubehash1616] || [wiki:platformsimplementations_nslu2-openwrt_cubehash1616_unrolled unrolled] || 106600 || 13377 || 1989 || 530 || 426 || 374 || 321 || [wiki:measureDetailsPage_20_cubehash1616_unrolled Details]
|[wiki:ciphers_cubehash162 cubehash162] || [wiki:platformsimplementations_nslu2-openwrt_cubehash162_unrolled unrolled] || 106633 || 15648 || 3960 || 2501 || 2414 || 2355 || 2297 || [wiki:measureDetailsPage_20_cubehash162_unrolled Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_nslu2-openwrt_cubehash1632_sphlib-small sphlib-small] || 65120 || 8128 || 1270 || 288 || 218 || 183 || 147 || [wiki:measureDetailsPage_20_cubehash1632_sphlib-small Details]
|[wiki:ciphers_cubehash164 cubehash164] || [wiki:platformsimplementations_nslu2-openwrt_cubehash164_unrolled unrolled] || 106616 || 14524 || 2837 || 1375 || 1287 || 1227 || 1167 || [wiki:measureDetailsPage_20_cubehash164_unrolled Details]
|[wiki:ciphers_cubehash168 cubehash168] || [wiki:platformsimplementations_nslu2-openwrt_cubehash168_unrolled unrolled] || 107797 || 14100 || 2293 || 819 || 714 || 661 || 608 || [wiki:measureDetailsPage_20_cubehash168_unrolled Details]
|[wiki:ciphers_cubehash81 cubehash81] || [wiki:platformsimplementations_nslu2-openwrt_cubehash81_unrolled unrolled] || 61496 || 10104 || 3360 || 2548 || 2474 || 2437 || 2399 || [wiki:measureDetailsPage_20_cubehash81_unrolled Details]
|[wiki:ciphers_cubehash816 cubehash816] || [wiki:platformsimplementations_nslu2-openwrt_cubehash816_unrolled unrolled] || 61446 || 7741 || 1150 || 308 || 248 || 218 || 187 || [wiki:measureDetailsPage_20_cubehash816_unrolled Details]
|[wiki:ciphers_cubehash82 cubehash82] || [wiki:platformsimplementations_nslu2-openwrt_cubehash82_unrolled unrolled] || 61413 || 8915 || 2184 || 1341 || 1297 || 1259 || 1221 || [wiki:measureDetailsPage_20_cubehash82_unrolled Details]
|[wiki:ciphers_cubehash832 cubehash832] || [wiki:platformsimplementations_nslu2-openwrt_cubehash832_unrolled unrolled] || 61313 || 7733 || 1076 || 235 || 174 || 144 || 114 || [wiki:measureDetailsPage_20_cubehash832_unrolled Details]
|[wiki:ciphers_cubehash84 cubehash84] || [wiki:platformsimplementations_nslu2-openwrt_cubehash84_unrolled unrolled] || 61380 || 8335 || 1595 || 751 || 690 || 669 || 647 || [wiki:measureDetailsPage_20_cubehash84_unrolled Details]
|[wiki:ciphers_cubehash88 cubehash88] || [wiki:platformsimplementations_nslu2-openwrt_cubehash88_unrolled unrolled] || 61579 || 8042 || 1299 || 456 || 395 || 365 || 335 || [wiki:measureDetailsPage_20_cubehash88_unrolled Details]
|[wiki:ciphers_echo256 echo256] || [wiki:platformsimplementations_nslu2-openwrt_echo256_sphlib-small sphlib-small] || 58686 || 7340 || 918 || 276 || 256 || 226 || 196 || [wiki:measureDetailsPage_20_echo256_sphlib-small Details]
|[wiki:ciphers_echo512 echo512] || [wiki:platformsimplementations_nslu2-openwrt_echo512_sphlib-small sphlib-small] || 67847 || 8512 || 1067 || 522 || 454 || 419 || 385 || [wiki:measureDetailsPage_20_echo512_sphlib-small Details]
|[wiki:ciphers_echosp256 echosp256] || [wiki:platformsimplementations_nslu2-openwrt_echosp256_generic_opt32 generic_opt32] || 94480 || 12080 || 1526 || 375 || 278 || 251 || 224 || [wiki:measureDetailsPage_20_echosp256_generic_opt32 Details]
|[wiki:ciphers_echosp512 echosp512] || [wiki:platformsimplementations_nslu2-openwrt_echosp512_generic_opt32 generic_opt32] || 104837 || 13389 || 1678 || 435 || 382 || 328 || 273 || [wiki:measureDetailsPage_20_echosp512_generic_opt32 Details]
|[wiki:ciphers_fugue256 fugue256] || [wiki:platformsimplementations_nslu2-openwrt_fugue256_sphlib sphlib] || 40997 || 5709 || 851 || 218 || 172 || 147 || 123 || [wiki:measureDetailsPage_20_fugue256_sphlib Details]
|[wiki:ciphers_fugue512 fugue512] || [wiki:platformsimplementations_nslu2-openwrt_fugue512_sphlib sphlib] || 69326 || 9476 || 1381 || 381 || 307 || 270 || 233 || [wiki:measureDetailsPage_20_fugue512_sphlib Details]
|[wiki:ciphers_groestl256 groestl256] || [wiki:platformsimplementations_nslu2-openwrt_groestl256_opt32-xbx-rolled opt32-xbx-rolled] || 106101 || 13263 || 1955 || 505 || 402 || 349 || 295 || [wiki:measureDetailsPage_20_groestl256_opt32-xbx-rolled Details]
|[wiki:ciphers_groestl512 groestl512] || [wiki:platformsimplementations_nslu2-openwrt_groestl512_opt32 opt32] || 184887 || 23179 || 2910 || 814 || 633 || 571 || 510 || [wiki:measureDetailsPage_20_groestl512_opt32 Details]
|[wiki:ciphers_hamsi hamsi] || [wiki:platformsimplementations_nslu2-openwrt_hamsi_sphlib sphlib] || 25619 || 3668 || 778 || 379 || 331 || 296 || 260 || [wiki:measureDetailsPage_20_hamsi_sphlib Details]
|[wiki:ciphers_hamsi512 hamsi512] || [wiki:platformsimplementations_nslu2-openwrt_hamsi512_sphlib-small sphlib-small] || 41978 || 9192 || 1559 || 944 || 891 || 876 || 860 || [wiki:measureDetailsPage_20_hamsi512_sphlib-small Details]
|[wiki:ciphers_jh224 jh224] || [wiki:platformsimplementations_nslu2-openwrt_jh224_bitslice_opt32 bitslice_opt32] || 35927 || 6829 || 857 || 364 || 329 || 310 || 292 || [wiki:measureDetailsPage_20_jh224_bitslice_opt32 Details]
|[wiki:ciphers_jh256 jh256] || [wiki:platformsimplementations_nslu2-openwrt_jh256_bitslice_opt32 bitslice_opt32] || 36060 || 6833 || 852 || 364 || 328 || 310 || 292 || [wiki:measureDetailsPage_20_jh256_bitslice_opt32 Details]
|[wiki:ciphers_jh384 jh384] || [wiki:platformsimplementations_nslu2-openwrt_jh384_bitslice_opt32 bitslice_opt32] || 35860 || 6854 || 852 || 364 || 328 || 310 || 292 || [wiki:measureDetailsPage_20_jh384_bitslice_opt32 Details]
|[wiki:ciphers_jh512 jh512] || [wiki:platformsimplementations_nslu2-openwrt_jh512_bitslice_opt32 bitslice_opt32] || 35744 || 6841 || 853 || 363 || 329 || 310 || 292 || [wiki:measureDetailsPage_20_jh512_bitslice_opt32 Details]
|[wiki:ciphers_keccak keccak] || [wiki:platformsimplementations_nslu2-openwrt_keccak_opt32u2 opt32u2] || 50873 || 6696 || 908 || 324 || 268 || 237 || 206 || [wiki:measureDetailsPage_20_keccak_opt32u2 Details]
|[wiki:ciphers_keccak256 keccak256] || [wiki:platformsimplementations_nslu2-openwrt_keccak256_sphlib-small sphlib-small] || 80432 || 10060 || 1265 || 414 || 376 || 357 || 339 || [wiki:measureDetailsPage_20_keccak256_sphlib-small Details]
|[wiki:ciphers_keccak512 keccak512] || [wiki:platformsimplementations_nslu2-openwrt_keccak512_sphlib-small sphlib-small] || 77572 || 9672 || 1209 || 733 || 657 || 619 || 580 || [wiki:measureDetailsPage_20_keccak512_sphlib-small Details]
|[wiki:ciphers_keccakc512 keccakc512] || [wiki:platformsimplementations_nslu2-openwrt_keccakc512_opt32u2 opt32u2] || 50873 || 6769 || 901 || 284 || 248 || 229 || 209 || [wiki:measureDetailsPage_20_keccakc512_opt32u2 Details]
|[wiki:ciphers_lane256 lane256] || [wiki:platformsimplementations_nslu2-openwrt_lane256_c c] || 76259 || 10854 || 1352 || 315 || 239 || 201 || 162 || [wiki:measureDetailsPage_20_lane256_c Details]
|[wiki:ciphers_lane512 lane512] || [wiki:platformsimplementations_nslu2-openwrt_lane512_c c] || 271619 || 49183 || 6148 || 1475 || 1210 || 1087 || 963 || [wiki:measureDetailsPage_20_lane512_c Details]
|[wiki:ciphers_luffa256 luffa256] || [wiki:platformsimplementations_nslu2-openwrt_luffa256_sphlib sphlib] || 18404 || 2301 || 420 || 119 || 97 || 86 || 74 || [wiki:measureDetailsPage_20_luffa256_sphlib Details]
|[wiki:ciphers_luffa512 luffa512] || [wiki:platformsimplementations_nslu2-openwrt_luffa512_sphlib sphlib] || 33799 || 4208 || 799 || 223 || 182 || 160 || 139 || [wiki:measureDetailsPage_20_luffa512_sphlib Details]
|[wiki:ciphers_mcssha4 mcssha4] || [wiki:platformsimplementations_nslu2-openwrt_mcssha4_ref ref] || 21629 || 2860 || 474 || 173 || 152 || 141 || 130 || [wiki:measureDetailsPage_20_mcssha4_ref Details]
|[wiki:ciphers_mcssha5 mcssha5] || [wiki:platformsimplementations_nslu2-openwrt_mcssha5_ref ref] || 27997 || 3714 || 574 || 186 || 158 || 144 || 130 || [wiki:measureDetailsPage_20_mcssha5_ref Details]
|[wiki:ciphers_mcssha6 mcssha6] || [wiki:platformsimplementations_nslu2-openwrt_mcssha6_ref ref] || 26467 || 3516 || 550 || 184 || 157 || 144 || 130 || [wiki:measureDetailsPage_20_mcssha6_ref Details]
|[wiki:ciphers_md6d224 md6d224] || [wiki:platformsimplementations_nslu2-openwrt_md6d224_ref ref] || 168943 || 21151 || 2651 || 337 || 368 || 283 || 198 || [wiki:measureDetailsPage_20_md6d224_ref Details]
|[wiki:ciphers_md6d256 md6d256] || [wiki:platformsimplementations_nslu2-openwrt_md6d256_ref ref] || 178868 || 22421 || 2806 || 357 || 393 || 304 || 214 || [wiki:measureDetailsPage_20_md6d256_ref Details]
|[wiki:ciphers_md6d384 md6d384] || [wiki:platformsimplementations_nslu2-openwrt_md6d384_ref ref] || 219749 || 27512 || 3441 || 435 || 496 || 387 || 277 || [wiki:measureDetailsPage_20_md6d384_ref Details]
|[wiki:ciphers_md6d512 md6d512] || [wiki:platformsimplementations_nslu2-openwrt_md6d512_ref ref] || 260464 || 32544 || 4076 || 515 || 599 || 480 || 361 || [wiki:measureDetailsPage_20_md6d512_ref Details]
|[wiki:ciphers_shabal256 shabal256] || [wiki:platformsimplementations_nslu2-openwrt_shabal256_sphlib sphlib] || 32336 || 4021 || 694 || 116 || 75 || 54 || 33 || [wiki:measureDetailsPage_20_shabal256_sphlib Details]
|[wiki:ciphers_shabal512 shabal512] || [wiki:platformsimplementations_nslu2-openwrt_shabal512_ref ref] || 32701 || 4054 || 690 || 114 || 73 || 52 || 31 || [wiki:measureDetailsPage_20_shabal512_ref Details]
|[wiki:ciphers_shavite3256 shavite3256] || [wiki:platformsimplementations_nslu2-openwrt_shavite3256_256-nosalt-smallc 256-nosalt-smallc] || 64455 || 8026 || 1140 || 257 || 192 || 160 || 127 || [wiki:measureDetailsPage_20_shavite3256_256-nosalt-smallc Details]
|[wiki:ciphers_simd256 simd256] || [wiki:platformsimplementations_nslu2-openwrt_simd256_sphlib sphlib] || 54846 || 8649 || 1083 || 326 || 272 || 244 || 216 || [wiki:measureDetailsPage_20_simd256_sphlib Details]
|[wiki:ciphers_simd512 simd512] || [wiki:platformsimplementations_nslu2-openwrt_simd512_opt opt] || 64621 || 12770 || 1599 || 425 || 360 || 328 || 296 || [wiki:measureDetailsPage_20_simd512_opt Details]
|[wiki:ciphers_skein256 skein256] || [wiki:platformsimplementations_nslu2-openwrt_skein256_sphlib-small sphlib-small] || 35910 || 4489 || 863 || 205 || 158 || 134 || 110 || [wiki:measureDetailsPage_20_skein256_sphlib-small Details]
|[wiki:ciphers_skein512 skein512] || [wiki:platformsimplementations_nslu2-openwrt_skein512_sphlib sphlib] || 79601 || 9906 || 1243 || 359 || 255 || 203 || 151 || [wiki:measureDetailsPage_20_skein512_sphlib Details]
|[wiki:ciphers_whirlpool whirlpool] || [wiki:platformsimplementations_nslu2-openwrt_whirlpool_ref ref] || 75893 || 9516 || 1702 || 602 || 523 || 493 || 463 || [wiki:measureDetailsPage_20_whirlpool_ref Details]
