| '''Hash''' || '''Implementation''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''Details''' 
|[wiki:ciphers_0hash 0hash] || [wiki:platformsimplementations_atmega1284p_16mhz_0hash_empty empty] || 72 || 9 || 1 || 0 || 0 || 0 || 0 || [wiki:measureDetailsPage_28_0hash_empty Details]
|[wiki:ciphers_blake32 blake32] || [wiki:platformsimplementations_atmega1284p_16mhz_blake32_sphlib sphlib] || 60938 || 7614 || 1865 || 1014 || 953 || 923 || 892 || [wiki:measureDetailsPage_28_blake32_sphlib Details]
|[wiki:ciphers_blake64 blake64] || [wiki:platformsimplementations_atmega1284p_16mhz_blake64_armcryptolib armcryptolib] || 497826 || 62252 || 7788 || 4767 || 4281 || 4038 || 3795 || [wiki:measureDetailsPage_28_blake64_armcryptolib Details]
|[wiki:ciphers_bmw256 bmw256] || [wiki:platformsimplementations_atmega1284p_16mhz_bmw256_avrcryptolib_asm avrcryptolib_asm] || 64289 || 8038 || 1489 || 610 || 548 || 516 || 485 || [wiki:measureDetailsPage_28_bmw256_avrcryptolib_asm Details]
|[wiki:ciphers_bmw512 bmw512] || [wiki:platformsimplementations_atmega1284p_16mhz_bmw512_avrcryptolib avrcryptolib] || 766277 || 95793 || 11981 || 4466 || 3717 || 3343 || 2969 || [wiki:measureDetailsPage_28_bmw512_avrcryptolib Details]
|[wiki:ciphers_cubehash1632 cubehash1632] || [wiki:platformsimplementations_atmega1284p_16mhz_cubehash1632_avrcryptolib_cwbasm avrcryptolib_cwbasm] || 2795623 || 349461 || 47850 || 9628 || 6898 || 5533 || 4168 || [wiki:measureDetailsPage_28_cubehash1632_avrcryptolib_cwbasm Details]
|[wiki:ciphers_echo256 echo256] || [wiki:platformsimplementations_atmega1284p_16mhz_echo256_avrcryptolib avrcryptolib] || 220677 || 27587 || 3455 || 1285 || 1280 || 1173 || 1065 || [wiki:measureDetailsPage_28_echo256_avrcryptolib Details]
|[wiki:ciphers_echo512 echo512] || [wiki:platformsimplementations_atmega1284p_16mhz_echo512_avrcryptolib avrcryptolib] || 272839 || 34108 || 4270 || 2642 || 2375 || 2242 || 2108 || [wiki:measureDetailsPage_28_echo512_avrcryptolib Details]
|[wiki:ciphers_fugue256 fugue256] || [wiki:platformsimplementations_atmega1284p_16mhz_fugue256_sphlib sphlib] || 113354 || 15237 || 2611 || 1035 || 922 || 866 || 810 || [wiki:measureDetailsPage_28_fugue256_sphlib Details]
|[wiki:ciphers_fugue512 fugue512] || [wiki:platformsimplementations_atmega1284p_16mhz_fugue512_sphlib sphlib] || 263857 || 34797 || 5704 || 2069 || 1809 || 1679 || 1549 || [wiki:measureDetailsPage_28_fugue512_sphlib Details]
|[wiki:ciphers_groestl256 groestl256] || [wiki:platformsimplementations_atmega1284p_16mhz_groestl256_opt32-xbx-rolled opt32-xbx-rolled] || 139273 || 17519 || 3426 || 1522 || 1386 || 1318 || 1250 || [wiki:measureDetailsPage_28_groestl256_opt32-xbx-rolled Details]
|[wiki:ciphers_groestl512 groestl512] || [wiki:platformsimplementations_atmega1284p_16mhz_groestl512_sphlib-small sphlib-small] || 644826 || 80597 || 10069 || 4580 || 3949 || 3633 || 3317 || [wiki:measureDetailsPage_28_groestl512_sphlib-small Details]
|[wiki:ciphers_hamsi hamsi] || [wiki:platformsimplementations_atmega1284p_16mhz_hamsi_sphlib-small sphlib-small] || 89949 || 16595 || 6758 || 5529 || 5441 || 5397 || 5353 || [wiki:measureDetailsPage_28_hamsi_sphlib-small Details]
|[wiki:ciphers_jh256 jh256] || [wiki:platformsimplementations_atmega1284p_16mhz_jh256_sphlib-small sphlib-small] || 180400 || 43812 || 5509 || 3010 || 2831 || 2742 || 2652 || [wiki:measureDetailsPage_28_jh256_sphlib-small Details]
|[wiki:ciphers_jh512 jh512] || [wiki:platformsimplementations_atmega1284p_16mhz_jh512_sphlib-small sphlib-small] || 180656 || 43844 || 5513 || 3010 || 2831 || 2742 || 2652 || [wiki:measureDetailsPage_28_jh512_sphlib-small Details]
|[wiki:ciphers_keccak keccak] || [wiki:platformsimplementations_atmega1284p_16mhz_keccak_avr8 avr8] || 193055 || 24139 || 3024 || 1877 || 1688 || 1594 || 1500 || [wiki:measureDetailsPage_28_keccak_avr8 Details]
|[wiki:ciphers_keccakc1024 keccakc1024] || [wiki:platformsimplementations_atmega1284p_16mhz_keccakc1024_avr8 avr8] || 192607 || 24083 || 3017 || 2995 || 2807 || 2713 || 2619 || [wiki:measureDetailsPage_28_keccakc1024_avr8 Details]
|[wiki:ciphers_keccakc256 keccakc256] || [wiki:platformsimplementations_atmega1284p_16mhz_keccakc256_avr8 avr8] || 193336 || 24174 || 3028 || 1504 || 1315 || 1221 || 1127 || [wiki:measureDetailsPage_28_keccakc256_avr8 Details]
|[wiki:ciphers_keccakc448 keccakc448] || [wiki:platformsimplementations_atmega1284p_16mhz_keccakc448_avr8 avr8] || 192356 || 24052 || 3013 || 1502 || 1501 || 1407 || 1313 || [wiki:measureDetailsPage_28_keccakc448_avr8 Details]
|[wiki:ciphers_keccakc512 keccakc512] || [wiki:platformsimplementations_atmega1284p_16mhz_keccakc512_avr8 avr8] || 192384 || 24055 || 3013 || 1503 || 1501 || 1500 || 1500 || [wiki:measureDetailsPage_28_keccakc512_avr8 Details]
|[wiki:ciphers_keccakc768 keccakc768] || [wiki:platformsimplementations_atmega1284p_16mhz_keccakc768_avr8 avr8] || 192496 || 24069 || 3015 || 1876 || 1874 || 1873 || 1873 || [wiki:measureDetailsPage_28_keccakc768_avr8 Details]
|[wiki:ciphers_luffa256 luffa256] || [wiki:platformsimplementations_atmega1284p_16mhz_luffa256_avr avr] || 46141 || 5770 || 1450 || 819 || 774 || 752 || 729 || [wiki:measureDetailsPage_28_luffa256_avr Details]
|[wiki:ciphers_luffa384 luffa384] || [wiki:platformsimplementations_atmega1284p_16mhz_luffa384_avr avr] || 98357 || 12297 || 2592 || 1248 || 1152 || 1104 || 1056 || [wiki:measureDetailsPage_28_luffa384_avr Details]
|[wiki:ciphers_luffa512 luffa512] || [wiki:platformsimplementations_atmega1284p_16mhz_luffa512_avr avr] || 133583 || 16700 || 3515 || 1689 || 1559 || 1493 || 1428 || [wiki:measureDetailsPage_28_luffa512_avr Details]
