| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:ciphers_0hash <-] 0hash [wiki:platformsciphers_fritzbox-7170_0hash ->] || [wiki:platformsimplementations_fritzbox-7170_0hash_empty empty] || 12906 || 0 || 0 || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_cubehash1632 <-] cubehash1632 [wiki:platformsciphers_fritzbox-7170_cubehash1632 ->] || [wiki:platformsimplementations_fritzbox-7170_cubehash1632_bitsliced bitsliced] || 3120375 || 1227 || 184 || [wiki:compilernames mips-uclib-gcc -Os] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_luffa256 <-] luffa256 [wiki:platformsciphers_fritzbox-7170_luffa256 ->] || [wiki:platformsimplementations_fritzbox-7170_luffa256_thomaz_basic thomaz_basic] || 195517 || 4298 || 208 || [wiki:compilernames mips-uclib-gcc -O3] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_fugue256 <-] fugue256 [wiki:platformsciphers_fritzbox-7170_fugue256 ->] || [wiki:platformsimplementations_fritzbox-7170_fugue256_ANSI_opt32 ANSI_opt32] || 266312 || 65188 || 220 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_shabal256 <-] shabal256 [wiki:platformsciphers_fritzbox-7170_shabal256 ->] || [wiki:platformsimplementations_fritzbox-7170_shabal256_tiny_portable-lowram tiny_portable-lowram] || 144491 || 1203 || 232 || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_shabal512 <-] shabal512 [wiki:platformsciphers_fritzbox-7170_shabal512 ->] || [wiki:platformsimplementations_fritzbox-7170_shabal512_tiny_portable-lowram tiny_portable-lowram] || 144796 || 1203 || 264 || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_hamsi <-] hamsi [wiki:platformsciphers_fritzbox-7170_hamsi ->] || [wiki:platformsimplementations_fritzbox-7170_hamsi_sphlib sphlib] || 467275 || 43189 || 296 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_32 Run 32]
|[wiki:ciphers_cubehash161 <-] cubehash161 [wiki:platformsciphers_fritzbox-7170_cubehash161 ->] || [wiki:platformsimplementations_fritzbox-7170_cubehash161_simple simple] || 55643945 || 2166 || 335 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_25 Run 25]
|[wiki:ciphers_cubehash162 <-] cubehash162 [wiki:platformsciphers_fritzbox-7170_cubehash162 ->] || [wiki:platformsimplementations_fritzbox-7170_cubehash162_simple simple] || 20277005 || 2374 || 335 || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || [wiki:runs_9 Run 9]
|[wiki:ciphers_cubehash832 <-] cubehash832 [wiki:platformsciphers_fritzbox-7170_cubehash832 ->] || [wiki:platformsimplementations_fritzbox-7170_cubehash832_simple simple] || 1387739 || 2166 || 335 || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || [wiki:runs_25 Run 25]
