| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:ciphers_shabal256 <-] shabal256 [wiki:platformsciphers_lm3s811-evb_shabal256 ->] || [wiki:platformsimplementations_lm3s811-evb_shabal256_tiny_portable tiny_portable] || 100293 || 524 || 544 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:ciphers_shabal512 <-] shabal512 [wiki:platformsciphers_lm3s811-evb_shabal512 ->] || [wiki:platformsimplementations_lm3s811-evb_shabal512_tiny_portable tiny_portable] || 100477 || 524 || 576 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:ciphers_cubehash1632 <-] cubehash1632 [wiki:platformsciphers_lm3s811-evb_cubehash1632 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash1632_bitsliced bitsliced] || 3378630 || 648 || 232 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:ciphers_groestl256 <-] groestl256 [wiki:platformsciphers_lm3s811-evb_groestl256 ->] || [wiki:platformsimplementations_lm3s811-evb_groestl256_armcryptolib armcryptolib] || 13532142 || 1212 || 416 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:ciphers_groestl512 <-] groestl512 [wiki:platformsciphers_lm3s811-evb_groestl512 ->] || [wiki:platformsimplementations_lm3s811-evb_groestl512_armcryptolib armcryptolib] || 20089522 || 1252 || 708 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:ciphers_blake32 <-] blake32 [wiki:platformsciphers_lm3s811-evb_blake32 ->] || [wiki:platformsimplementations_lm3s811-evb_blake32_armcryptolib armcryptolib] || 231877 || 1372 || 284 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:ciphers_skein256 <-] skein256 [wiki:platformsciphers_lm3s811-evb_skein256 ->] || [wiki:platformsimplementations_lm3s811-evb_skein256_armcryptolib armcryptolib] || 998777 || 1372 || 356 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:ciphers_skein512 <-] skein512 [wiki:platformsciphers_lm3s811-evb_skein512 ->] || [wiki:platformsimplementations_lm3s811-evb_skein512_armcryptolib armcryptolib] || 1020578 || 1472 || 540 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
|[wiki:ciphers_keccak512 <-] keccak512 [wiki:platformsciphers_lm3s811-evb_keccak512 ->] || [wiki:platformsimplementations_lm3s811-evb_keccak512_armcryptolib armcryptolib] || 2243751 || 1520 || 644 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_keccak256 <-] keccak256 [wiki:platformsciphers_lm3s811-evb_keccak256 ->] || [wiki:platformsimplementations_lm3s811-evb_keccak256_armcryptolib armcryptolib] || 1233459 || 1520 || 676 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_23 Run 23]
