| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 1337090513 || 163274254 || 3060 (25097) || 0 (472) || 32 (2768) || 288(301) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 1340301150 || 157880014 || 3060 (25097) || 0 (472) || 32 (2768) || 288(301) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 1340236215 || 163143810 || 3060 (25097) || 0 (472) || 32 (2768) || 288(301) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 1332432326 || 155301863 || 3060 (25097) || 0 (472) || 32 (2768) || 288(301) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 1356600566 || 163488791 || 3060 (25097) || 0 (472) || 32 (2776) || 288(301) || Checksum OK || [wiki:runs_27 Run 27]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 487541486 || 56744550 || 1288 (18172) || 0 (472) || 32 (2768) || 260(260) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 487130378 || 56767286 || 1288 (18172) || 0 (472) || 32 (2768) || 260(260) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 487120860 || 56748184 || 1288 (18172) || 0 (472) || 32 (2768) || 259(259) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 487117451 || 56749028 || 1288 (18172) || 0 (472) || 32 (2768) || 260(260) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 491634675 || 56683564 || 1288 (18172) || 0 (472) || 32 (2776) || 259(259) || Checksum OK || [wiki:runs_27 Run 27]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 ||  ||  || 1312 (17992) || 0 (472) || 32 (2768) || unk(unk) || error || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 427881949 || 50579741 || 1312 (17992) || 0 (472) || 32 (2768) || 264(264) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 435794231 || 50514086 || 1312 (17992) || 0 (472) || 32 (2768) || 264(264) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 436081219 || 50573228 || 1312 (17992) || 0 (472) || 32 (2768) || 263(263) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 430773435 || 50570089 || 1312 (17992) || 0 (472) || 32 (2776) || 264(264) || Checksum OK || [wiki:runs_27 Run 27]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 435813491 || 50574645 || 1832 (21852) || 0 (472) || 32 (2768) || 248(248) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 435580425 || 50571911 || 1832 (21852) || 0 (472) || 32 (2768) || 248(248) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 435863070 || 50503343 || 1832 (21852) || 0 (472) || 32 (2768) || 248(248) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 420591791 || 53340953 || 1832 (21852) || 0 (472) || 32 (2768) || 248(248) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 430372069 || 50648760 || 1832 (21852) || 0 (472) || 32 (2776) || 248(248) || Checksum OK || [wiki:runs_27 Run 27]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 435944115 || 53276096 || 1304 (17845) || 0 (472) || 32 (2768) || 264(264) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 427882388 || 50503241 || 1304 (17845) || 0 (472) || 32 (2768) || 264(264) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 435734010 || 50503106 || 1304 (17845) || 0 (472) || 32 (2768) || 264(264) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 435825371 || 50503241 || 1304 (17845) || 0 (472) || 32 (2768) || 264(264) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 430758405 || 50493116 || 1304 (17845) || 0 (472) || 32 (2776) || 264(264) || Checksum OK || [wiki:runs_27 Run 27]
