| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 66439631 || 2289656 || 49248 (71285) || 0 (472) || 32 (472) || 380(393) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 70755368 || 2300333 || 49248 (71285) || 0 (472) || 32 (472) || 380(393) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 72718256 || 2298375 || 49248 (71285) || 0 (472) || 32 (472) || 380(393) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 69054525 || 2288711 || 49248 (71285) || 0 (472) || 32 (472) || 380(393) || Checksum OK || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 13821413 || 339964 || 28088 (44972) || 0 (472) || 32 (472) || 364(364) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 13797821 || 339784 || 28088 (44972) || 0 (472) || 32 (472) || 364(364) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 13804650 || 354544 || 28088 (44972) || 0 (472) || 32 (472) || 364(364) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 13826486 || 339795 || 28088 (44972) || 0 (472) || 32 (472) || 364(364) || Checksum OK || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 48083467 || 1717504 || 37304 (53984) || 0 (472) || 32 (472) || 352(352) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 48012671 || 1718134 || 37304 (53984) || 0 (472) || 32 (472) || 352(352) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 48078754 || 1717943 || 37304 (53984) || 0 (472) || 32 (472) || 352(352) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 48103054 || 1718955 || 37304 (53984) || 0 (472) || 32 (472) || 352(352) || Checksum OK || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 47924123 || 1734390 || 37864 (57884) || 0 (472) || 32 (472) || 352(352) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 47926226 || 1733625 || 37864 (57884) || 0 (472) || 32 (472) || 352(352) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 55978999 || 1734491 || 37864 (57884) || 0 (472) || 32 (472) || 352(352) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 47957231 || 1733962 || 37864 (57884) || 0 (472) || 32 (472) || 352(352) || Checksum OK || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 48893051 || 1722848 || 37364 (53905) || 0 (472) || 32 (472) || 360(360) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 51637849 || 1723118 || 37364 (53905) || 0 (472) || 32 (472) || 360(360) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 48873566 || 1722544 || 37364 (53905) || 0 (472) || 32 (472) || 360(360) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 56764305 || 1722488 || 37364 (53905) || 0 (472) || 32 (472) || 360(360) || Checksum OK || [wiki:runs_16 Run 16]
