| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 55574865 || 3196834 || 16056 (38093) || 0 (472) || 0 (2736) || 544(557) || Checksum failed || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 55500154 || 3199275 || 16056 (38093) || 0 (472) || 0 (2736) || 544(557) || Checksum failed || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 55733456 || 3199275 || 16056 (38093) || 0 (472) || 0 (2736) || 544(557) || Checksum failed || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 53931735 || 3196395 || 16056 (38093) || 0 (472) || 0 (2736) || 544(557) || Checksum failed || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 47678918 || 3174109 || 16056 (38093) || 0 (472) || 0 (2744) || 544(557) || Checksum failed || [wiki:runs_27 Run 27]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 21301504 || 1371926 || 7980 (24864) || 0 (472) || 0 (2736) || 488(488) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 21271928 || 1371938 || 7980 (24864) || 0 (472) || 0 (2736) || 488(488) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 21358845 || 1371803 || 7980 (24864) || 0 (472) || 0 (2736) || 488(488) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 21285236 || 1371274 || 7980 (24864) || 0 (472) || 0 (2736) || 488(488) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 21280646 || 1370790 || 7980 (24864) || 0 (472) || 0 (2744) || 488(488) || Checksum OK || [wiki:runs_27 Run 27]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 21921210 || 1409648 || 8276 (24956) || 0 (472) || 0 (2736) || 560(560) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 24701299 || 1408736 || 8276 (24956) || 0 (472) || 0 (2736) || 560(560) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 21920400 || 1412291 || 8276 (24956) || 0 (472) || 0 (2736) || 560(560) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 21942720 || 1395968 || 8276 (24956) || 0 (472) || 0 (2736) || 560(560) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 22006440 || 1408781 || 8276 (24956) || 0 (472) || 0 (2744) || 560(560) || Checksum OK || [wiki:runs_27 Run 27]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 21822773 || 1413596 || 9564 (29584) || 0 (472) || 0 (2736) || 512(512) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 21831953 || 1398454 || 9564 (29584) || 0 (472) || 0 (2736) || 512(512) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 21918713 || 1411110 || 9564 (29584) || 0 (472) || 0 (2736) || 512(512) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 24591049 || 1411571 || 9564 (29584) || 0 (472) || 0 (2736) || 512(512) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 21825641 || 1411155 || 9564 (29584) || 0 (472) || 0 (2744) || 512(512) || Checksum OK || [wiki:runs_27 Run 27]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 20890958 || 1337636 || 7920 (24461) || 0 (472) || 0 (2736) || 540(540) || Checksum OK || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 20889968 || 1338536 || 7920 (24461) || 0 (472) || 0 (2736) || 540(540) || Checksum OK || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 20886986 || 1338041 || 7920 (24461) || 0 (472) || 0 (2736) || 540(540) || Checksum OK || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 20908170 || 1338896 || 7920 (24461) || 0 (472) || 0 (2736) || 540(540) || Checksum OK || [wiki:runs_16 Run 16]
|20101020 || clix || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 20886581 || 1336444 || 7920 (24461) || 0 (472) || 0 (2744) || 540(540) || Checksum OK || [wiki:runs_27 Run 27]
