| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100720 || toad || arm-linux-gcc -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 18937485 || 1130940 || 32075 (52873) || 68 (504) || 4 (504) || 1304(1317) || Checksum failed || [wiki:runs_18 Run 18]
|20100710 || toad || arm-linux-gcc -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 17907525 || 1128083 || 32075 (50400) || 68 (484) || 4 (484) || 1304(1317) || Checksum failed || [wiki:runs_7 Run 7]
|20100719 || toad || arm-linux-gcc -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 16133614 || 1156140 || 32075 (52873) || 68 (504) || 4 (504) || 1304(1317) || Checksum failed || [wiki:runs_17 Run 17]
|20100711 || toad || arm-linux-gcc -O0 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 19067501 || 1446739 || 32075 (50400) || 68 (484) || 4 (484) || 1304(1317) || Checksum failed || [wiki:runs_8 Run 8]
|20100720 || toad || arm-linux-gcc -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 10891204 || 203996 || 21664 (37217) || 68 (504) || 4 (504) || 1452(1452) || Checksum failed || [wiki:runs_18 Run 18]
|20100711 || toad || arm-linux-gcc -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 7652115 || 209925 || 21664 (35384) || 68 (484) || 4 (484) || 1452(1452) || Checksum failed || [wiki:runs_8 Run 8]
|20100719 || toad || arm-linux-gcc -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 7618028 || 203929 || 21664 (37217) || 68 (504) || 4 (504) || 1452(1452) || Checksum failed || [wiki:runs_17 Run 17]
|20100710 || toad || arm-linux-gcc -O1 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 8436769 || 209745 || 21664 (35384) || 68 (484) || 4 (484) || 1452(1452) || Checksum failed || [wiki:runs_7 Run 7]
|20100710 || toad || arm-linux-gcc -O2 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 15904958 || 1020476 || 31176 (44672) || 68 (484) || 4 (484) || 4480(4480) || Checksum failed || [wiki:runs_7 Run 7]
|20100711 || toad || arm-linux-gcc -O2 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 13582260 || 1008011 || 31176 (44672) || 68 (484) || 4 (484) || 4480(4480) || Checksum failed || [wiki:runs_8 Run 8]
|20100719 || toad || arm-linux-gcc -O2 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 16029788 || 1027181 || 31176 (46601) || 68 (504) || 4 (504) || 4480(4480) || Checksum failed || [wiki:runs_17 Run 17]
|20100720 || toad || arm-linux-gcc -O2 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 13717406 || 1039219 || 31176 (46601) || 68 (504) || 4 (504) || 4480(4480) || Checksum failed || [wiki:runs_18 Run 18]
|20100710 || toad || arm-linux-gcc -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 14581496 || 995794 || 32020 (47924) || 68 (484) || 4 (484) || 4732(4732) || Checksum failed || [wiki:runs_7 Run 7]
|20100719 || toad || arm-linux-gcc -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 14493341 || 1031006 || 32020 (50761) || 68 (504) || 4 (504) || 4732(4732) || Checksum failed || [wiki:runs_17 Run 17]
|20100720 || toad || arm-linux-gcc -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 16145528 || 1024718 || 32020 (50761) || 68 (504) || 4 (504) || 4732(4732) || Checksum failed || [wiki:runs_18 Run 18]
|20100711 || toad || arm-linux-gcc -O3 -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 16149544 || 1008360 || 32020 (47924) || 68 (484) || 4 (484) || 4732(4732) || Checksum failed || [wiki:runs_8 Run 8]
|20100711 || toad || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 14171355 || 1047814 || 31649 (45058) || 68 (484) || 4 (484) || 4916(4916) || Checksum failed || [wiki:runs_8 Run 8]
|20100719 || toad || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 14679878 || 1610393 || 31649 (46955) || 68 (504) || 4 (504) || 4916(4916) || Checksum failed || [wiki:runs_17 Run 17]
|20100720 || toad || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 14733169 || 1019790 || 31649 (46955) || 68 (504) || 4 (504) || 4916(4916) || Checksum failed || [wiki:runs_18 Run 18]
|20100710 || toad || arm-linux-gcc -Os -fomit-frame-pointer -ffunction-sections -fdata-sections -Wl,-gc-sections || 3.3.2 || 15007905 || 1045778 || 31649 (45058) || 68 (484) || 4 (484) || 4916(4916) || Checksum failed || [wiki:runs_7 Run 7]
