| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 45154114 || 2241214 || 44294 (66331) || 16 (488) || 0 (488) || 1624(1637) || Checksum failed || [wiki:runs_15 Run 15]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 37379689 || 2241338 || 44294 (66331) || 16 (488) || 0 (488) || 1624(1637) || Checksum failed || [wiki:runs_14 Run 14]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 37370486 || 2242001 || 44294 (66331) || 16 (488) || 0 (488) || 1624(1637) || Checksum failed || [wiki:runs_13 Run 13]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 37338503 || 2244623 || 44294 (66331) || 16 (488) || 0 (488) || 1624(1637) || Checksum failed || [wiki:runs_16 Run 16]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 10841940 || 589826 || 21794 (38678) || 16 (488) || 0 (488) || 1572(1572) || Checksum failed || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 10840118 || 602044 || 21794 (38678) || 16 (488) || 0 (488) || 1572(1572) || Checksum failed || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 10837440 || 602381 || 21794 (38678) || 16 (488) || 0 (488) || 1572(1572) || Checksum failed || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 10840658 || 602989 || 21794 (38678) || 16 (488) || 0 (488) || 1572(1572) || Checksum failed || [wiki:runs_14 Run 14]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 9852863 || 519131 || 21158 (37838) || 16 (488) || 0 (488) || 1608(1608) || Checksum failed || [wiki:runs_14 Run 14]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 9863775 || 519559 || 21158 (37838) || 16 (488) || 0 (488) || 1608(1608) || Checksum failed || [wiki:runs_13 Run 13]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 9864788 || 520751 || 21158 (37838) || 16 (488) || 0 (488) || 1608(1608) || Checksum failed || [wiki:runs_16 Run 16]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 9868208 || 520774 || 21158 (37838) || 16 (488) || 0 (488) || 1608(1608) || Checksum failed || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 9867848 || 518974 || 22902 (42922) || 16 (488) || 0 (488) || 1608(1608) || Checksum failed || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 9871166 || 532125 || 22902 (42922) || 16 (488) || 0 (488) || 1608(1608) || Checksum failed || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 9874575 || 532823 || 22902 (42922) || 16 (488) || 0 (488) || 1608(1608) || Checksum failed || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 9919845 || 533126 || 22902 (42922) || 16 (488) || 0 (488) || 1608(1608) || Checksum failed || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 10332405 || 550485 || 20986 (37527) || 16 (488) || 0 (488) || 1596(1596) || Checksum failed || [wiki:runs_16 Run 16]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 10349471 || 551408 || 20986 (37527) || 16 (488) || 0 (488) || 1596(1596) || Checksum failed || [wiki:runs_15 Run 15]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 10348571 || 552465 || 20986 (37527) || 16 (488) || 0 (488) || 1596(1596) || Checksum failed || [wiki:runs_14 Run 14]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 10354208 || 563603 || 20986 (37527) || 16 (488) || 0 (488) || 1596(1596) || Checksum failed || [wiki:runs_13 Run 13]
