| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 38711036 || 2485496 || 127028 (149065) || 0 (472) || 32 (472) || 704(717) || Checksum failed || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 38651175 || 2486599 || 127028 (149065) || 0 (472) || 32 (472) || 704(717) || Checksum failed || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 38630756 || 2482841 || 127028 (149065) || 0 (472) || 32 (472) || 704(717) || Checksum failed || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O0] || 3.3.2 || 46708290 || 2484855 || 127028 (149065) || 0 (472) || 32 (472) || 704(717) || Checksum failed || [wiki:runs_16 Run 16]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 ||  ||  || 49284 (66168) || 0 (472) || 32 (472) || unk(unk) || error || [wiki:runs_14 Run 14]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 16339523 || 966251 || 49284 (66168) || 0 (472) || 32 (472) || 896(896) || Checksum failed || [wiki:runs_13 Run 13]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 16346126 || 966499 || 49284 (66168) || 0 (472) || 32 (472) || 896(896) || Checksum failed || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O1] || 3.3.2 || 16338240 || 979628 || 49284 (66168) || 0 (472) || 32 (472) || 896(896) || Checksum failed || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 21018240 || 1308386 || 61244 (77924) || 0 (472) || 32 (472) || 1132(1132) || Checksum failed || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 21024956 || 1308150 || 61244 (77924) || 0 (472) || 32 (472) || 1132(1132) || Checksum failed || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 21034069 || 1309163 || 61244 (77924) || 0 (472) || 32 (472) || 1132(1132) || Checksum failed || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O2] || 3.3.2 || 23717396 || 1294549 || 61244 (77924) || 0 (472) || 32 (472) || 1132(1132) || Checksum failed || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 20989676 || 1306193 || 61412 (81432) || 0 (472) || 32 (472) || 1132(1132) || Checksum failed || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 20979709 || 1307306 || 61412 (81432) || 0 (472) || 32 (472) || 1132(1132) || Checksum failed || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 20974354 || 1307239 || 61412 (81432) || 0 (472) || 32 (472) || 1132(1132) || Checksum failed || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -O3] || 3.3.2 || 20980620 || 1306946 || 61412 (81432) || 0 (472) || 32 (472) || 1132(1132) || Checksum failed || [wiki:runs_16 Run 16]
|20100725 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 21745429 || 1306350 || 61032 (77573) || 0 (472) || 32 (472) || 1160(1160) || Checksum failed || [wiki:runs_13 Run 13]
|20100726 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 20960415 || 1306384 || 61032 (77573) || 0 (472) || 32 (472) || 1160(1160) || Checksum failed || [wiki:runs_14 Run 14]
|20100727 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 21539554 || 1293255 || 61032 (77573) || 0 (472) || 32 (472) || 1160(1160) || Checksum failed || [wiki:runs_15 Run 15]
|20100728 || hal || [wiki:compilernames arm-artila-gcc -Os] || 3.3.2 || 20963149 || 1306294 || 61032 (77573) || 0 (472) || 32 (472) || 1160(1160) || Checksum failed || [wiki:runs_16 Run 16]
