| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 59159038 || 808645 || 3620 (23186) || 0 (574) || 0 (574) || 337(345) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 59194158 || 809125 || 3620 (23186) || 0 (574) || 0 (574) || 337(345) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 59158714 || 808641 || 3620 (23186) || 0 (574) || 0 (574) || 337(345) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 59158908 || 808644 || 3620 (23186) || 0 (574) || 0 (574) || 337(345) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 59194556 || 809131 || 3620 (23266) || 0 (574) || 0 (574) || 337(345) || Checksum OK || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 16871422 || 808581 || 3610 (12572) || 0 (318) || 0 (318) || 337(337) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 16583638 || 809061 || 3610 (12544) || 0 (318) || 0 (318) || 337(337) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 16871328 || 808577 || 3610 (12572) || 0 (318) || 0 (318) || 337(337) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 16871384 || 808580 || 3610 (12572) || 0 (318) || 0 (318) || 337(337) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 16583752 || 809067 || 3610 (12580) || 0 (318) || 0 (318) || 337(337) || Checksum OK || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 16103962 || 808563 || 3594 (11626) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 15871842 || 809044 || 3594 (11590) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 16103871 || 808559 || 3594 (11626) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 16103924 || 808561 || 3594 (11626) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 15871950 || 809049 || 3594 (11626) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 16103963 || 808563 || 3594 (11540) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 15871842 || 809044 || 3594 (11504) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 16103872 || 808558 || 3594 (11540) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 16103925 || 808561 || 3594 (11540) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 15871952 || 809049 || 3594 (11540) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 16034454 || 808564 || 3594 (11112) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 16043973 || 809043 || 3594 (11112) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 16034365 || 808558 || 3594 (11112) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 16034417 || 808562 || 3594 (11112) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 16044084 || 809049 || 3594 (11148) || 0 (318) || 0 (318) || 339(339) || Checksum OK || [wiki:runs_9 Run 9]
