| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 67164850 || 1367812 || 1968 (21534) || 0 (574) || 0 (574) || 333(341) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 67204705 || 1368624 || 1968 (21534) || 0 (574) || 0 (574) || 333(341) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 67164470 || 1367804 || 1968 (21534) || 0 (574) || 0 (574) || 333(341) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 67164691 || 1367809 || 1968 (21534) || 0 (574) || 0 (574) || 333(341) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 67205167 || 1368633 || 1968 (21614) || 0 (574) || 0 (574) || 333(341) || Checksum OK || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 24877223 || 1367748 || 1958 (10920) || 0 (318) || 0 (318) || 333(333) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 24594188 || 1368560 || 1958 (10892) || 0 (318) || 0 (318) || 333(333) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 24877083 || 1367741 || 1958 (10920) || 0 (318) || 0 (318) || 333(333) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 24877164 || 1367745 || 1958 (10920) || 0 (318) || 0 (318) || 333(333) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 24594357 || 1368569 || 1958 (10928) || 0 (318) || 0 (318) || 333(333) || Checksum OK || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 24109764 || 1367730 || 1942 (9974) || 0 (318) || 0 (318) || 335(335) || Checksum OK || [wiki:runs_1 Run 1]
