| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 292464369 || 12103427 || 60048 (79614) || 32 (606) || 32 (606) || 1541(1549) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 292638105 || 12111307 || 60048 (79614) || 32 (606) || 32 (606) || 1541(1549) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 292462877 || 12104196 || 60048 (79614) || 32 (606) || 32 (606) || 1541(1549) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 292463749 || 12103288 || 60048 (79614) || 32 (606) || 32 (606) || 1541(1549) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 292640060 || 12111270 || 60048 (79694) || 32 (606) || 32 (606) || 1541(1549) || Checksum OK || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 122549935 || 5788050 || 16780 (25742) || 32 (350) || 32 (350) || 1096(1096) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 122324919 || 5791488 || 16780 (25714) || 32 (350) || 32 (350) || 1096(1096) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 122549335 || 5788023 || 16780 (25742) || 32 (350) || 32 (350) || 1096(1096) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 122549677 || 5788039 || 16780 (25742) || 32 (350) || 32 (350) || 1096(1096) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 122325734 || 5791527 || 16780 (25750) || 32 (350) || 32 (350) || 1096(1096) || Checksum OK || [wiki:runs_9 Run 9]
