| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 105220740 || 2723350 || 96686 (116252) || 2048 (2622) || 11 (2622) || 2074(2082) || Checksum failed || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 105283966 || 2724987 || 96686 (116252) || 2048 (2622) || 11 (2622) || 2074(2082) || Checksum failed || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 105220585 || 2723346 || 96686 (116252) || 2048 (2622) || 11 (2622) || 2074(2082) || Checksum failed || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 105220824 || 2723352 || 96686 (116252) || 2048 (2622) || 11 (2622) || 2074(2082) || Checksum failed || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 105283968 || 2724987 || 96686 (116332) || 2048 (2622) || 11 (2622) || 2074(2082) || Checksum failed || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 32443994 || 1211566 || 39030 (47992) || 2304 (2622) || 11 (2622) || 749(749) || Checksum failed || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 32165688 || 1212294 || 39030 (47964) || 2304 (2622) || 11 (2622) || 749(749) || Checksum failed || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 32443945 || 1211564 || 39030 (47992) || 2304 (2622) || 11 (2622) || 749(749) || Checksum failed || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 32444018 || 1211566 || 39030 (47992) || 2304 (2622) || 11 (2622) || 749(749) || Checksum failed || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 32165690 || 1212294 || 39030 (48000) || 2304 (2622) || 11 (2622) || 749(749) || Checksum failed || [wiki:runs_9 Run 9]
