| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 461274192 || 32921227 || 94178 (103372) || 3424 (3836) || -4 (2411) || 1419(1419) || Checksum OK || [wiki:runs_2 Run 2]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 461272992 || 32921142 || 94178 (103372) || 3424 (3836) || -4 (2411) || 1419(1419) || Checksum OK || [wiki:runs_3 Run 3]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 461272924 || 32921138 || 94178 (103372) || 3424 (3836) || -4 (2411) || 1419(1419) || Checksum OK || [wiki:runs_4 Run 4]
|20101017 || clix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 461274130 || 32921227 || 94178 (103372) || 3424 (3836) || -4 (2411) || 1419(1419) || Checksum OK || [wiki:runs_26 Run 26]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 339167791 || 23452261 || 74776 (83086) || 3424 (3836) || -4 (2411) || 1144(1144) || Checksum OK || [wiki:runs_2 Run 2]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 339166904 || 23452198 || 74776 (83086) || 3424 (3836) || -4 (2411) || 1144(1144) || Checksum OK || [wiki:runs_3 Run 3]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 339166862 || 23452195 || 74776 (83086) || 3424 (3836) || -4 (2411) || 1144(1144) || Checksum OK || [wiki:runs_4 Run 4]
|20101017 || clix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 339167740 || 23452253 || 74776 (83086) || 3424 (3836) || -4 (2411) || 1144(1144) || Checksum OK || [wiki:runs_26 Run 26]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 374829208 || 26331972 || 96592 (104924) || 3424 (3836) || -4 (2411) || 1187(1187) || Checksum OK || [wiki:runs_2 Run 2]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 374828212 || 26331906 || 96592 (104924) || 3424 (3836) || -4 (2411) || 1187(1187) || Checksum OK || [wiki:runs_3 Run 3]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 374828141 || 26331899 || 96592 (104924) || 3424 (3836) || -4 (2411) || 1187(1187) || Checksum OK || [wiki:runs_4 Run 4]
|20101017 || clix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 374829026 || 26331964 || 96592 (104924) || 3424 (3836) || -4 (2411) || 1187(1187) || Checksum OK || [wiki:runs_26 Run 26]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 340138426 || 23471891 || 71942 (79712) || 3424 (3836) || -4 (2411) || 1125(1125) || Checksum OK || [wiki:runs_2 Run 2]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 340137569 || 23471833 || 71942 (79712) || 3424 (3836) || -4 (2411) || 1125(1125) || Checksum OK || [wiki:runs_3 Run 3]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 340137488 || 23471828 || 71942 (79712) || 3424 (3836) || -4 (2411) || 1125(1125) || Checksum OK || [wiki:runs_4 Run 4]
|20101017 || clix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 340138282 || 23471882 || 71942 (79712) || 3424 (3836) || -4 (2411) || 1125(1125) || Checksum OK || [wiki:runs_26 Run 26]
