| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 305133235 || 20767179 || 77960 (97526) || 0 (574) || 0 (574) || 1989(1997) || Checksum OK || [wiki:runs_1 Run 1]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 305132069 || 20767101 || 77960 (97526) || 0 (574) || 0 (574) || 1989(1997) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 305132854 || 20767154 || 77960 (97526) || 0 (574) || 0 (574) || 1989(1997) || Checksum OK || [wiki:runs_5 Run 5]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 102629723 || 7905855 || 29352 (38314) || 0 (318) || 0 (318) || 504(504) || Checksum OK || [wiki:runs_1 Run 1]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 102629337 || 7905825 || 29352 (38314) || 0 (318) || 0 (318) || 504(504) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 102629599 || 7905846 || 29352 (38314) || 0 (318) || 0 (318) || 504(504) || Checksum OK || [wiki:runs_5 Run 5]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 37889298 || 2635548 || 27156 (35188) || 0 (318) || 0 (318) || 563(563) || Checksum OK || [wiki:runs_1 Run 1]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 37889158 || 2635537 || 27156 (35188) || 0 (318) || 0 (318) || 563(563) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 37889253 || 2635544 || 27156 (35188) || 0 (318) || 0 (318) || 563(563) || Checksum OK || [wiki:runs_5 Run 5]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 37175346 || 2584399 || 28974 (36920) || 0 (318) || 0 (318) || 547(547) || Checksum OK || [wiki:runs_1 Run 1]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 37175208 || 2584389 || 28974 (36920) || 0 (318) || 0 (318) || 547(547) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 37175302 || 2584395 || 28974 (36920) || 0 (318) || 0 (318) || 547(547) || Checksum OK || [wiki:runs_5 Run 5]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 31704096 || 2146349 || 24596 (32114) || 0 (318) || 0 (318) || 487(487) || Checksum OK || [wiki:runs_1 Run 1]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 31703978 || 2146340 || 24596 (32114) || 0 (318) || 0 (318) || 487(487) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 31704057 || 2146346 || 24596 (32114) || 0 (318) || 0 (318) || 487(487) || Checksum OK || [wiki:runs_5 Run 5]
