| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 132742577 || 12811402 || 74424 (83618) || 192 (604) || 32 (604) || 3061(3061) || Checksum OK || [wiki:runs_4 Run 4]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 132742748 || 12811419 || 74424 (83618) || 192 (604) || 32 (604) || 3061(3061) || Checksum OK || [wiki:runs_3 Run 3]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 132743749 || 12811515 || 74424 (83618) || 192 (604) || 32 (604) || 3061(3061) || Checksum OK || [wiki:runs_2 Run 2]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 137240183 || 13336638 || 77152 (85462) || 192 (604) || 32 (604) || 3152(3152) || Checksum OK || [wiki:runs_4 Run 4]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 137240362 || 13336655 || 77152 (85462) || 192 (604) || 32 (604) || 3152(3152) || Checksum OK || [wiki:runs_3 Run 3]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 137241418 || 13336758 || 77152 (85462) || 192 (604) || 32 (604) || 3152(3152) || Checksum OK || [wiki:runs_2 Run 2]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 137257699 || 13336772 || 77870 (86202) || 192 (604) || 32 (604) || 3182(3182) || Checksum OK || [wiki:runs_4 Run 4]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 137257887 || 13336790 || 77870 (86202) || 192 (604) || 32 (604) || 3182(3182) || Checksum OK || [wiki:runs_3 Run 3]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 137258937 || 13336893 || 77870 (86202) || 192 (604) || 32 (604) || 3182(3182) || Checksum OK || [wiki:runs_2 Run 2]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 133814599 || 12980944 || 68372 (76142) || 192 (604) || 32 (604) || 2808(2808) || Checksum OK || [wiki:runs_4 Run 4]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 133814778 || 12980961 || 68372 (76142) || 192 (604) || 32 (604) || 2808(2808) || Checksum OK || [wiki:runs_3 Run 3]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 133815823 || 12981063 || 68372 (76142) || 192 (604) || 32 (604) || 2808(2808) || Checksum OK || [wiki:runs_2 Run 2]
