| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 76048870 || 2115329 || 18344 (37910) || 256 (830) || 32 (830) || 654(662) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 76094353 || 2116594 || 18344 (37910) || 256 (830) || 32 (830) || 654(662) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 76048569 || 2115321 || 18344 (37910) || 256 (830) || 32 (830) || 654(662) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 76048757 || 2115326 || 18344 (37910) || 256 (830) || 32 (830) || 654(662) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 76094303 || 2116593 || 18344 (37990) || 256 (830) || 32 (830) || 654(662) || Checksum OK || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 18286442 || 1134693 || 10050 (19012) || 256 (574) || 32 (574) || 617(617) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 17999578 || 1135372 || 10050 (18984) || 256 (574) || 32 (574) || 617(617) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 18286371 || 1134688 || 10050 (19012) || 256 (574) || 32 (574) || 617(617) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 18286416 || 1134691 || 10050 (19012) || 256 (574) || 32 (574) || 617(617) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 17999565 || 1135371 || 10050 (19020) || 256 (574) || 32 (574) || 617(617) || Checksum OK || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 14306957 || 876786 || 9084 (17116) || 256 (574) || 32 (574) || 595(595) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 14073830 || 877310 || 9084 (17080) || 256 (574) || 32 (574) || 595(595) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 14306899 || 876782 || 9084 (17116) || 256 (574) || 32 (574) || 595(595) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 14306934 || 876784 || 9084 (17116) || 256 (574) || 32 (574) || 595(595) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 14073820 || 877309 || 9084 (17116) || 256 (574) || 32 (574) || 595(595) || Checksum OK || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 14268539 || 876488 || 9342 (17288) || 256 (574) || 32 (574) || 611(611) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 14035391 || 877012 || 9342 (17252) || 256 (574) || 32 (574) || 611(611) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 14268483 || 876484 || 9342 (17288) || 256 (574) || 32 (574) || 611(611) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 14268518 || 876487 || 9342 (17288) || 256 (574) || 32 (574) || 611(611) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 14035380 || 877012 || 9342 (17288) || 256 (574) || 32 (574) || 611(611) || Checksum OK || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 13902626 || 890209 || 8562 (16080) || 256 (574) || 32 (574) || 603(603) || Checksum OK || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 13910941 || 890741 || 8562 (16080) || 256 (574) || 32 (574) || 603(603) || Checksum OK || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 13902571 || 890205 || 8562 (16080) || 256 (574) || 32 (574) || 603(603) || Checksum OK || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 13902605 || 890207 || 8562 (16080) || 256 (574) || 32 (574) || 603(603) || Checksum OK || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 13910931 || 890740 || 8562 (16116) || 256 (574) || 32 (574) || 603(603) || Checksum OK || [wiki:runs_9 Run 9]
