| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 62207271 || 1343379 || 65650 (85216) || 4252 (4826) || 6 (4826) || 864(872) || Checksum failed || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 62244461 || 1344183 || 65650 (85216) || 4252 (4826) || 6 (4826) || 864(872) || Checksum failed || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 62207020 || 1343374 || 65650 (85216) || 4252 (4826) || 6 (4826) || 864(872) || Checksum failed || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 62207161 || 1343377 || 65650 (85216) || 4252 (4826) || 6 (4826) || 864(872) || Checksum failed || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O0] || 4.3.4 (GCC) || 62244463 || 1344183 || 65650 (85296) || 4252 (4826) || 6 (4826) || 864(872) || Checksum failed || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 16436640 || 1025364 || 62058 (71020) || 4508 (4826) || 6 (4826) || 907(907) || Checksum failed || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 16148668 || 1025978 || 62058 (70992) || 4508 (4826) || 6 (4826) || 907(907) || Checksum failed || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 16436572 || 1025361 || 62058 (71020) || 4508 (4826) || 6 (4826) || 907(907) || Checksum failed || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 16436610 || 1025363 || 62058 (71020) || 4508 (4826) || 6 (4826) || 907(907) || Checksum failed || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O1] || 4.3.4 (GCC) || 16148668 || 1025978 || 62058 (71028) || 4508 (4826) || 6 (4826) || 907(907) || Checksum failed || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 15742952 || 1033447 || 61810 (69842) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 15510687 || 1034065 || 61810 (69806) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 15742888 || 1033442 || 61810 (69842) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 15742922 || 1033444 || 61810 (69842) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 O2] || 4.3.4 (GCC) || 15510687 || 1034065 || 61810 (69842) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 16024636 || 1051746 || 75944 (83890) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 15792535 || 1052375 || 75944 (83854) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 16024569 || 1051742 || 75944 (83890) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 16024604 || 1051744 || 75944 (83890) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1291 O3] || 4.3.4 (GCC) || 15792539 || 1052375 || 75944 (83890) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_9 Run 9]
|20100626 || hal || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 16837043 || 1052247 || 61414 (68932) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_1 Run 1]
|20100627 || blix || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 16847110 || 1052877 || 61414 (68932) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_2 Run 2]
|20100629 || hal || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 16836973 || 1052243 || 61414 (68932) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_4 Run 4]
|20100630 || hal || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 16837010 || 1052245 || 61414 (68932) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_5 Run 5]
|20100708 || blix || [wiki:compilernames avr-gcc atmega1281 Os] || 4.3.4 (GCC) || 16847116 || 1052877 || 61414 (68968) || 4508 (4826) || 6 (4826) || 911(911) || Checksum failed || [wiki:runs_9 Run 9]
