| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O0] || 4.3.4 (GCC) ||  ||  || 15852 (35792) || 4128 (4796) || 0 (4796) || unk(unk) || error || [wiki:runs_2 Run 2]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O0] || 4.3.4 (GCC) ||  ||  || 15852 (35792) || 4128 (4796) || 0 (4796) || unk(unk) || error || [wiki:runs_3 Run 3]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O0] || 4.3.4 (GCC) ||  ||  || 15852 (35792) || 4128 (4796) || 0 (4796) || unk(unk) || error || [wiki:runs_4 Run 4]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 14712033 || 994800 || 11024 (20218) || 4128 (4540) || 0 (4540) || 924(924) || Checksum failed || [wiki:runs_2 Run 2]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 14712004 || 994799 || 11024 (20218) || 4128 (4540) || 0 (4540) || 924(924) || Checksum failed || [wiki:runs_3 Run 3]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O1] || 4.3.4 (GCC) || 14711987 || 994797 || 11024 (20218) || 4128 (4540) || 0 (4540) || 924(924) || Checksum failed || [wiki:runs_4 Run 4]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 13733089 || 968786 || 10724 (19034) || 4128 (4540) || 0 (4540) || 936(936) || Checksum failed || [wiki:runs_2 Run 2]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 13733062 || 968784 || 10724 (19034) || 4128 (4540) || 0 (4540) || 936(936) || Checksum failed || [wiki:runs_3 Run 3]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O2] || 4.3.4 (GCC) || 13733047 || 968783 || 10724 (19034) || 4128 (4540) || 0 (4540) || 936(936) || Checksum failed || [wiki:runs_4 Run 4]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 14791653 || 1076900 || 15960 (24292) || 4128 (4540) || 0 (4540) || 1066(1066) || Checksum failed || [wiki:runs_2 Run 2]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 14791625 || 1076898 || 15960 (24292) || 4128 (4540) || 0 (4540) || 1066(1066) || Checksum failed || [wiki:runs_3 Run 3]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -O3] || 4.3.4 (GCC) || 14791607 || 1076897 || 15960 (24292) || 4128 (4540) || 0 (4540) || 1066(1066) || Checksum failed || [wiki:runs_4 Run 4]
|20100722 || blix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 13860415 || 964200 || 10474 (18244) || 4128 (4540) || 0 (4540) || 912(912) || Checksum failed || [wiki:runs_2 Run 2]
|20100727 || blix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 13860387 || 964198 || 10474 (18244) || 4128 (4540) || 0 (4540) || 912(912) || Checksum failed || [wiki:runs_3 Run 3]
|20100728 || blix || [wiki:compilernames avr-gcc 1281 -Os] || 4.3.4 (GCC) || 13860371 || 964197 || 10474 (18244) || 4128 (4540) || 0 (4540) || 912(912) || Checksum failed || [wiki:runs_4 Run 4]
