| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100801 || blix || [wiki:compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) ||  ||  || 59144 (79020) || 128 (796) || 0 (2415) || unk(unk) || error || [wiki:runs_21 Run 21]
|20100802 || blix || [wiki:compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) ||  ||  || 59144 (79020) || 128 (796) || 0 (2415) || unk(unk) || error || [wiki:runs_22 Run 22]
|20101114 || clix || [wiki:compilernames avr-gcc 1284p -O0] || 4.3.4 (GCC) ||  ||  || 50722 (70598) || 128 (796) || 0 (2415) || unk(unk) || error || [wiki:runs_28 Run 28]
|20100801 || blix || [wiki:compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 26681513 || 1516788 || 34742 (43872) || 128 (540) || 0 (2415) || 906(906) || Checksum OK || [wiki:runs_21 Run 21]
|20100802 || blix || [wiki:compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 26681518 || 1516789 || 34742 (43872) || 128 (540) || 0 (2415) || 906(906) || Checksum OK || [wiki:runs_22 Run 22]
|20101114 || clix || [wiki:compilernames avr-gcc 1284p -O1] || 4.3.4 (GCC) || 27108818 || 1524727 || 35588 (44718) || 128 (540) || 0 (2415) || 867(867) || Checksum OK || [wiki:runs_28 Run 28]
|20100801 || blix || [wiki:compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 26067225 || 1523705 || 34128 (42374) || 128 (540) || 0 (2415) || 785(785) || Checksum OK || [wiki:runs_21 Run 21]
|20100802 || blix || [wiki:compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 26067230 || 1523705 || 34128 (42374) || 128 (540) || 0 (2415) || 785(785) || Checksum OK || [wiki:runs_22 Run 22]
|20101114 || clix || [wiki:compilernames avr-gcc 1284p -O2] || 4.3.4 (GCC) || 26540942 || 1534848 || 35308 (43554) || 128 (540) || 0 (2415) || 769(769) || Checksum OK || [wiki:runs_28 Run 28]
|20100801 || blix || [wiki:compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 26049013 || 1523558 || 34558 (42826) || 128 (540) || 0 (2415) || 785(785) || Checksum OK || [wiki:runs_21 Run 21]
|20100802 || blix || [wiki:compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 26049019 || 1523559 || 34558 (42826) || 128 (540) || 0 (2415) || 785(785) || Checksum OK || [wiki:runs_22 Run 22]
|20101114 || clix || [wiki:compilernames avr-gcc 1284p -O3] || 4.3.4 (GCC) || 26537084 || 1534814 || 36078 (44346) || 128 (540) || 0 (2415) || 767(767) || Checksum OK || [wiki:runs_28 Run 28]
|20100801 || blix || [wiki:compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 26682742 || 1555063 || 32794 (40500) || 128 (540) || 0 (2415) || 755(755) || Checksum OK || [wiki:runs_21 Run 21]
|20100802 || blix || [wiki:compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 26682748 || 1555063 || 32794 (40500) || 128 (540) || 0 (2415) || 755(755) || Checksum OK || [wiki:runs_22 Run 22]
|20101114 || clix || [wiki:compilernames avr-gcc 1284p -Os] || 4.3.4 (GCC) || 27427120 || 1585168 || 34626 (42332) || 128 (540) || 0 (2415) || 747(747) || Checksum OK || [wiki:runs_28 Run 28]
