| '''Date''' || '''Host''' || '''Compiler''' || '''Version''' || '''Checksum Cyc.''' || '''Benchmark Cyc. (1536 b)''' || '''Text Size''' || '''Data Size''' || '''BSS Size''' || '''Stack Size''' || '''Result''' || '''Source''' 
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 152781590 || 5367628 || 70813 (112963) || 68 (1012) || 32 (2872) || 400(448) || Checksum OK || [wiki:runs_9 Run 9]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 152841572 || 5369722 || 70813 (112963) || 68 (1012) || 32 (2872) || 400(448) || Checksum OK || [wiki:runs_10 Run 10]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 152840420 || 5368264 || 70813 (112963) || 68 (1012) || 32 (2872) || 400(448) || Checksum OK || [wiki:runs_11 Run 11]
|20100728 || blix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 152839028 || 5368542 || 70813 (112963) || 68 (1012) || 32 (2872) || 400(448) || Checksum OK || [wiki:runs_12 Run 12]
|20101017 || clix || [wiki:compilernames mips-uclib-gcc -O0] || 4.2.1 || 187478278 || 6275107 || 70813 (113043) || 68 (1012) || 32 (2872) || 400(448) || Checksum OK || [wiki:runs_25 Run 25]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 16534185 || 484738 || 34317 (67362) || 68 (1008) || 32 (2872) || 1352(1408) || Checksum OK || [wiki:runs_9 Run 9]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 16522591 || 485295 || 34317 (67362) || 68 (1008) || 32 (2872) || 1352(1408) || Checksum OK || [wiki:runs_10 Run 10]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 16508294 || 484698 || 34317 (67362) || 68 (1008) || 32 (2872) || 1352(1408) || Checksum OK || [wiki:runs_11 Run 11]
|20100728 || blix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 16571576 || 484672 || 34317 (67362) || 68 (1008) || 32 (2872) || 1352(1408) || Checksum OK || [wiki:runs_12 Run 12]
|20101017 || clix || [wiki:compilernames mips-uclib-gcc -O1] || 4.2.1 || 21985937 || 485228 || 34317 (67410) || 68 (1008) || 32 (2872) || 1352(1408) || Checksum OK || [wiki:runs_25 Run 25]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 122450087 || 4348173 || 55917 (87362) || 68 (1008) || 32 (2872) || 5288(5344) || Checksum OK || [wiki:runs_9 Run 9]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 122422408 || 4344715 || 55917 (87362) || 68 (1008) || 32 (2872) || 5288(5344) || Checksum OK || [wiki:runs_10 Run 10]
|20100727 || blix || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 122384235 || 4359608 || 55917 (87362) || 68 (1008) || 32 (2872) || 5288(5344) || Checksum OK || [wiki:runs_11 Run 11]
|20100728 || blix || [wiki:compilernames mips-uclib-gcc -O2] || 4.2.1 || 122486684 || 4345152 || 55917 (87362) || 68 (1008) || 32 (2872) || 5288(5344) || Checksum OK || [wiki:runs_12 Run 12]
